Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:21,0:00:22,"Paternike, hvala Nisu i Marija."
0:00:23,0:00:24,Dobro došao u Popkast.
0:00:25,0:00:31,"Popkast je prvi podcast ovoga naziva, a samo ime mu govori kakvi će biti gosti i ko će sve sudjelovati."
0:00:32,0:00:42,"Većednako ova platforma nam je široko otvorila vrata i ići ćemo preko svih većednako ovih i društvenih mreža i portala, doći ćemo do puno ljudi, pa evo drago mi je da si upravo ti prvi gost kojega će mogu gostovati."
0:00:43,0:00:52,"Evo čast mi je da sam prvi gost ovdje u Popkastu, evo nadam se da će stvarno to biti nešto što će ljudima biti drago, ne bratko da tako ne bude."
0:00:52,0:01:04,"Evo ja sam kod tebe bio i više puta i u nekim emisijama i intervjuima, pa naravno vrlo rado sam se odazvao i počašćen sam da sam ja prvi evo u ovom tvojem popkastu."
0:01:04,0:01:04,"Evo, važni hvala."
0:01:05,0:01:18,"A znaš što, htio sam te pitati prvo pitanje kad smo dogovarali da ćeš gostovati, nešto te nema u javnosti, češće si bio prije i onda bum izađe ova knjiga koja je ovdje, koja je zapravo i mene iznenadila i koju sam sa velikim guštom počeo čitati."
0:01:18,0:01:20,A čini mi mi se da si se ipak malo pritajio.
0:01:21,0:01:21,Jesi li?
0:01:21,0:01:22,Jesi li?
0:01:22,0:01:32,Imao sam tu nekoliko tih kriznih točaka u mom tom nekakvom angažmanu na društvenim mrežama.
0:01:32,0:01:43,"Ja sam puno bio aktivan na društvenim mrežama, posebno na Facebooku i mogu reći da sam na taj način baš uspio doprijeti do mladih, tako trudio sam se, prepoznao sam da je to važno."
0:01:44,0:01:53,"Naravno, doticao sam uvijek i sve društvene teme oko nas, smatram da svećenik i crkva mora biti prisutna na tom području."
0:01:54,0:01:56,Ali evo imao sam nekoliko tih.
0:01:56,0:01:58,Hajmo se prisjetiti tih događaja.
0:01:58,0:02:04,"Jedna gledateljica, čitateljica je poslala isto jedno pitanje, ali ajmo se sjetiti koje su to bile kritične krizne situacije."
0:02:04,0:03:03,"A ja sam komentirao naravno dakle i politiku i društvena zbivanja oko nas i bio je jedan komentar nakon što je referendum ukraden, referendum narod odlučuje, ja sam sada bio u Kanadi, dakle bilo je posve jasno da je politička vlast ukrala taj referendum, a nekako sam i ja bio u to involviran, a i da nisam pratio sam to, to su bili moji mladi iz Molotovine zajednice srca Isusa osobito s kima sam bio povezan itede i ja sam to tako karakterizirao i I tako, a bila je po karijerič malo oštrija i evo tu sam se malo morao povući, a poslije vrlo slično je bilo kada je bila tadašnja predsjednica Kolinda, imala je nekoliko kontroverznih istupa, najprije se je deklarirala kao katolkinja, vjernica koja je ministrirala, pjevala u zboru itede ne mogu sasjetiti detalja."
0:03:05,0:03:27,"A onda je u toj nekoj kampanji u nekom intervju objašnjavala kako ona prakticira jogu, ja sam i znao da to ona radi itede pa sam to iskritizirao i evo nekakvom, u biti si postu si politički nepodoban u nekakvom demokratskom ozračju, to normalno mislim."
0:03:29,0:03:52,"Dobro, dakle normalno je da onaj tko govori istinu, ako govori istinu, mora, normalno je da će se suočiti s time da to društvo prije ili kasnije ili neki segmenti tog društva ne vole čuti ako sam govorio istinu, a ako nisam onda je još logičnije da će vas s tim susresti."
0:03:53,0:05:18,"No, ja mislim da se sam govorio istinu, da sam dobro govorio ili sad bolje se govoriti o stilu, o pristupu, ali dakle uvijek mi je bilo samo važno da narod ima prostora, da pravda ima prostora, da istina ima prostora, da narod ima svoju vlast kakvu zaslužuje itede Tako su te inicijative, zato su i bile tu prisutne, zato sam ja i bio u njima itede Dakle normalno je, normalno je, očekivano je da će oni koji govore istinu imati poteškoća jer istina, naime netko tko ima moć i vlast uvijek je sklon tome da malo tu moć i vlast nekako okrene u svoju korist, matko to bio, to može biti i župnik i biskup itede i nekakav bilo koji moćnik, a pogotovo u politici gdje čovjek ima silnu moć i dakle tu mora biti kritike, pa često su ljudi u teškoj situaciji i ugroženi su i može ih se ucijeniti ako ih kritiziraju itede No svećenik bi trebao biti netko tko ovaj gdje ima malo više slobode i malo više sigurnosti jer on ne mora brinuti o svom nekom ekonomskom stanju itede A s druge strane pozvaniji je zato što je on netko u koga narod gleda itede I dakle evo kao što se i uvijek u povijesti događalo, tako i sada, ne kažem ja da sam ja taj, ali evo na čelu."
0:05:18,0:05:39,"Ali, znate da se, mislim da je ipak ova činjenica koju ste sad spomenuli, da ste vi kao svećenik kritizirao neke pojave u društvu koje su očigledno bile fake, dakle nisu bile prave nego su bile lažne, iskrivljene, da je ta činjenica da ste svećenik imala ono, stostruko veću težinu i zapravo da ste tu nadrapao što ste ona kazali."
0:05:39,0:06:23,"Pa dakle i šutnja ima težinu, kad svećenik šuti to isto ima jako veliku težinu, a naravno i kada govori, naravno, dakle, da svećenik mora, mora, mora govoriti o tome mora prepoznavati problem u društvu, mora govoriti jedan ili drugi, ne može svaki govoriti o svim problemima, onda bi se svrglo samo na to, ali nekako ja sam se našao u tom prostoru i području jer sam bio nekako aktivan i u onom prvom referendumu u ime obitelji, evo ja sam čak dao i ime toj inicijativi, evo to se odvijalo nekako u prostorima Skaca itede i nekako sam se našao u tom području i prostoru civilnog društva, civilnih inicijativa itede nekako je to možda bio moj segment."
0:06:24,0:06:42,"Naravno, dakle, može se govoriti čak treba govoriti o drugim stvarima iz kulture i umjetnosti, mita, obrazovanja itede ali evo, ali ne može svatko sve, ako bi govorili svatko sve onda bi zapravo nešto bi drugo nastradalo."
0:06:43,0:06:46,"Tako da ovaj, evo nekako sam, dogodilo se da to bilo pomalo moje područje."
0:06:47,0:07:01,"Ali tada si radio i s mladima intenzivno bio, to je bio onaj jedan val buđenja vjere među mladima, jesu li ti oni zapravo tim svojim mladošću, nabojem zapravo i otvorenošću na neki način isto pridobili pa si osjetio njihovo bilo da govoriš u njihovo ime kao njihovo ime?"
0:07:01,0:07:02,"Da, da, da, da."
0:07:02,0:07:35,"Ja sam bio dosta povezan dakle sa zajednicom srca i sustava i ta zajednica je bila jako aktivna i u tom referendumu i u hodu za život itede I to su zreli mladi ljudi koji su već bili afirmirani u svojim strukama, profesijama, a su još uvijek bili mladi i nekako tičalo ih se sve to što se oko nas događa itede pa onda u tom nekakvom, u toj interakciji se otkrije, otkriva ono što je nama važno, što je njima važno i evo i onda iz toga nekako to proizlazi."
0:07:35,0:07:49,"Jednom smo razgovarali na tu temu baš mladih pa se je rekao kako zapravo oni pred tebe stavljaju puno veće zahtjeve nego što se čovjeku može zapravo činiti, zapravo na neki način oni tebe odgajaju, a ne samo ti njih, dakle to je taj uzajaman odnos?"
0:07:49,0:07:50,"Jest, jest."
0:07:50,0:07:56,"Upravo dakle u tom susretu mislim dakle to je jako važno znati osluškivati, svećenik mora znati osluškivati."
0:07:56,0:08:09,"Bog nama, Bog meni, a i nama općenito, progovara baš kroz to što prepoznajemo koje su potrebe društva, koji su problemi i što njih tišti, što oni osjećaju."
0:08:09,0:08:13,To je jako važno jer i oni imaju Duha Božjega.
0:08:13,0:08:27,"Dakle, upravo na to prateći što oni osjećaju, što oni doživljavaju nekako u svojim molitvama, razmišljanjima itede svećenik dolazi do toga zapravo da je to ono što je na neki način meni poruka Božja."
0:08:27,0:09:00,"Često sam volio spominjati onaj slučaj kada Bog zove Malog Samuela koji je bio kod proroka Elija, bio pripravnik učenik i Bog zove Samuela, ne zove Elija, on ne govori Eliju što će trebati činiti Samuel, nego on Samuela zove i njemu progovara i često iz početka Elija ne primjećuje odmah, ne razumije odmah o čemu se radi, ali kasnije shvaća, kasnije shvaća da to Bog zove Malog Samuela i onda mu daje upute."
0:09:00,0:09:05,Rekao bih to je često uloga nas svećenika jer mi nismo u tim situacijama u kojima oni jesu.
0:09:05,0:09:17,"Mi svećenici nemamo obitelj, nemamo djecu, ne brinemo se toliko kako će platiti račune, nismo po stambenim kreditima, ne možemo izgubiti posao tako lako, ne može nas politički ucijeniti."
0:09:17,0:09:45,"Dakle, mi često nemamo, onda recimo ne znamo što je kriza ulaganja, to su sve situacije u kojima mi nismo, nemamo problem s odgojem djece jer to nisu naša djeca, ne znamo s čim se oni susreću u školama, ne znamo kako je to doživjeti se naprimjer sa nametanjem spolnog odgoja ili nekakvih drugih vrijednosti itede i zato mi ne možemo iz prve ruke prepoznati što je ono što treba činiti, što je problem."
0:09:46,0:09:54,"Ali u tom suživotu s ljudima, mladima ili Izraelima, svejedno je, ipak imamo tu ulogu."
0:09:54,0:10:15,"Dakle, nismo tu beznačajni jer mi zapravo na temelju onoga što vidimo i doživljavamo susretu s njima kao svećenici sa jednom posebnom moći ili s posebnom misijom ili darom Božjim, mi sada možemo dalje vidjeti nego oni jer je to naša služba je to."
0:10:15,0:10:22,"Dakle, nekako slična situacija kao kod tog Samuela, Bog zove Samuela, ali Eli je prorok i on je vidio čemu se radi."
0:10:23,0:10:28,"I ja sam uvijek tako radio s mladima i bilo gdje, s braniteljima i slično."
0:10:29,0:10:32,"I na taj način prepoznam, osluškujem, razmišljam."
0:10:33,0:11:24,"Inače sam ovako jedan dosta kontemplativan tip i introvert, premda ljudi to često ne znaju i često nosim duboko to doživim, da to nosim to danima neku stvar ili baš me znaju jako boljeti i u meni se pomalo rađa jedan pozitivan bijes ili pozitivan jedan inat da se ne mogu pomiriti s tim stanjem, jednostavno vjerujem da mora biti neki iskorak, mora biti neki odgovor, mora biti neko rješenje itede I u tom čestom takvom dijalogu, promišljanju nekako rađa se onda jasnoća što bi trebalo, koja riječ, koji potez ili jednostavno u njihovim inicijativama ohrabriti ih i pomoći da razaznaju je li to dobro, je li to dobar smjer i ohrabriti ih biti prisutan u tome da se onda to događa."
0:11:24,0:11:35,"Evo nekako rekao bih, ta slika je meni dosta važna i toga sam svjedok, toga svjedok nekako držim i mislim da se svi svećenici moramo tako pristupati."
0:11:35,0:11:40,Zato Papa Franjo govori da pastoralac mora smrditi po ovcama.
0:11:41,0:11:47,Ne može se up upravljati ovčjama iz ureda nekog iz kancelarije itede nego se mora biti s njima.
0:11:48,0:11:50,Evo nekako rekao bih da je to ta situacija.
0:11:50,0:11:53,"Da, sad sam se sjetio i volio bih da to nikako ne preskočimo."
0:11:53,0:11:58,"Ja sam čuo nekoliko navrata od tebe, ali naši gledatelji nisu još te krećemo."
0:11:58,0:12:04,"Dakle, ti si zapravo i kao osoba, kao figura iskočio one večeri u Markovoj crkvi."
0:12:04,0:12:54,"Koliko tome sad imao je na desetak godina ako se to je bilo dvije tisuće petnaest malo možeš prisjetiti opće kako si se tamo zatekao što si radio tamo jel te opet ta tvoja unutarnja nekakva neki zov te je odveo tamo od kuda si se stvorio tamo pa evo pa je jako, dakle već samo početki, početak tih prosvjeda su već bili nešto što je meni bilo važno i po čemu sam ja smatrao da moram biti prisutan, a i prije sam bio u kontaktu sa braniteljima i s njihovim pričama, mukama bio upoznat i zapravo znao sam o čemu se radi i naravno dakle sada njihovi zahtjevi su jedna stvar, mislim da su bili opravdani ali i da nisu opravdani."
0:12:56,0:13:08,"Ta drama koja se tamo događa, ta velika koncentracija te boli, muke i trauma biti pod šatorima danima, mjesecima sigurno je nešto što čovjek mora prepoznati kao nešto što si istinski važno."
0:13:08,0:13:21,"Ne može nitko nikoga izmanipulirati i poslati ga da bude tamo mjesecima u šatoru pogotovo u zimi itede Dakle bilo je jasno meni koji sam bio blizu branitelja da je to nešto što ih istinski jako boli, što je im istinski jako važno."
0:13:24,0:13:51,"I s druge strane ako znademo koji oni od prije nose boli i patnje i ranjenosti da svaki susret sa jednom novom dimenzijom bahatosti ili nepravde vlasti, institucija ili društvene nepravde itede njih može još više učiniti ranjivim, ugroziti itede itede I zato, dakle to je ono bilo, to je bilo ono što je meni bio razlog da moram biti tamo i da moramo biti tamo."
0:13:51,0:14:00,"Bilo nas nekoliko svećenika, dakle i Don Damistojić i Šibalić i neki Salezijanci, još bratri, ne mogu se sjetiti točno."
0:14:00,0:14:43,"I mi smo doista svaku večer tamo dolazili i molili i bili s njima, pričali, dakle to je stvarno bilo jako važno, ta prisutnost, čak je bio jedan slučaj kad sam na samim početcima, kad se jedan branitelj zapalio pred nama, tamo kad su počinjali molit tu, ja sam vidio taj čas kad će se to zbiti jer onda sam skočio i skinuo kapu sa sebe i počeo ga gasti kaputom itede onda su ga ugasili ipak aparatima za gašanje itede Dakle, i to je ono što je mene kao svećenika i branitelja brinulo i od čega nisam mogao krenuti glavu."
0:14:43,0:14:46,"Morao je tamo biti svećenik, morali smo biti tamo."
0:14:47,0:15:10,"I mladi su s nama dolazili i to je bilo jako važno, to je imalo jako puno učinka, razgovori s njima, prisutnost, naravno, dakle i kaptal je stao iza toga itede i stvarno je to bilo nešto što se nije smjelo dogoditi bez rečenika i kada nismo tamo bili, zatajili bi, zanijekali bi."
0:15:10,0:15:21,"Ne ulazeći kažem u ono što su oni zahtjevali, premda, premda mislim da ono što su zahtjevali je bilo apsolutno opravdano i važno, nešto od toga kasnije je usvojeno."
0:15:21,0:15:34,"I dakle, iz tog konteksta, kako smo mi bili s njima, dakle jako je dugo to trajalo, ta nesusretljivost vlasti, ta tvrdoća je u sebi nosila nešto onako."
0:15:35,0:15:36,"Bez čuda, je li vam nešto?"
