Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:21,0:00:38,"Dragi gledatelji, evo nas ponovno u drugom dijelu našega popkasta s našim gostom Rabinom Kotelom Dadonom razgovaramo o židovstvu i kršćanstvu, o vezama koje se isprepliću i o vrlo zanimljivoj knjizi Rabina Kotela Dadona."
0:00:38,0:00:56,Ti u njoj zapravo pričate kad smo sad na temi vina o jednoj zanimljivoj stvari koja je nama možda nekima i promakla da je Nova nakon potopa kad je izašao iz korablje prvo zasadio vinograd i kaže napio se vina i otkrio na sreću šator.
0:00:56,0:00:58,Ajde nam malo ispričaj o čemu se radi.
0:00:58,0:01:22,"da, znate ova knjiga koja zapravo sam napisao ona je na postanak, ona je prva i moja želja i ako meni će Bog daliti sa snagom ja ću napisati na sve pet da imam taj ono što sam napravio na postanak, sad upravo radim na izlazak."
0:01:24,0:01:44,"Ta priča sa Noah i Vinograda kreće zapravo i prije sa pitanjem koja je bila voća koju je Adam i Eva su pojeli, ona zabranjena jer ne piše u Tori, u pet knjige ne piše ništa."
0:01:44,0:01:46,"Svi imamo sliku jabuke, je li to ispravna slika?"
0:01:46,0:01:50,"A kako je to moguće da svi misle da je to jabuka, a to nije jabuka?"
0:01:52,0:01:59,Vjerojatno tete u vrtići su bili jako dobre i odgajali su djeca da je to bila jabuka.
0:01:59,0:01:59,Zašto jabuka?
0:01:59,0:02:12,"Vjerojatno zato što djeca se na neki način osjećaju najbliže sa jabukom kao voće, a djeca ne možeš abstraktno ništa naučiti, moraju oni vidjeti boje, moraju oni vidjeti ono što pričaš."
0:02:14,0:02:36,"U Talmudus ima rasprava šta je točno to bilo i ima par mišljenja, no ono glavna mišljenja je, ima neke koji kažu da je to bila smokva, neki kažu da je to bilo ne znam pšenica, uglavnom ono što je najpopularnija je da je to bilo grožđe."
0:02:38,0:03:04,"Sada, to nama i objašnjava zašto Noah kad je izašao iz korablja odmah sadio vinograd, šta mu je to trebalo i otkud mu je to, nego on to je sačuvao prije potopa nosio s njim u korablju i nakon kad je izašao da se ta, da se to ne nestane ili nešto, odmah da to sadi."
0:03:05,0:03:10,I sad na kraju on to i to je njega na neki način i oštetio.
0:03:11,0:03:22,"Ali ono što je zanimljivo je to što kaže Midraš da je došao s otonom njemu i rekao, no ah, što radiš?"
0:03:23,0:03:29,"Kaže ja sadim v vinograd, kaže hoćeš da budemo mi dvojica partneri, kaže može."
0:03:30,0:03:51,"I onda piše da mu je on rekao da donese žrtve Bogu i žrtvovali su četiri životinje, žrtvovali su janje, žrtvovali su lav, žrtvovali su svinja i žrtvovali su majmuna."
0:03:52,0:03:58,"I pitam I pitao Talmud, pa zašto četiri nije dovoljno janije, nije dovoljno svinja?"
0:03:58,0:04:18,"Kaže Talmud da zapravo janije je bilo zato što kad netko pije prva čaša kreće pričati kao janije, druga osjeća kao lav, treća već izgleda kao svinja, četvrta već ponaša kao majmun."
0:04:19,0:04:24,I sada to je velika lekcija kako treba sa vinom ponašati.
0:04:26,0:04:29,"Vino je nešto, ima u sebe nešto jako dobro."
0:04:31,0:04:38,"To može pomoći ljudima na razmišljanje, šteta što nisam donio danas jedan košar vino, sljedeći put."
0:04:40,0:04:47,"To može dati ljudima inspiraciju, to može zaista otvoriti neke stvari koje su inače zaštopane."
0:04:48,0:05:02,"Kad malo razmišljaš i to, ali s druge strane ako previše piješ onda gubiš i to ideš, prelaziš u ono negativno."
0:05:03,0:05:19,"I to je ono što judaizam kao religija želi od nas vezano za sve, da sve koristimo ali sa mjerom i da znamo kako se kontrolirati."
0:05:20,0:05:25,"Mi moramo oženiti, kod Židova to nije opcija."
0:05:26,0:05:31,Ti moraš jedan prvi zapravo zapovjed je množite i plodite.
0:05:32,0:05:51,"Znači moraš se oženiti, ali čim se oženiš onda ima propisi da ne smiješ druge žene, ima puno toga kad žena ima svoj ciklus, trebaš udaliti se."
0:05:52,0:05:58,Znači ima puno toga se i to se nas nauči kontrolirati i nagoni.
0:06:00,0:06:29,"Također posjedovati stvari, ne trebaš samo imati u cilju posjedovati što više, što više novac i što više nego naravno da je dobro da imaš, da živiš u komfortu, da ne moraš tražiti egzistenciju, ali ne da to bude bolesno, da to bude cilj i da samo oko toga vrtiš jer ne stigneš ni uživati od ničega."
0:06:29,0:06:51,"Tako da u svim našim nagonima mi smo od Boga kroz judaizma dobili takav naputak da koristimo, ali da isto tako kontroliramo i da naše nagoni znamo kada reći stop, dosta, dok do tu, ne više."
0:06:52,0:07:12,"Da, tu sam negdje čak isto pročitala da su ta dva glavna nagona koja se u Judaizmu uče kontrolirati zapravo taj nagon za koji životinje nemaju, to je za hranom odnosno prejedanjem životinja jede dok se ne prežvere i za seksom, dakle ona ne može kontrolirati svoj seksualni nagon, dakle to su tu nekako ta dva natječa pola koji su tu."
