Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:21,0:00:26,"Dragi gledatelji, evo nas u jednom mogu tako slobodno reći izvanrednom popkastu."
0:00:26,0:00:45,"Iznanredno zbog samih događaja, zbog vremena u kojem ga snimamo jer nije u nekom uobičajenom ritmu, pa čak i izvanrednom i po gostima, odnosno i po sadržaju emisije, a čak i po tome što imam prvi puta evo dvojicu svećenika, dva gosta u jednoj misiji, znači razgovarat ćemo u troje ovoga puta."
0:00:45,0:01:16,"Povod za ovu emisiju, danas je ponedjeljak tri studenoga, mi smo u prošloga petka, naime uoči blagdana svih svetih u popodnevnim satima zapravo u cijeloj javnosti, a napose u Katoličkoj crkvi doživjeli jedan veliki šok jer je u javnost izašla vijest da se u jednoj vjerskoj zajednici dogodio, u jednoj udruzi, u jednom vjerskom društvu, dogodio zapravo jedan seksualni zločin, jedan skandal koji je potresao cijelu Crkvu."
0:01:18,0:01:44,"Za to smo doznali nakon što se nadbiskup Riječki, monsignor Mate Uzimić javio svojom izjavom, budući da su se stvari jednim dijelom ticale i njega, dok je udruga, vjernika udruga Omljadeo bila u njegovoj Riječkoj nadbiskupi, pa se žrtva obratila njemu i on je osjetio ponukan novinarskim, novinskim upitom, krenuti zapravo izaći u javnost sa tom cijelom pričom."
0:01:44,0:02:06,"Koliko se moglo iz svega toga zaključiti, lokalni portal je bio prvi koji je to objavio, Burin haer oni su naime u dan prije toga u četvrtak zabilježili jednu informaciju da je uhićen sedamdesetg muškarac zbog sumnje u seksualno zlostavljanje i bludne radnje i priveden je u riječku policiju."
0:02:06,0:03:03,"Nakon toga su zacijelo oni, to nije rečeno ali to se može zaključiti, svega uputili upit riječkoj nadviskupi a budući da se radi o konkretnim ljudima i o konkretnim događajima mi smo uspjeli dobiti u sadašnji ovaj popkast dvojicu svećenika iz zajednice o kojoj se govori, radi se o zajednici Omni Adeo, dobili smo u goste danas velečasnog Đuliana Trdića, vi ste voditelj zajednice odnosno povjerenik se to službeno zove, dakle povjerenik javnog vjernika društva Omni Adeo, tako, dakle to je isprava naziv i velečasnog Domislava Kutlešu koji je ovom prigodom čak i zbog ove situacije potegnuo iz Rima, vi ste trenutačno u Rimu, bili ste donedavno župnik, znaju vas u onom sestrskom kraju jel tako, dakle poznati ste po tome."
0:03:03,0:03:09,"Evo, dobrodošli i ajmo odmah u glavu, nemamo što okljevati oko toga."
0:03:09,0:03:28,"Naime, Nadbisku Puzinić je u tom svom obraćanju javnosti rekao da su uhičene, dakle da je dobio upit o osumnjičenju za teška kaznena djela protiv sporne slobode i uhićenju utemeljitelja javnog vjernika društva Omljadeo."
0:03:29,0:03:33,Tko je zapravo uhićen u petak i o čemu se radi?
0:03:34,0:03:37,"Dajte nam molim vas malo pojasnite, Don Đuliano, Donđuljano?"
0:03:37,0:03:44,"Ma dakle da, evo to je ta izjava koja je zapravo uzbunila javnost, a i samu zajednicu."
0:03:44,0:03:44,Zašto?
0:03:44,0:03:47,Zato što ne radi se o Donjosipu Radiću.
0:03:47,0:03:48,Donjosip Radić je i dan danas.
0:03:49,0:03:50,On je utemeljitelj.
0:03:50,0:03:51,"On je utemeljitelj, tako je."
0:03:52,0:04:34,"On je započeo javnovjerničko društvo, zapravo tada je bilo, to je izraslo iz molitvene zajednice, utemelio je javnovjerničko društvo zajedno sa jednom lajkinjom, majkom, šestero djece itede koji ima svoju obitelj, unučad već itede I uglavnom ovaj pojavilo se to da je on uhićen što je potpuno kriva informacija, to su prenijeli svi mediji, kasnije se to u valovima širilo po, vidio sam i mediji u beiha su to prenijeli, znači totalno izjava koja je unijela toliko konfuzije u medijski prostor."
0:04:37,0:04:54,"Zapravo radi se uhićena osoba, nije član zajednice Omnia Deo, nikada nije bila član zajednice Omnia Deo, ali je rodbinski vezana odnosno povezana je sa sufunditeljicom Josefinom Glasnović, radi se o njezinu suprugu."
0:04:55,0:05:25,"Evo samo da vas prekidem ovdje, zapravo da kažem našim gledateljima, vi niste ni pod kakvom policijskom istragom i vi niste zapravo sudionici procesa, vi ne otkrivate ništa što se ne bi zapravo smjelo reći, mi u ovom trenutku sad radimo jednu rekonstrukciju događaja, dakle nismo obavezni, ne ometamo ni na koji način da razgovaramo o zbivanjima u vašoj vjerskoj zajednici, ali i o tome da se upozna zapravo da javnost malo više dozna o vama tko je OMNI, ADO i čime se bavite, jer se iz ovoga svega nije baš dalo zaključiti tko ostaje i što ostane."
0:05:26,0:05:41,"Dakle radi se o suprugu utemeljiteljice, su utemeljiteljice, da je donio Sipradicu zakon o utemeljivanju zajednice, a uhićen je njezin, u petak je uhićen njezin suprug pod sumnjom da je počinio navedena djela."
0:05:43,0:06:13,"Evo to je zapravo cijela, to je unijelo veliku zabunu u samu zajednicu jer mi smo odmah kroz neko vrijeme doznali, javili su nam i Župljani gdje je donio si psa na Župi da se to nije dogodilo, da je on i dalje slobodan obavlja svoje pastoralne aktivnosti jer mi zapravo od kad je krenula crkvena formalno, od kad je nama javljeno to mi nismo u kontaktu sa njime."
0:06:14,0:06:16,Znači informacije dobivate posredno?
0:06:16,0:06:22,"Posredno da, mislim išli smo vidjeti šta se zbiva, razumijete, da bi se utvrdilo."
0:06:22,0:06:22,Jasno.
0:06:23,0:06:33,"Velečasna Tomislavela, što se dogodilo, dakle zašto je uhićen suprug suutemiteljice Josefine Glasnjev?"
0:06:33,0:06:47,"Pa evo ono što je objavljeno koliko sam vidio na izjavi državnog odvjetništva radi se o djelima protiv spolnosti, protiv spolne slobode."
0:06:48,0:06:55,Na teret se stavlja čini mi se pet djela silovanja i bludnih radnji.
0:06:55,0:07:21,Dvije bludne radnje su pet silovanja i dvije bludne radnje u razdoblju od veljače do rujna dvadeset četiri godine evo to je da mi ono što mislim možemo reći može džulijano bolje sad tog medicinskog gledišta o samom o suprugu majke Josefine.
0:07:22,0:07:26,"A s druge strane što možemo reći o tome, to je nama bio ogroman šok."
0:07:28,0:07:36,Mi smo prvi put za to saznali kada nam je priopćeno krajem šest mj.
0:07:37,0:07:49,od dvadeset tri lipnja kad je dvadeset tri lipnja dvadeset pet ako će ovo se događalo dvadeset četiri vi govorite dvadeset pet to je godina dana da se praktički nije znalo da je to.
0:07:50,0:07:52,Zašto je tu došlo do tog šoka?
0:07:52,0:08:53,"U biti jer ovaj navodna žrtva je li ova kandidatica naše zajednice o kojoj se radi, ona je bila u zajednici od znači rujna dvije tisuće dvadeset tri do prosinca dvije tisuće dvadeset četiri i u tom razdoblju živjela je sa sestrama djelovala je sa sestrama znači u toj kući sestara znači u samostanskim prostorijama nikad nije imala nikakvog kontakta s nikim, nikad nije saostavljalo neki dojam nečega itede I sama ta činjenica kad je znači izašla ta informacija teška, sve sestre koje su živjele za skupa s nama, kad je Đulijano to nama imao nalog da pročita, bila je za nas šokantna i nevjerojatno je li."
0:08:54,0:09:04,"I po svemu sudeći, budući da je tako atipična jedna situacija jer se radi o jednoj jako staroj osobi."
0:09:05,0:09:24,"es druge strane koja je kronični bolesnik srčani i ima teški šećer, znači ima jako velikih problema, tri bypassa, znači sa srcem općenito sa tim kardiovaskularnim sustavom."
0:09:26,0:09:34,"Znači bilo nam je s te strane i godina, znači razlike u godinama, malo psihološki nesigurno."
0:09:34,0:09:37,"Ona ima sedamdeset godina, ona ima dvadeset dva ima."
0:09:37,0:09:44,"Da, kada sad imamo dva, nama je s te psihološke strane bilo nepojmljivo da se može nešto desiti, da se može nešto dogoditi."
0:09:45,0:09:58,"es druge strane, isto što se tiče toga zdravstvenog stanja naravno to mora utvrditi struka jel onaj koji je vještak medicinski o čemu se tu radi."
