Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:01,0:00:18,"Gdje prije tebe lječa čeka, gdje postoji ona tvoja lječa, slomi na putu i miris na mina, tu je u srcu domovina, pravio mrežnica."
0:00:21,0:00:23,Dobrodošli u podcast mrežnica.
0:00:23,0:00:26,Naš današnji gost je admiral Davor Domazet Lošo.
0:00:27,0:00:28,"Prije svega, dobrodošli."
0:00:28,0:00:30,"Hvala lijepa, hvala na pozivu."
0:00:30,0:00:37,"Admirale, ovo vam je prvi javni nastup ove godine i nakon dosta vremena uopće nastupate neobično."
0:00:37,0:00:41,mi je zadovoljstvo da ste upravo potkest mrežnicu izabrali za tako nešto.
0:00:41,0:01:05,"Pa nije mi bilo teško budući da ste vi mene nazvali prošle godine, ali ja nisam nastupao već više od godinu dana u medije bilo kakve zbog smrti moje pokojne drage supruge Jasminke i sad je nekako došlo vrijeme i ja sam vaš dužnik jer ste me zvali i zato se danas nalazim ovdje."
0:01:05,0:01:07,Hvala vam najljepša admirale.
0:01:07,0:01:37,"Toliko je zapravo tema o kojima vi znate puno ljudi su željni vašeg promišljanja vaših analiza geopolitičkih, bojnih, kojekakvih, no prije svega jedan veliki, da tako kažem politički rat trenutno trese Hrvatsku, a to je najava kandidature predsjednika Milanovića i izbori parlamentarni sedamnaest travnja, dakle sraz dvojice Titana Plenkovića i Milanovića, ljudi bi sigurno voljeli čuti što vi mislite o svemu."
0:01:38,0:02:39,"Koliko su oni Titani, to u globalnim razmjerima, ali ne bih se baš složio da su oni Titani jer nažalost Hrvatska je mogla biti nakon Domovinskog rata i pobjede nakon veličanstvene oluje koja je najčistija operacija u povijesti ratovanja, ali nažalost krilno se drugim putem, tako da bilo kojeg hrvatskog političara nakon dvije tisuće godina teško da se mogu priskrbiti ne titani nego nešto drugo ja neću u ovom prigodom govoriti o tome da li je milanović rekao plenkovićovu ili plenković milanović to uopće nije bitno to nije moja razina budući da sve to što se događa u hrvatskoj nego u hrvatskoj nego u europi općenito a gledajući šire i u svijetu je geopolitički tektonski poremećaj u kojem se uspostavlja ne više polarnost ili pol dva nego tri djela uspostava globalne moći na tri dijela."
0:02:40,0:02:46,Gledateljima je vrlo to jasno koga se odnosi Sjedinjene američke države odnosno Rusiju i Kinu.
0:02:46,0:03:25,"U tom kontekstu dok se to ne uspostavi jer pada, urušava se jedan svijet, jedan pol, drugi se urušio već prije a to je bio kada je bila dvopolarna, uistinu bipolarna podjela svijeta, NATO i Vašarski ugovor, odnosno Amerika i Rusi, odnosno Sovjetski savez, onda u ovom uspostavi novog podjele svijeta na najviše razinu, na tri dijela, a onda slijede druga i treća razina, Hrvatska u tom pripada negdje pri samom kraju, da ne kažem na kraju, pri samom kraju."
0:03:25,0:03:44,"Prema tome, ja gledam ako će se uspostaviti više tri i pol, tri dijela svijeta, nove geopolitičke cjeline, a njih je još definirao George Orwell pravim imenom Eric Blair u svom romanu 1984."
0:03:45,0:03:45,Evo ga gore.
0:03:46,0:03:47,"Da, evo ga upravo."
0:03:48,0:03:51,"Dobro ste ovo stavili, mislim odmah ne vidio."
0:03:52,0:03:54,Gdje ima ta tri dijela?
0:03:54,0:04:08,"Jedan je Oceanija ili Zapad, zruženiji što danas zovemo, jedan je Euroazija ili Rusija i njezin svijet, i Kina i Stacija i njezin svijet."
0:04:09,0:04:12,"E sad, mi se nalazimo na razdjelnici."
0:04:12,0:04:17,Na ta razdjelnica govori sad u smislu geostrategije je Balt i Jadran.
0:04:18,0:04:21,To je zemljopisna razdjelnica Hrvatske.
0:04:21,0:04:25,"Ali ima još koja je bitnija, to je duhovna razdjelnica."
0:04:27,0:04:38,"Nisu ovdje samo borbe za raspodjelu zemlje i mora nego ovdje duhovni boj je onaj najteži, najvidljiviji."
0:04:38,0:04:45,Najbolje je to reći što se često danas spominje vremena Amergedona ili Apocalipse.
0:04:46,0:04:53,"Dakle, to je duhovnog i onoga drugog svijetom u boljem izričaju to je Kristiant Krist."
0:04:55,0:05:02,"E sad, to je malo ljudima kad to govoriš onda te ne gledaju baš kako bi rekao prijemčivo niti gledaju."
0:05:03,0:05:14,"Misle da si teoretičar, u teoriji ćemo morati malo kasnije da i to razjasnimo taj pojam i kada je on uopće nastao i koga je inaugurirao i zašto ga je inaugurirao."
0:05:15,0:05:17,"Dakle, gdje će biti Hrvatska?"
0:05:18,0:05:37,"Ovdje nije bitno, ajde za trenutak gledajte me sada, za trenutak zaboravite ovo što govori, što nas opterećuju svakodnevno sa Plenkovićem i sa Milanovićem, nego postavimo pitanje ovako, ima li u Hrvatskoj uopće političke opcije koja razumije ovo o čemu ja govorim?"
0:05:38,0:05:50,"Ima li ikada u Hrvatskoj političke opcije koja ima program, plan i program kako pozicionirati Hrvatsku u novoj toj više podjeli svijeta?"
0:05:50,0:05:52,Što bi vi rekli strategiju i taktiku?
0:05:52,0:05:52,Tako je.
0:05:52,0:05:55,Prvo svega treba strategiju i taktike mogu biti različite.
0:05:55,0:05:56,"Dakle, je, prvo strategija, ima li toga?"
0:05:57,0:05:57,Nema.
0:05:58,0:05:58,Nema.
0:05:58,0:06:04,"Mi ne znamo u Hrvatskoj, ne znamo ni u Srednjoj Hrvatskoj, ne znaju uopće definirati ni jedan jedini hrvatski nacionalni interes."
0:06:05,0:06:08,Oni čak i ne znaju da postoje četiri razine nacionalnih interesa.
0:06:09,0:06:13,Prvo su na prva je razina što sama riječ govori interesi opstanka.
0:06:13,0:06:26,"Koji su to interesi definirani u kojem će se bez obzira na političku opciju u Hrvatskom saboru složiti svi jer se moraju stvoriti svi, a samo je put osvarenja tih interesa može biti drukčiji i različit."
0:06:26,0:06:30,"Netko ide sa lijeve, netko s desne strane, ali ne možeš definirani."
0:06:30,0:06:31,Prema tome ne znaš gdje će Hrvatsku biti.
0:06:32,0:06:39,"Hrvatska je sada u NATO, EU, članica UN-a, Ujedinjenih naroda sve je to u redu, lijepo."
0:06:40,0:06:43,A što ako taj svijet više ne bude postojan nakon ovoga?
0:06:44,0:06:49,Ili drukčije rečeno ako bude transformiran ovakav kakav je sigurno neće postojati.
0:06:50,0:06:55,"Hoće li Hrvatska budući da se nalazi na toj geopolitičkoj razinici, gdje će ona ići?"
0:06:55,0:06:57,Na jednu ili na drugu stranu?
