Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:21,0:00:23,Dobrodošli u podcast Mrežnica.
0:00:23,0:00:26,Naš današnji gost je Karino Hromin Šturm.
0:00:26,0:00:28,"Prije svega, dobar dan vam želim."
0:00:29,0:00:31,Dobar dan i vama ili podcastu Mrežnica.
0:00:31,0:00:39,"Izvrsno i svim našim gledateljima za koje pretpostavljam, odnosno pretpostavljam da će im se ovaj podcast prilično svidjeti."
0:00:39,0:00:39,Zašto?
0:00:40,0:01:02,"Zato jer diplomat ste, politolog, ekonomist, ali i usudit ću se ja reći, a vi me ispravite ako griješim, brzni poznavatelj tajnih društava odnosno novog svjetskog poretka koji drma svijetom, a mi možda ne znamo ništa o njemu ili smo samo nešto čuli, načuli, ustvari to su pravi gospodari svijeta, je li tako?"
0:01:03,0:01:22,"Pa to je točno jer sam ja jedan od trojice, znači pisaca uopće u svijetu prije trideset godina koji su počeli pisati ne o tome i ja sam imao dvojica pisaca Amerikanaca i ja sam treći koji danas naravno već jako puno tih ima knjiga i pisaca, ali u ono doba, prije tri godine bili smo samo nas tri."
0:01:22,0:01:24,"Dakle, bili ste pionir."
0:01:25,0:01:36,"Napisali ste političku Bibliju, napisali ste i teoriju dužničkog grobstva koja se ispostavila doslovno kao ono što će se dogoditi i sve što ste napisali se dogodilo."
0:01:36,0:01:37,Hvala lijepa.
0:01:37,0:01:43,"Mogu vas ja prekinuti samo, ja sam donio vama poklon moju knjigu Politička Biblija kad ste već spomenuli."
0:01:43,0:01:43,Može.
0:01:44,0:01:58,"I ovo je moj rad, moje četo da tako kažem, sedamnaest godina rada po arhivama kopanja itede znate kad netko piše knjigu onda vi znate dobro isto tako što to znači i to je knjiga od tri kg."
0:01:59,0:02:13,"Najljepši kompliment mi je dao profesor Tomislav Vladan, super kompliment mi je dao s kojim sam se vrlo rado družio jer je tako bio govornik hrvatskog jezika da je to jedna milina bila."
0:02:14,0:02:25,"Naravno dobio sam komplimente od drugih iz ministarstva recimo uprave, tajnik ministarstva uprave erha bi rekao Veli Karina pa ovu knjigu bi trebali imati svaki državni službenik na svojem stolu."
0:02:25,0:02:26,Evo ja vam tu knjigu poklanjam.
0:02:26,0:02:28,Na servisima i naš podcast.
0:02:28,0:02:29,Hvala vam najljepša.
0:02:31,0:02:32,Bit će zanimljivo.
0:02:32,0:02:33,Hvala vam najljepša.
0:02:33,0:02:42,"Zapravo kad malo razgovaramo gospodine Šturm, brojne su kako je rekao teme o kojima možemo s vama razgovarati."
0:02:43,0:02:51,"Za zadnjih podcasta malo su mi gosti tu govorili kako je ovo jedna super izborna godina, ne samo u Hrvatskoj nego bira i Amerika, pa jako puno europskih zemalja."
0:02:52,0:02:53,Nedavno su bili izbori i u Rusiji.
0:02:54,0:03:09,"I onda se svi govore, oj narod će nešto odlučiti, wow, možda su nekakve promjene na djelu, a zapravo sve se kako kažu neki odvija u nekim drugim centrima moći koji su već otprije odlučili što će biti s nama."
0:03:10,0:03:11,Što vi kažete na to?
0:03:12,0:03:16,Pa ja imam tu ovako dva mišljenja o toj temi.
0:03:17,0:03:20,Prvo je ta demokracija i ti izbori.
0:03:21,0:03:52,"Ja moram spomenuti da je najvažnija zemlja koja je svjetski policajac a to su Sjedinjene američke države i oni svugdje svoju volju provode, imaju preko sedamsto vojnih baza u svijetu i prijete sa svojim nosačima aviona, krstaricama dolaze i prijete svim zemljama koje se s njima ne slažu, a oni se čude, pa kako to, pa mi vama donosimo demokraciju, zašto vi nećete demokraciju, to je njima čudno."
0:03:54,0:04:12,"A s druge strane oni jedino čega se pridržavaju, znači hoću reći ovdje vrše pritisak, a jedino čega se pridržavaju iz mojeg iskustva što sam ja do sada stekao, tojest kad su izbori onda oni šalju svoje predstavnike i nadziru izbore."
0:04:12,0:04:20,"I da su ti izbori demokratski, to je jedina stvar koju sam ja kod njih vidio da stvarno se drže za te demokratske izbore."
0:04:21,0:04:31,"Međutim, kad se dogodi da izaberu njihovog protivničkog kandidata, e onda oni polude pa onda rade opet to da sa svojim nosačima aviona itede vrše pritisak."
0:04:32,0:04:33,"Evo, to je ta, ova je caka."
0:04:34,0:04:44,"I tu bih treću stvar spomenuo, a to je da većina zemalja ima komputerizirani sustav zbrajanja glasova."
0:04:45,0:04:54,"A tu bih, neću puno pričati o tome, samo ću spomenuti ono što je rekao Josip Sarijanović Stalin, nije važno tko glasa, važno je tko broji glasove."
0:04:55,0:05:08,"I sad vi, ja sam kad sam bio u diplomaciji onda smo imali izbore i onda normalno da sam to kontrolirao te izbore itede ovo je kao šef diplomatskog predstavništva i onda sam imao uvid u sve papire."
0:05:09,0:05:22,"I ja sam slagao, mislim tu na brzinu napravim statistiku i išao sam u Zagreb, koji su bili oduševljeni, kako ja njima čak i statistiku pošaljem koliko je glasalo za hadeze koliko je za ovo itede i koliko za Tuđmana, naravno da je Tuđman u onom vremenu uvijek pobjeđivao."
0:05:23,0:05:24,"Međutim, ovaj, ovaj."
0:05:26,0:05:36,"Ima tu stvari koje u toj demokraciji ne, ljudi koji glasaju ne znaju do zadnjeg momenta za koga će glasati."
0:05:37,0:05:52,"Taj njihov način izbora vlasti, ja bi rekao vlasti jer je to izvršna vlast koja se bira, zakonodavna i izvršna vlast se bira putem tih referenduma, putem tih parlamentskih izbora."
0:05:53,0:06:04,"Ali imamo tu jednu caku gdje kad se zbroje glasovi zapisnici mogu biti u redu, ali onaj tko unosi zadnji u kompjuter on ima zadnju odlučujuću riječ."
0:06:04,0:06:26,"I ja ću vas upozoriti samo da u zadnjih nekoliko recimo pet godina ranije je bila velika razlika između pobjednika, danas imate vrlo malu razliku među pobjednicima i je lakše napraviti kao malu grešku ili namjerno staviti taj broj, ispraviti pa će ispasti kao da je demokratski bilo sve skupa."
0:06:26,0:06:32,"Međutim, smatram da ta kompjuterska obrna ima na kraju vrlo važan zadatak."
0:06:32,0:06:35,A to je upravo ovo o čemu mi danas želimo pričati.
0:06:36,0:06:48,"Ono što, rekli ste bili ste šef diplomatskog predstavništva, ja ću samo reći našim dragim gledateljima, bili ste šef diplomatskog predstavništva u Rusiji odnosno u Moskvi i bili ste u Kazahstanu, je li tako?"
0:06:48,0:08:01,"Pa ovako, ja sam praktički pionir hrvatske diplomacije i kada smo počeli raditi, mene su zadužili i SSR je postao, međutim on je imao petnaest republika i sad, mi smo se raspali devedesette godine, a SSR se raspao dvije godine kasnije tojest praktički dvadeset petdvanaestdevetsto devedeset jedan to su dvije godine iza nas znači još je bio esser i ja sam s njima pregovarao i razgovarao jer su me zadužili predsjednik tuđman itede naša ministarstvo i onda sam to pregovarao a zatim je nastala rusija je došao na vlast boris jelcin kao predsjednik o tome opet jedna posebna tema oko toga i onda je bio problem a to je kažem neću reći bilo je stvarno kao u špijunskom filmu oko priznanja erha u okviru same ruske federacije međutim ja sam ugovarao sa svih petnaest zemalja, ja sam obilazio tako reći onaj, upotrijebit ću onaj izraz za Henry Kissinger, što su govorili da se bavi letećom diplomacijom."
0:08:01,0:08:17,"Tako sam i ja iz Moskve letio u Tašketu, u Biškeku, Almatu, u ne znam, Ashhabat, Dušanbe itede po svim tim državama sam ja letio i pregovarao za prvo priznanje erha i drugo uspostavu diplomatskih odnosa."
0:08:17,0:08:18,Dakle bili ste sjajni.
0:08:19,0:08:19,petnaest zemalja.
0:08:19,0:08:20,"Lobist, čestitam."
0:08:21,0:08:31,"Sad se vratimo u dvadeset četiri godinu odnosno u ovo stoljeće, svijet je u velikim promjenama, mijenja se doslovno nama pred očima."
0:08:31,0:08:35,Tko rukovodi da tako kažem tim promjenama?
0:08:36,0:08:40,Tko ih je osmislio ili se one događaju spontano?
0:08:41,0:08:47,"Spontano nema ništa, na ovom svijetu je sve organizirano i vrlo, vrlo precizno organizirano."
0:08:47,0:08:51,Znači cijelim svijetom vlada međunarodna financijska oligarhija.
0:08:52,0:08:52,Tko su oni?
0:08:52,0:08:54,To su najbogatiji ljudi na svijetu.
0:08:54,0:08:57,"Njih nema na Forbesovoj listi, nećete ih naći."
0:08:57,0:09:23,"Na Forbesovoj listi ćete naći ono drugo razredne da tako kažem milijardere, oni jesu milijarderi kao što je Bill Gates itede i imate jedino ovako kao neki, kao što je bio Mandela House, nekad kod predsjednika Woodrow Wilsona ili kao što je ovaj Soros koji je danas, oni su glasnogovornici, predstavnici te međunarodne financijske oligarhije i oni uvijek govore unaprijed što će se dogoditi."
0:09:24,0:09:32,"A kad se dogodi kažu pa vidite mi smo vas obavijestili što će se desiti, mi smo predviđali to, a ustvari nisu oni predviđali, oni su to planirali."
0:09:33,0:09:35,"Prema tome, oni drmaju cijelim svijetom."
0:09:36,0:09:58,"Pa mogu vam reći ekskluzivu, čak ja sam imao sreću da tako kažem da sam upoznao neke ljude iz međunarodne financijske oligarhije i radio sam za njih neke projekte davno još prije trideset godina i onda kad su oni vidjeli kako ja radim rekli su dođi kod nas radit."
0:09:59,0:10:06,Međutim nažalost moram reći da je moje supruzi bilo dosta i dosadno jer je rekao ne ja hoću u Zagreb i mi smo se vratili u Zagreb.
0:10:07,0:10:15,"Danas bi ja vjerojatno bio jedan od njih i brumao svijetom jer bi radio za njih, ovako se ja borim danas protiv njih?"
0:10:16,0:10:20,"Dobro je, ona upoznaje neprijatelja da bi se bolje borio protiv njega."
0:10:21,0:10:38,"Ali rekli ste primjerice spomenuli ste Sorosa, on je nekako na ovim našim prostorima uvijek simbol za neke, za one koje se plaća pa rade po vanjskim napucima, ali tko su zapravo ti ljudi koji su i Sorosu odnosno Sorosima šefovi?"
0:10:39,0:11:09,"Pa naravno gledajte ako ćemo sad govoriti o ovoj strukturi toj, onda u svijetu imate ova tajna društva, tajna društva su u prvom redu, znači imate vrh, imate na onome dolaru piramidu i ono sve vidjet će oko, gdje ja uvijek nosim taj dolar, nesretni ne znam gdje bi sad u džepu tu nestao, sad ću pokazati, ali stvarno je tako jer netko onovori nevjerni tome, ne vjeruje."
0:11:09,0:11:29,"Evo, dolar je službeno sredstvo plaćanja i tu lijepo piše piramida i piše novi svjetski poredak, novu sordu sa klorum i rimskim brojkama piše jedna tisuća sedamsto sedamdeset šest godina znači novi godina kad su se Amerika kad se odvojila od Velike Britanije."
0:11:30,0:11:40,I sad imamo situaciju da međunarodna financijska organizacija je organizirala sebe ta tajna društva.
0:11:41,0:11:54,"Ja ću sad pokušati nabrojati prvo najglavnija tajna društva su tri, to je prvo Komitet tristo, Klub Bilderberga i Trilateralna komisija, kasnije ću reći ostale."
0:11:55,0:12:10,"U Komitetu tristo tu vlada je stvarno naj, najveći kapital, a u prvom redu šefica je do sada bila Elizabeta, kraljica Velike Britanije."
0:12:11,0:12:43,"es obzirom da je pretpostavljam da je nasljedna monarhija, da je vlast prešla sa princa Charlesa, sad je on King Charles i da je vjerojatno on preuzeo vodstvo Komiteta tristo a tu su vam svi kraljevi, svi predsjednici država, svi premijeri, svi važni ljudi, predsjednici korporacija, ovih banaka, novih korporacija, fondova itede HZMO-a itede da ne nabrajam i vi kad vidite mislim tu strukturu to je strahovit kapital međunarodni."
0:12:45,0:12:46,Drugi je Bilderbergovski klub.
0:12:47,0:13:08,"Klub Bilderberga je vođa kao predsjednik, prvi je bio princ Bernard, on je inače suprug nizozemske kraljice Jurijane, on je predsjednik toga kluba, međutim naravno tu je Rockefeller, Morgan i Warburzy i ovi svi ostali bogataši, multimilijarderi itede Oni svi sačinjavaju to i oni donose te odluke."
0:13:09,0:13:17,"Meni je bilo čak interesantno da taj treći klub koji je vrlo važan, a to je trilateralna komisija."
0:13:18,0:13:27,"Interesantno je da se oni u Europi nisu složili da u klub Bilderberga uđe i Japan i Azija, pazite vi ovo."
0:13:27,0:13:37,"I onda je Rockefeller organizirao trilateralnu komisiju, taj tajni klub trilateralne komisije, što znači Tokio, New York, Paris."
0:13:38,0:13:48,"Znači i oni imaju svaki svog predsjednika u sve tri, znači predsjedniku u Japanu koji je za Aziju, za Ameriku, u New Yorku i u Parizu za Europu."
0:13:48,0:13:52,"A on MOP-u, a oni surađuju i oni surađuju sa Klubom Bilderberga."
0:13:53,0:13:54,Međutim šta se dalje događalo?
0:13:55,0:14:30,"Bilo je jako puno ovih naravno agenata, špijuna raznih koji su htjeli vidjeti što oni rade i koji su ih špionirali, koji su ih pratili, a oni su vam radili jednostavan sistem, zakupe hotel, recimo naprimjer u Istanbulu, zakupe neki hotel sa pet zvjezdica ili sedam zvjezdica, dovedu iz Filipina sve kuhare, konobare, spermajice koji ne znaju engleski i onda su oni tamo radili, a ovi po specijalnim ulaznicama su samo smjeli doći pozivnicima, a hotel je bio okružen sa policijom, nitko nije smio proći."
0:14:30,0:14:35,Ovi su izvana slikali reporteri i imali nekoliko knjiga napisanih oko toga šta su sve radili.
0:14:36,0:14:49,"Međutim, ali uvijek je netko provalio pa im je dao kako nisu smjeli pisane dokumente iznositi i morali su tajno raditi, ali uvijek je netko bio tako dobar da je provalio novinarima i da su doznali raspored, mislim što je bio dnevni red."
0:14:51,0:15:15,"Da bi se to ukinulo i da ih više ne prate, u zadnjih godina ćete primijetiti da nema više napisa po novinama, po medijima, ni o ovaj Komitetu tristo, ni o Klubu Bilderberga, niti o trilateralnoj komisiji, nego se zadnjih pet godina naročito javlja i to glasno, a to je svjetski ekonomski forum u Davosu, znači Klaus Schwab."
0:15:16,0:15:24,"Oni su preokrenuli, vi nas pratite, e ne, evo vam sve transparentno, a mi ćemo sve iznijeti pa vi sve ono, sad pišite što hoćete."
0:15:25,0:15:31,Za ulaznicu na taj svjetski ekonomski forum je sedamdeset tisuća dolara pa sad tko hoće neka plati.
0:15:32,0:15:34,"Naravno da tu idu predsjednici država, premijeri."
0:15:35,0:15:37,"Tko njima plaća te ulaznice, evo hvala."
0:15:37,0:16:23,"korporacije plati ovo, država plati premijeru itede to njima nije problem, ali ako vi kao pojedinka, kao novinar hoćete tamo doć morate platiti sedamdeset tisuća a baš sedamdeset tisuća dolara ne znam da li će urednik dati novinaru da ide tamo samo da vidi jedan sastanak i da piše o tome jel ali oni su napravili to da sad guraju to kao mi smo transparentni i guraju nam to u oči sve što oni rade a rade stvarno to možemo o tome malo kasnije popričati rekli ste znači li to onda da je Davos odnosno VEF sada istureno, isturena zapravo opozicija odnosno organizacijaacije, a ove tri koje ste spomenuli, Bilderberg, Trilateralu i Komitet tristo oni su sada što malo u mirovini ili u stanju mirovanja?"
0:16:23,0:16:32,"Ne, ne, oni su sada u još većoj tajnosti jer oni donose i dalje odluke, ali onda prebacuju to sve na ovaj svjetski ekonomski forum u Davosu."
0:16:33,0:16:34,Znači ovo je samo mazanje očiju.
0:16:35,0:16:40,"Pa jasno da, jer ovo što sam rekao, vi nas pratite, e nećete nas pratiti, mi ćemo vam dati materijal."
0:16:41,0:16:42,Evo lovsicu za igru.
0:16:42,0:16:45,"Tako je, to je čisti balon koji oni puštaju ovako."
0:16:45,0:17:26,"E sada bih još rekao, tu kad smo već kod toga, tu je dalje okrugli stol, tu je Tink Tank, tu je Rimski klub, tu je Pariški klub, Venecijanski klub, Rozenkrojcari, zatim dolaze, masoni su negdje čak tamo na desetdvanaest mjesto u znaku iako je vrlo popularno da svi govore kad se govori o zavjerama, govore masoni su najvažniji, tako da točno je da masoni imaju taj rang, trideset četiri ranga imaju tu u svojoj strukturi interesantno je pročitati uopće kako masoni to organiziraju to je vrlo važno i mislim zgodno a praktički perfektno odrađeno."
0:17:26,0:17:33,"Znači oni idu u glavu, znači od samog predsjednika države do čistačice, do portira, zašto?"
