Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:21,0:00:24,Dobrodošli u još jedan podcast Mrežnica.
0:00:24,0:00:28,Za našeg današnjeg gosta mnogi kažu da bi ga mogli slušati danima.
0:00:28,0:00:39,"Razlog tome je što je nevjerojatno iscrpan i nevjerojatno žustar u svemu što objašnjava i što tumači i analizira gospodin Pavleka Kalinić, dobar dan, dobrodošli."
0:00:39,0:00:45,"Dobar dan, hvala vam na pozivu jer vam je prvo gostovanje ovakvog oblika u dugoj resi."
0:00:46,0:01:14,Na ono da je ovdje bio nekakav rat devedeset jedan pa sam tu navraćao ovaj dio a češće smo išli dolje na onaj zadnji dio što je to s one strane kupe smo nekim ljudima nosili neke pomoći itede ali to su vjerojatno ljudi ovdje zaboravili ali moram i podsjetiti da je ovdje bio rat od devedeset jedan do devedeset pet odlično da dobro je uvijek podsjetiti gospodine kaliniću rat je davno završio a jučer je završio odnosno završili su parlamentarni izbori narod je svoje odabrao kako ste raspoložilieni kad na to gledate?
0:01:14,0:01:19,"Nikada ne bira, biraju oni koji kontroliraju medije, oni su im postavili šta će glasati."
0:01:21,0:01:25,Najjača stranka je bila što se ne predviđa da će biti hadeze Zbog čega hadeze?
0:01:25,0:01:44,"Zato što je hadeze najduže na vlasti i najviše instalirao svojih ljudi u raznim strukturama i uključujući ljude koji su bili u ratu, pa dok su bili u ratu, ratni profiteri su im zatvorili mjesta gdje su oni trebali raditi i onda su ti ljudi silom prilika završili u mirovini da bi sačuvali svoje pozicije, ne oni koji su pravi nego velika većina koji su krivi."
0:01:44,0:01:54,"Oni su sada prisiljeni glasati njihove obitelji za hadeze Hrvatsku demokratsku zajednicu što ja se ne smatram ni da je Hrvatska ni da je demokratska ni da je zajednica, ali se tako zove."
0:01:55,0:02:33,"Isto tako imate jako velik broj ljudi koji su zaposleni u dvadeset jedan županiji četiristo i osamdeset ili četiristo pedeset i nešto nije uglavnom preko između četiristo i petsto općina ti su ljudi i njihove obitelji su prisiljeni glasati za to jer gledajte hrvatska ostala hrvatska je generalno deindustrijalizirana recimo kad pogledate grad zagreb recimo radničku cestu onda tamo gdje je bila tvrtka do tvrtka gdje su ljudi radili sada su vam to poslovne zgrade nema mnogi kažu nama ili recimo imali ste rijeku rijeka je praktički bila treće ili četvrto industrijsko središte u bivšoj državi, u Hrvatskoj je bila druga, bio je Zagreb, pa Rijeka, pa Split, međutim to je sve pometeno, to je nestalo."
0:02:33,0:02:40,"Imate tako i Zadar, recimo Zadar koji je imao jako veliku akumulaciju zbog toga što je Zadar imao jednu veliku prednost u odnosu recimo na jedan Split."
0:02:40,0:02:43,"Prva i druga Jugoslavija su gurale Split, zašto?"
