Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:01,0:00:18,"Gdje prije tebe te mreža čeka, gdje poznaje ona tvoja mreža, slovi na putu i miri za mina, tu je tu zetvu doma vina, pravio mrežnica."
0:00:21,0:00:24,Dobrodošli u još jedan podcast mrežnica.
0:00:24,0:00:27,Naša današnja gošća je gospođa Karolina Vidović Krišto.
0:00:28,0:00:28,Poštovanje.
0:00:28,0:00:30,"Poštovanje, pozdrav vama i vašim gledateljima."
0:00:31,0:00:39,"Drugi put ste u našem podcastu, prvi put ste bili krajem prošle godine, točno zapravo pred pet mjeseci kada smo počinjali s radom."
0:00:40,0:00:49,"Tada sam vas predstavila kao političarku britkog jezika koja ono što na umu to na drumu, ali izgleda da gospođo Vidović Krišto nije bilo dovoljno da uđete u Sabor."
0:00:49,0:00:56,Ta britkost i to vaše upozoravanje na sve probleme koji Hrvatskom vladaju.
0:00:57,0:01:01,Prije svega dužna sam vam iskreno zahvaliti što ste me pozvali.
0:01:03,0:01:21,"Odlučnost i pravednost, znači OIB i ja kao predsjednica te stranke smo u svojem vrstnom sanitarnom kordonu, dakle nigdje nas se ne smije čut nigdje nas se ne smije vidjeti, tako da hvala na ovoj prilici da malo porazgovaramo i da doprijemo do hrvatskih građana."
0:01:22,0:01:50,"Ne bih rekla da nisam uspjela jer je to već, ja ću reći, gotovo pa i znanstveno dokazano, dakle ovi izbori su pokradeni na više razina, dokazivo, otvoreni dokazi, otvoreno manipuliranje, počevši od medijske korupcije, potpuno cenzure koja je Ustavom i zakonom zabranjena, do naravno onih detalja o kojima sam govorila u kaznenoj prijavi koju sam podnijela vezano uz krađu izbora."
0:01:50,0:01:57,Recite mi je li normalno da Šeksov nečak tiska glasačke listiće pod nekontroliranim uvjetima?
0:01:57,0:01:58,Nek mi netko na to pitanje odgovori.
0:01:59,0:02:14,"Dakle sve europske države, reći ću možda i svjetske uređene države, imaju svoje državne tiskare koje se bave tiskanjem izbornog materijala, to se radi pod strogo kontroliranim uvjetima, kamere, osiguranje, zaposlenici."
0:02:14,0:02:31,"Mi smo ovdje vidjeli Šeksov nečak, dakle bez ikakvog nadzora, tvrtka koja je registrirana za među ostalim istraživačko ronjenje je preuzela taj posao i to je jedan od detalja na koji cijela politička scena šuti."
0:02:31,0:02:38,"Dakle, ako je dokazana krađa izbora se dogodila, onda nije to da sam ja pokradena, pokradeni su hrvatski građani."
0:02:39,0:02:41,Najuzišeniji oblik demokracije jesu izbori.
0:02:42,0:02:48,"Ako vi izbore manipulirate i kradete, onda nema ništa više od demokracije, apsolutno ništa."
0:02:49,0:02:51,Što onda ostaje od stranaka na hrvatskoj političkoj sceni?
0:02:52,0:02:53,To više nisu stranke.
0:02:53,0:03:11,"Jer na takve podatke šutjeti gdje europska javnost je podigla obrve i počela se time baviti, mi smo naime angažirali i strane stručnjake koji sada zaista rade znanstvenu analizu koja je potrebna za ići na te europske institucije koji ne mogu vjerovati što se ovdje i kako otvoreno događa."
