Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:01,0:00:18,"Gdje prije te zemlje čeka, gdje postoji ona tvoja djeca, slovi na putu i miri zemlina, tu je tu svjetlu doma nama, radio mrežnica."
0:00:21,0:00:24,Dobrodošli u još jedan podcast mrežnica.
0:00:24,0:00:33,"Nakon gostiju i gostiju s kojima smo analizirali geopolitiku i sve što se događa na tom planu u svijetu, danas ćemo biti malo ezoterični."
0:00:33,0:00:36,"I prije svega, nadam se da će vam se svidjeti."
0:00:36,0:00:37,Naš gost je dr.
0:00:37,0:00:39,Semir Osmanagić.
0:00:39,0:00:40,"Dobar dan, dobrodošli."
0:00:41,0:00:42,"Dobar dan, zahvaljujem Marijana."
0:00:44,0:00:52,"Živimo u doba kada mediji više nisu nepristrasni, nisu objektivni, nisu neutralni, nisu neovisni."
0:00:53,0:00:58,Zapravo ne možemo ih ni zvati medijima već običnim propagandnim glasilima.
0:00:59,0:01:07,Jer rade isključivo u narativu njihovih vlasnika ali i onih koji imaju presudan utjecaj na njih.
0:01:08,0:01:12,"Međutim, radio mrežnica je nešto drugo i s ponosom."
0:01:15,0:01:18,Tako da mi je bilo veliko zadovoljstvo da sada odazovem poziv.
0:01:18,0:01:21,Evo vas danas u našem podcastu.
0:01:22,0:01:30,Ja ne znam zapravo postoji li netko tko za vas nije čuo i sad mi se svaka minuta čini dragocjena razgovora s vama.
0:01:30,0:01:36,"Imala sam nekakvu koncepciju, onda sam rekla evo sad smo prije nego što je krenulo snimanje pa kako ide neka ide."
0:01:36,0:01:38,Znate što me zanima?
0:01:38,0:01:50,"Ovo danas sve što živimo kao ljudi, tako smo skloni mržnjama, tako smo skloni negativnoj energiji, tako smo skloni osudama svih koji ne misle kao mi."
0:01:50,0:01:52,A gdje nam je nestala ljubav?
0:01:53,0:01:55,Živimo u izazovnim vremenima.
0:01:56,0:02:01,"Međutim, mi smo sami izabrali da se pojavimo baš sada, ovdje."
0:02:02,0:02:04,"Poslije se pitanje, tko smo to mi?"
0:02:05,0:02:21,"Za većinu ljudi, mi smo ovi, ljudi, homo sapiens, izbilja to je naš prvi entitet, naše fizičko tijelo koje se sastoji od mesa i kostiju i krvi i nervnog sistema."
0:02:22,0:02:29,"Ali, pošto imamo mozak, dakle, imamo i umni., intelektualni aspekt, imamo emocije, imamo i energetski aspekt."
0:02:30,0:02:36,"Ne samo aura, koja je prvi bio energetski omotač, već ukupno sedam tih energetskih omotača."
0:02:37,0:02:41,"Tijelo je vrlo složeno, ali ono je za jednu upotrebu."
0:02:42,0:02:45,"Prolazi nakon 30, 50 ili 100 godina."
0:02:46,0:02:50,Naš drugi aspekt ili drugi entitet je naša duša.
0:02:51,0:02:56,"Kada kažemo mi smo izabrali, tu prije svega mislim na dušu."
0:02:56,0:03:06,Naša duša je izabrala da se nađe u ovom momentu u ovom vremenu kod ovih roditelja da se bavimo čime se bavimo.
0:03:06,0:03:13,"A pošto su vremena izazovna, ona su idealna za razvoj duše i to vrlo brz razvoj."
