Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:01,0:00:18,"Gdje prije te te je čeka, gdje postoji ona tvoja rijeka, slovina putu mi miri znamina, tu je tu sretnu domovina, radio mrežnica."
0:00:21,0:00:23,Dobrodošli u podcast mrežnica.
0:00:23,0:00:29,"Naš današnji gost je gospodin Boško Picula, docent na fakultetu političkih znanosti i filmski kritičar."
0:00:30,0:00:31,"Gospodine Picula, dobrodošli."
0:00:32,0:00:35,Najljepša vam hvala i evo srdačan pozdrav svim našim gledateljicama i gledateljima.
0:00:35,0:00:37,Divno je biti na podcastu mrežnica.
0:00:37,0:00:38,Hvala vam najljepša.
0:00:39,0:00:40,Odmah ste me dobili na početku.
0:00:42,0:00:49,"Dodala bih u ovom vašem predstavljanju, ali razumijete se iznimno dobro i u politiku jer ste politolog, dakle i u geopolitiku."
0:00:50,0:00:56,"Filmski kritičar je samo šećer na kraju, pa imamo danas dobar scenarij za podcast."
0:00:57,0:01:00,Nadam se da naši gledatelji neće ostati razočarani.
0:01:00,0:01:02,Idemo odmah u glavu.
0:01:02,0:01:08,"Američki predsjednik Donald Trump nazvao je ruskog predsjednika Putina, a onda iz Zelenskog."
0:01:08,0:01:20,Bliži li nam se kraju ova epizoda događaja dogovora o pregovorima ili je sve samo još uvijek negdje neuplaćen?
0:01:20,0:01:38,"Da, to ste stvarno izvrsno istaknuli jer evo već nekoliko mjeseci od kako je predsjednik Trump preuzeo drugi put dužnost američkoga predsjednika u siječnju ove godine se iščekuje koliko će biti utjecajan kad je u pitanju njegov odnos sa Vladimirom Putinom."
0:01:39,0:02:27,"Temeljni problem je u tome što Donald Trump zasigurno ima veliku želju da ostane zapamćen kao mirotvorac u vjerojatno najtežem sukobu koji trenutačno imamo u međunarodnim odnosima, ali i uzroci i sve ono što je prethodilo otvorenoj agresiji Ruske federacije na Ukrajinu dvadeset četiri veljače dvije tisuće dvadeset dva godine nije samo stvar koja se može tako jednostavno riješiti unatoč svim naporima ja bih rekao da je mislim donald trump u tome vrlo iskren on jednostavno želi završiti ovaj rat on želi ostati upamćen kao netko tko je s pozicije američkog predsjednika dao ključan doprinos završetku rata i bilo bi stvarno ključno nužno i potrebno da se zaustavi ovo strašno ubijanje."
