Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:01,0:00:18,"Gdje prije te zemlje čeka, gdje postoji ona tvoja rijeka, slovi na putu i miri znanja, tu je tu sve tu dolina, pravio mrežnica."
0:00:21,0:00:23,Dobrodošli u podcast mrežnica.
0:00:23,0:00:34,"U trenutku nevjerojatne geopolitičke napetosti, u goste nam dolazi onaj čije se analize nestrpljivo očekuju, vojni strategi i admiral Davor Domazetlošo."
0:00:34,0:00:37,"Admirale, cijenjeni admirale, poštovanje., dobrodošli."
0:00:38,0:00:38,Hvala lijepa.
0:00:38,0:01:08,"Evo što smo se vidjeli nakon koliko tri, četiri mjeseca, zaista je zanimljivo u svijetu pa će biti dobro, korisno za sve nas da malo dublje, sadržajnije progovorimo o ovome, dakle taj determinirani kaos koji proizvode okultna oligarhija gdje je svijet u zadnjih mjesec, više dana u velikome strahu hoće li padati ili neće padati nuklearne bombe ako što vidimo neće padati."
0:01:10,0:01:19,"Danas ćemo hladno, nenavijački, onako analitički zapravo vi ćete to napraviti, objasniti gledateljima sve što se događa i čemu smo izloženi."
0:01:19,0:02:25,Ja ću samo podsjetiti da ste pred Božić prije šest mjeseci ovdje također u našem podcastu rekli dvije tisuće dvadeset pet bit će krešendo svih događaja to ste puno prije napisali u svojoj knjizi gospodari kao sa odavno objavljenoj sad su tu i vaše dvije nove knjige donijeli ste nam i danas suvremeno umijeće ratovanja i vrući mir jedan ili rusiju uostalom treba razoriti sve se bojim pitati što piše u njima da ova jest Ova je bila knjiga gospodari Kaosa koja je napisana dvije tisuće pet a dvadeset godina kasnije u njoj stoji čak ima i slika prikazali smo je da će kršenje do glavnih događaja i determinirano kaosa odnosno kriza u svijetu će biti u dvadeset pet godine sada uistinu se to događa ovo što je bilo na bliskom istoku ili na srednjem istoku se upravo taj vrhunac koji se danas je završio bar jedna etapa nekakvoga mira ali mira neće biti ili ne može ga biti jer okutna oligarhija to ne znači.
0:02:26,0:02:36,"Dvije moje nove knjige su sada izišle, jedna je suvremeno umijeće ratovanja ili vremena Jata i Rojeva, dakle odnosi se na besplatne letilice ili četvrtu dimenziju rata."
0:02:37,0:03:31,"Nije onako Suncu ako je prije dvije tisuće petsto godina napisao umijeće ratovanja a ovo se zove suvremeno umijeće ratovanja nije nitko pisao a Suncu svoje knjige čuveno djelo to je najčitanija najprevedenija knjiga na svijetu uopće ona je od Biblije jer Biblija je pretežita za kršćane nije napisao suvremeno nove postulate, on je postao i one su univerzalne, to su kao nekakve recimo crkvene dogme ili u matematici aksijomi o ratovostvu i ratovanju, ali međutim iz dvodimenzionalnog rata koji je bio u vrijeme Suncua mi danas smo u šest dimenzija rata odnosno tu šestu ja sam digao na sedam jer šestu sam u ovome u Sunčevom vijeću se zove rat mreža, vidimo da mi smo svi u nekakvim mrežama."
