Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:01,0:00:18,"Gdje prije tebe čeka, gdje postoji ona tvoja riječ, što mi na putu i miris na mine, tu je tu srcu dolina, bravio mrežnica."
0:00:21,0:00:24,"Počinje podcast Mrežnica, želim vam dobrodošlicu."
0:00:24,0:00:29,"Naša današnja gošća, geopolitička analitičarka gospođa Sanja Vujjačić."
0:00:29,0:00:30,"Draga Sanja, dobrodošli."
0:00:31,0:00:33,"Hvala lijepo, dobro vas našla."
0:00:33,0:00:34,Izvrsno.
0:00:35,0:00:52,"I dobro, mi našli vaše analize koje su uvijek zanimljive, onako kako sam rekla jedanput u našem druženju sa francuskim šikom, geopolitičke analize, ovako, pa da mi ne budemo previše šikovite nego konkretne, jasne i glasne."
0:00:52,0:01:21,"Toliko toga se događa, evo sad vidimo zvone zvona da je zapravo jedan mirovni mogući dogovor o Ukrajini na pragu i to između Rusije i SAD-a dok se Zelenski na jednostavan drugi način zapravo bori sa korupcijom, sa zlatnim vcima sa sto milijuna dolara pronevjerenih od strane njegovih bliskih suradnika."
0:01:22,0:01:23,Što se zapravo događa?
0:01:24,0:01:28,"U Ukrajini će odlučivati očito svi, samo ne Ukrajina."
0:01:30,0:01:39,"Pa ja bih rekla da je početna situacija bila vrlo, vrlo similarna i da danas živimo nezamisliv trenutak."
0:01:39,0:01:40,Zašto?
0:01:40,0:02:10,"Evo ga malo prije dolaska u ovu emisiju, francuski šef vojske Fabien Momdon je vrlo ozbiljno uputio poruku naciji pozivajući je na domoljublje u smislu ukoliko volite Francusku, onda ćete dozvoliti da vaša djeca ginu u ratu."
0:02:10,0:02:11,To je rekao.
0:02:12,0:02:12,To je rekao.
0:02:13,0:02:23,"Evo ga, prije nego što sam ovdje kod vas dolazila, ne istim riječima, nego s tim značenjem."
0:02:25,0:02:45,"Znači da smo ušli u fazu koju podcrtava francuski predsjednik Macron, a to je ona faza nakon ubiranja dividendi mira, budući da više ne funkcionira, krećemo na ubiranje dividendi rata."
0:02:48,0:02:52,Zašto je potrebno podići ratnu mašineriju itd.
0:02:54,0:03:00,I francuska javnost je na dnevnoj bazi suočena sa takvim bombastičnim.
0:03:03,0:03:15,Pa je tako isti general Moldon objavio vrlo ozbiljno da se pripremamo za rat i da će rat biti 2030.
