Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:05,"Nikad u životu otac, ni majka nisu digli ruku na mene, jedna majka je htjela."
0:00:05,0:00:10,A onda se čuo očev glas iz mnemonog boravka.
0:00:10,0:00:12,"Marija, ne po glavi."
0:00:13,0:00:15,"Tamo je bila potjera, rekao je."
0:00:15,0:00:20,"Sutra snimamo učestit strihu, kao mama ovog s televizije."
0:00:20,0:00:25,"Dokle god je znanje u prime time, mislim da ovaj svijet ima smisla."
0:00:25,0:00:27,Oca sam izgubio relativno rano.
0:00:27,0:00:32,Volio bi da su se sreli s njim i s nekakvim njegovim mislima koje je on meni ostavio.
0:00:32,0:00:37,"O poštivanju, o razumijevanju, o saslušanju, o neposljednosti."
0:00:37,0:00:38,Ne posegnuti za nečim što nije tvoje.
0:00:38,0:00:43,"Kad su se otvorila vrata i kad je žena izašla van i rekla koja je sljedeća, dimi je dijete."
0:00:43,0:00:46,Oni su ga već oddali i on se rasplako.
0:00:46,0:00:48,Samo onaj bijes je u stvari ta ljubav.
0:00:48,0:00:51,Ja samo želim da se prvi put s problemom susretne sa 30 godina.
0:00:51,0:00:57,"Hoću da ga neko gurne na hodniku, hoću da malo osjeti te nepravde, da što prije stane na svoje noge."
0:00:57,0:01:00,Sa 30 je kasno da se on odupire nekim nepravdama.
0:01:00,0:01:04,"A rekli ste, radio sam puno grešaka i mijenjao bih te stvari."
0:01:04,0:01:08,"Da nam je ova pamet i ono vrijeme, to se nikad neće dogoditi."
0:01:08,0:01:11,Rastama roditelja je najbolja točka.
0:01:11,0:01:15,"Ljubav može nestati među odrasllima, ali nikad neće nestati prema djeci."
0:01:15,0:01:18,Ta serija se zove nestali samo iz jednog razloga.
0:01:18,0:01:26,"Pogled ljudi koji su bili tada 20-godišnjaci i mlađi, nakon četiri godine kada su se vratili, više nije bio isti."
0:01:27,0:01:29,Nama su naši roditelji ostavili neke vrijednosti.
0:01:29,0:01:31,Ja se nadam da ćemo mi ostaviti nešto našoj djeci.
0:01:32,0:01:36,"Sve što im trenutno ostavljamo, mislim da bismo im se trebali prvo ispričati."
0:01:40,0:01:48,"Danas je s nama jedno tv lice, osoba koja se krije iza brojnih vizova, ali i ispred brojnih vizova."
