Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:03,0:00:10,Nakon promišljanja o stilovima vođenja u poslovnom kontekstu vrijeme je da zaronimo dublje u duhovnu dimenziju vodstva.
0:00:11,0:00:20,"Naš sljedeći govornik je Pater Sebastijan Šujević, Isusovac i teolog školovan u Zagrebu i Rimu s dugogodišnjim iskustvom u odgoju, duhovnom vodstvu i radu s mladima."
0:00:20,0:00:26,Danas je crkveni asistent karizmatske obnove u Hrvatskoj i poglavar hrvatskih Isusovaca.
0:00:26,0:00:36,"Pater Sebastijan s nama dijeli temu duhovna dimenzija vodstva, mistično vodstvo, koje nas poziva na razmišljanje o dubljem unutarnjem pozivu svakog vođe."
0:00:37,0:00:41,Lijepo vas molim da toplim pljeskom pozdravimo Patre Sebastiana Šujevića.
0:00:48,0:00:57,Podsjetit ću još jedanput samo na aplikaciju Slido i na QR kod koji ćete vidjeti ovdje na ekranu gdje možete postaviti svoja pitanja Patro Sebastianu Patre.
0:00:57,0:00:57,Izvolite.
0:00:59,0:01:04,Sve vas srdačno pozdravljam i drago mi je biti danas ovdje s vama prije svega.
0:01:05,0:01:17,Učim se i ja u sve ovo što sam doživio svaki dan i u svakom nekom periodu života pa ne samo periodu nego i mjesecu i razdoblju godine nešto novo dolazi i snalaziš se kako znaš.
0:01:17,0:01:28,"A dobro je kad znaš da imaš neke stvari na raspolaganju bez obzira na struku, bez obzira na karakter, bez obzira na neke svoje specifičnosti i talente."
0:01:28,0:01:30,Ja bi vam o tome htio progovoriti.
0:01:32,0:01:59,"Neka riječ ili moto koju sam si uzeo još prije nego što sam postao svećenik bila je u susretu s jednim našim Isusovcem koji se vratio Hrvatom koji je bio u Brazilu u misijama, vratio se i bio je omiljen, bio je dobar, sljedili su ga ljudi, pomagao je ljudima, služio je i pitao sam ga tko je pater, tko je najbolja stvar, šta da si uzmem i šta ste vi imali kao pravilo, kao moto u svemu što radite."
0:02:00,0:02:04,Kažu od meni najvažnije su ti blagost i dobrota.
0:02:05,0:02:12,To sam si uzeo i dalje u životu otkrivam i dobre strane i mane tog mota.
0:02:14,0:02:35,"Ali evo o duhovnom vodstvu ova blagost i dobrota ima vrlo važan smisao, pogotovo ako govorimo o duhovnoj dimenziji vodstva, svakoga vodstva koje u konačnici otkriva mističnu narav vodstva, svakoga onoga koji bi to htio malo otkriti., a svatko ima to na raspolaganju."
0:02:36,0:02:45,Počet ću konkretnije sa dvije premise koje sam si uzeo da vas uvedu da vidite zapravo da ste i vi i na to pozvani i da možete ako hoćete.
0:02:46,0:02:49,"Prva premisa je ljudska, čovjekova konstitucija."
0:02:50,0:02:57,"Svi znate i vjerujem imate iskustva čovjek je duh, duša, tijelo i to je to."
0:02:58,0:04:02,"I to bilo koje perspektive to uzmemo, uzmemo vjersku perspektivu, filozofsku, antropološku, znanstvenu, medicinsku, dakle nebitno sve te stvarnosti, znanja, iskustva upućuju na to da mi to jesmo, da jesmo zapravo duh duše i tijelo, da jesmo duhovna bića i da u sebi otkrivamo nešto što nas čini otvorenima za nadahnuća koja možemo reći da ne znamo sto posto da su naša nego da su s neke druge strane da ima nešto još osim nas a o tome govori naše čežnje srca naše želje koje mi zapravo kroz svaku neku svoju aktivnost želimo ispuniti i nadograditi da bi gradili svoj život dakle a neke moći te naše duha i duše kao ljudi jesu da imamo intelekekt, imamo razum, imamo pamćenje, pamtimo stvari, imamo slobodnu volju osjećaje, imamo sposobnost maštanja, vizije, vizualiziranja stvari."
0:04:03,0:04:10,I to je nešto što mi kao ljudi baštinimo svake generacije počevši od prvog čovjeka pa do zadnjega.
0:04:10,0:04:14,"To je prva premisa, da smo duhovna bića."
0:04:15,0:04:35,"Druga stvar, druga premisa bi bila ova, a to je da svako od nas ima na raspolaganju jedan fenomenalan instrument, čudesan instrument koji nam je opet dan po toj nekoj Konstituciji koju ne biramo, to nam je dano samim s time što jesmo, a to je savjest."
0:04:36,0:05:02,"Svi imate savjest, vjerujem, svi ste upoznati s njom, svi je slušate nekad više, nekad manje, nekad je malo zgurate, prilagođavate pa ona šuti, nekad ne slušate nju nego slušate svoj ego, slušate svoju podsvijest, dakle puno toga se tu miješa, ali sa malo vježbe taj glas se razvija i može postati vrlo jasan, vrlo čist."
0:05:03,0:05:22,"Jedan je veliki stručnjak koji evo nekako mi je i nekako naveo život da ga proučavam je John Henry Newman, bio je i jest svetac, ali je doktor savjesti koji govori o savjesti kao najdubljem svetištu našega bića."
0:05:23,0:05:34,"Kad može biti vani i buka i oluja, kad se ti spustiš u to svetište, ti si sam sa sobom i sa svojim gospodinom i možeš čuti što ti on govori."
0:05:35,0:05:41,"Savjest govori o njoj, John Henry Newman je isto kao i svjedok Božje prisutnosti."
0:05:42,0:05:43,"Ali nije samo to,."
0:05:44,0:06:06,"es jedne strane ona nam pomaže da razlikujemo dobro i zlo, ali isto tako ona povezuje sve one moći duše, razum, sjećanja, pamćenja, osjećaje maštu, povezuje ih i potiče na ono što je od svega toga dobro, povezuje i upućuje na ono što je dobro i razlikuje se od njih."
0:06:08,0:06:21,"Kod Johna Henryja Newmana bila je jedna vrlo fenomenalna situacija, odnosno sam on priča o tome kako je njegov život zapravo bio pogođen savješću."
0:06:21,0:06:29,Neka tri ključna trenutka njegova života su bili trenuci kada je on duboko surađivao sa savjesti.
0:06:30,0:06:35,Ne bi rekao samo vođen sa savjesti nego surađivao sa savjesti.
0:06:36,0:06:37,Ta tri trenutka su ova.
0:06:38,0:06:40,Prva stvar je djetinstvo.
0:06:41,0:06:45,Kao mali bio je anglikanac i njegova obitelj je bila vjernika obitelj.
