Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:05,0:00:16,"Sada slijedi jedan poseban razgovor jedan na jedan susret dvaju svjetova koji dijele zajedničku temu, vodstvo kroz utjecaj, autentičnost i osobnu odgovornost."
0:00:16,0:00:28,"Ulozi sugovornika je Miroslav Škoro, građevinar, ekonomist, kantautor, poduzetnik i javna osoba koja je kroz glazbu, politiku i poslovanje ostavila snažan trag u hrvatskom društvu."
0:00:28,0:00:38,"Njegova je biografija impresivna, a karijera višeslojna od diplomiranog inženjera i doktora znanosti do autora bezvremenskih pjesama."
0:00:38,0:00:49,"Razgovor s njim vodit će naš patar tvrtka Barun, Isusovac i voditelj centra Ignacijevo, možete oboje doći ovdje na pozornicu, a tu mi je patar tvrtka, gledam gdje je."
0:00:55,0:01:17,"Vas dragi sudionici pozivam na dvije stvari, najprije otvorite se i pridružite se slušanju ovog susreta dvaju glasova koji će vjerujem otvoriti nova razmišljanja o vodstvu, vrijednostima i odgovornostima, a isto tako, već sam možda malo i dosadna, ali uvijek postoji netko tko zaboravi, postoji i aplikacija slajda na kojoj možete pomoću QR koda postaviti pitanje."
0:01:18,0:01:18,Izvolite.
0:01:19,0:01:19,Hvala.
0:01:21,0:01:22,I vi se možete zahvaliti isto.
0:01:25,0:01:25,Hvala.
0:01:26,0:01:28,"Sad smo malo šutjeli, a sad ćemo pričati."
0:01:30,0:01:32,"Nećemo pjevati, ali pričat ćemo."
0:01:33,0:01:53,"Zadovoljstvo mi je i drago mi je da evo možemo malo po pričati, podijeliti i izvući iz vas iskustvo utjecaja na druge, mijenjanja stvari, uspjeha i neuspjeha, pogrešaka i vrlo velikih uspjeha."
0:01:54,0:02:03,"I kakav jesam direktan, početi ću sa šakljivom temom, politika."
0:02:07,0:02:16,"Ovako, kad smo mi objavili i ovako praktično ću reći, kad smo objavili da dolazite na ovu konferenciju bilo je dosta haterijskih komentara."
0:02:19,0:02:42,"Nažalost, ja nisam razumio, iskreno govorim to iz svega onoga što ja znam i susreta našeg, moj dojam vrlo pozitivan bio, kako to objašnjavate, zašto, koja je pogreška, što vam najviše ljudi zamjeraju i pretpostavljam da je to pitanje polit politike, a ne glazbe."
0:02:44,0:02:45,I kako se nosite s time?
0:02:46,0:02:46,Hvala lijepa.
0:02:46,0:02:48,Prije svega srdačan pozdrav svima.
0:02:49,0:02:50,Hvala lijepa na pozivu.
0:02:51,0:02:58,"Nisam diplomiran iz inženjerstva nego samo inženjer da nisam uspio tih pet godina, ali dvapet jesam."
0:03:00,0:03:02,Poznajem tu ekonomiju i tako to sve.
0:03:02,0:03:30,"Uglavnom, što se tiče toga, ne mogu ja odgovoriti na to pitanje zbog toga što je to za mene sfera iracionalnoga i možda bih rekao jednu stvar malo šire da ljudi shvate naime moj stav i moju poziciju, a to je da kada sam radio različite stvari u životu onda sam kao glazbenik recimo shvatio da postoji jako puno kao i u svemu pokušaja da se nešto sistematizira, da se ja to volim reći izladičari."
0:03:30,0:03:39,"Aha, ovi su tamburaši, ničemu ladicu s tamburašima, ovi su klasičari, ničemu tu i njima idem na živce zato što ja iskačem iz svake ladice."
0:03:39,0:03:53,"Ja smatram da je glazba sedam nota sto odivota i dopuštam si da radim bez obzira što sam naturšik glazbeni, da radim i glazbu i za tamburaške orkestre i za pop i za ovo i za svašta što sam ja to radio i to ljudima ide na žice."
0:03:54,0:04:28,"I kada gledate to u teoretskom smislu onda kažu da u umjetnosti postoji ono studiranje originalnih kopija, a to je znači ako odete na likovnu akademiju onda imate djecu koja sjede i jedan dan crtaju neki ženski akt ali kao Picasso, pa drugi dan mu kažu da slika kao Rubens, da se igra sa svjetlom, da, znači, ali ustvari on kopijom, znači uči ga da kopira, on postaje akademski slikar i onda ti danas, sutra dođeš kaže da, ali to je akademski slikar, dobro, ok, mislim završio je to, ali ne znači da je dobar slikar, to je moje mišljenje."
0:04:28,0:04:34,"I onda na kraju knjige i takve literature uvijek imate nešto što piše na dvije, tri stranice piše genije."
0:04:36,0:04:54,"Genije ne podlježe tome, dakle ovi su učili raditi skulpture kao Rubens, kao i onda imaš Ivana Meštrovića koji se rodi i jednostavno to radi drugačije, bolje, nekome se može sviđati ili ne, ali to je pitanje umjetnosti i ukusa i znači sistematiziramo sve dok ne dođemo do genija."
0:04:55,0:04:56,mister genij.
0:04:57,0:04:57,mister genij.
0:04:57,0:05:34,"ne, ne, ne, ja hoću odgovoriti na vaše pitanje kad je u pitanju politika nisam dapače ja bi volio da jesam hvala na komplimentu uglavnom to je znači onih dva posto po gausu jel što na toj njegovoj krivulji tih dva posto to su genijalci onda kad uči recimo organizacijski menadžment sad je kolegica moja draga doktorica konta govorila o tome znači kada govoriš o tome onda imaš takozvani upravljačke strukture vodoravne, okomite, rekla bi baba horizontalno i vertikalno, diverzificiranje nečega, ustroj kada nešto postaje veliko, kada je ovog ili onog tipa sustav."
0:05:34,0:05:39,I onda na kraju te knjige i takve literature imaš tri stranice gdje piše poduzetnik.
0:05:40,0:05:54,"Naime i kod genija i kod poduzetnika piše sve što ste do sad naučili, jer ne odnosi se na genija u umjetnosti i ne odnosi se na poduzetnika u upravljanju i u gospodarstvu, ekonomiji, jel?"
0:05:55,0:06:02,"Zato što on ne mora imati te strukture, kao što genij ne mora uopće sjediti i crtat kao Pikaso, šta ga briga?"
0:06:02,0:06:07,"On crta kao Meštović ili crta kako već crta, Da Vinčić, Mikelangelo veliki i najveći."
0:06:08,0:06:26,"E sad, kad je politika u pitanju, dakle sve što ćete čuti o liderstvu na današnjem druženju, na današnjoj konferenciji, koliko traje, ne znam koliko, sada sam malo i uzbudio, dakle sve to apsolutno ne vrijedi kada dođe do politike."
0:06:27,0:06:35,"Politika je takva kaljuža, to je znači rekao bi pokojni Arsen, dno dna, ne može niže, samo dublje."
0:06:37,0:06:44,"Ja sam mislio, ja sam mislio svojevremeno da ono u svakom poslu ima, jel u svakom žitu ima kukolja."
0:06:45,0:06:46,Ovo je nevjerojatno.
0:06:46,0:06:50,"Dakle obrnuto je, u svakom kukolju ima i brunica žita."
