Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:10,"Dobrodošli na podcast SubClub, emisiju posvećenu najboljim praksama za izgradnju i rast aplikacijskih tvrtki."
0:00:10,0:00:20,"Sjednemo s poduzetnicima, investitorima i graditeljima koji stoje iza najuspješnijih aplikacija na svijetu kako bismo naučili iz njihovih uspjeha i neuspjeha."
0:00:20,0:00:22,SubClub vam donosi RevenueCat.
0:00:23,0:00:33,"Tisuće najboljih aplikacija na svijetu vjeruju RevenueCatu da omogući kupnju aplikacija, upravljanje kupcima i povećanje prihoda na iOS-u, Androidu i webu."
0:00:34,0:00:36,Više informacija možete pronaći na revenuecatucat.com.
0:00:37,0:00:38,Uđimo u emisiju.
0:00:40,0:00:46,"Pozdrav, ja sam vaš domaćin David Barnard, a danas sam ovdje s Jacobom Eitingom, izvršnim direktorom RevenueCata."
0:00:46,0:00:57,"Naš današnji gost je Vince Mayfield, suosnivač i izvršni direktor aplikacije Talking Parents koja pomaže razvijenim ili odvojenim roditeljima da bolje upravljaju komunikacijom i dijele odgovornosti."
0:00:58,0:01:10,"Na podcastu razgovaramo s Vincem o pravom načinu povećanja cijena, bolnim lekcijama odabira pogrešnih alata i zašto biste trebali reagirati na svaku recenziju aplikacije."
0:01:10,0:01:13,"Vince, hvala ti što si se danas priključio našem podcastu."
0:01:13,0:01:14,Ne mogu dočekati da razgovaramo.
0:01:15,0:01:16,"Oh, toliko sam počašćena što sam ovdje."
0:01:17,0:01:19,"Dugo sam slušala podcast, pa sam velika obožavateljica."
0:01:19,0:01:22,Zato je nevjerojatno da mogu sjesti ovdje i biti u glumačkoj postavi s tobom.
0:01:23,0:01:23,Fantastično.
0:01:23,0:01:29,"A Jacob, svježe obrijan, izgledaš kao beba bez svoje trostruke brade."
0:01:29,0:01:31,Svatko me sada poštuje jer sam čisto obrijana.
0:01:32,0:01:36,"Izgledaš kao da sam trinaestogodišnjakinja, ali prihvatit ću to."
0:01:36,0:01:38,"Drago mi je da sam se vratila, svi."
0:01:38,0:01:39,Ja sam ista osoba.
0:01:40,0:01:41,Danas me je netko na ulici zaustavio.
0:01:41,0:01:42,Ne znam ni.
0:01:42,0:01:43,"A ona je rekla: O, obrijala si se."
0:01:43,0:01:44,Ja sam rekao: Tko si ti?
0:01:45,0:01:46,To je prilično dobro.
0:01:46,0:01:51,"Za one koji slušaju audio podcast, morat ćete pogledati YouTube i vidjeti novog i poboljšanog Jacoba."
0:01:51,0:01:51,Da.
0:01:52,0:01:52,U redu.
0:01:52,0:02:08,"Dakle, Vince, htjela sam započeti pričajući o priči o Talking Parents i kako si prešao iz konzultantske tvrtke u kojoj si se trudio za sljedećeg klijenta i uvijek radio za druge ljude, uvijek na sat ili projekte."
0:02:08,0:02:14,I način na koji si mi to rekao kad smo razgovarali prije podcasta jest da si želio zaraditi novac dok si spavao.
0:02:15,0:02:21,I prilično je sjajno da si prešao iz konzultantske tvrtke u kojoj si se trudio samo za sljedećeg klijenta.
0:02:21,0:02:26,"Za sljedeće klijente, posao s prihodima od deset milijuna dolara godišnje, što je jednostavno nevjerojatno."
0:02:27,0:02:34,"Dakle, započnite s pitanjem koja je bila ta motivacija i kako ste započeli taj proces prelaza iz agencije u tvrtku za proizvode?"
0:02:35,0:02:40,"Dakle, moj poslovni partner, Louis Erickson, najbolji smo prijatelji od srednjoškolskih dana, pa se poznajemo dugo."
0:02:40,0:02:44,Odlučili smo da želimo krenuti i početi razvijati prilagođene softverove.
0:02:44,0:02:47,I tako smo razvili ovu profesionalnu uslugu.
0:02:47,0:02:50,"Oko devetog razdoblja, napravili smo Inc."
0:02:50,0:02:55,pet tisuća popisa i shvatili smo da sada imamo posao.
0:02:55,0:02:56,Nismo ga imali.
0:02:56,0:02:59,hobija i stvarno smo trebali drugačije razmišljati.
0:02:59,0:03:07,"Upoznali smo čovjeka po imenu Steven Nixon, koji je diplomirao na Pravnom fakultetu i radio je u privatnoj praksi kao odvjetnik."
0:03:07,0:03:14,"Bio je tužitelj, bio je branitelj i radio je u ovoj praksi sa svojim bratom, a njegov je brat bio obiteljski odvjetnik."
0:03:15,0:03:31,"Dakle, Steven se pojavljuje na sudu nakon što je njegov brat izabran za magistrata i ima dva su roditelja i oni se vraćaju i vraćaju na ovaj zapis komunikacija, koji je jednom imao poruke na jednom mjestu, Facebook post i e-poštu i vraćaju se i vraćaju se."
0:03:31,0:03:35,"I oni se vraćaju i sudac je ljut, a oba odvjetnika rade na satima."
0:03:35,0:03:41,"Sudac je naposljetku odbacio i rekao: U redu, vi se povucite i riješite ovo, a onda se vratite k meni."
0:03:41,0:03:44,Steven je došao na ideju da izradi ovu aplikaciju.
