Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:10,"Dobrodošli na podcast SubClub, emisiju posvećenu najboljim praksama za izgradnju i rast aplikacijskih tvrtki."
0:00:10,0:00:20,"Sjednemo s poduzetnicima, investitorima i graditeljima koji stoje iza najuspješnijih aplikacija na svijetu kako bismo naučili iz njihovih uspjeha i neuspjeha."
0:00:20,0:00:22,SubClub vam donosi RevenueCat.
0:00:23,0:00:33,"Tisuće najboljih aplikacija na svijetu vjeruju RevenueCatu da će omogućiti kupnju aplikacija, upravljati kupcima i povećati prihod na iOS-u, Androidu i webu."
0:00:34,0:00:36,Više informacija možete pronaći na revenucat.com.
0:00:37,0:00:38,Uđimo u emisiju.
0:00:41,0:00:55,"Pozdrav, ja sam vaš domaćin David Barnard, a moj današnji gost je Eli Winderbaum, voditelj odjela za korisničko iskustvo u aplikaciji Captions koja omogućava svima da bolje ispričaju priče generiranjem i uređivanjem videozapisa pomoću umjetne inteligencije."
0:00:55,0:01:07,"Na podcastu razgovaram s Eliom o učinkovitom povećanjuavanje podrške aplikaciji, zašto je vrijeme do prve reakcije tako važno i zašto biste podršku trebali tretirati više poput iskustva koncierža."
0:01:08,0:01:10,"Hej, Eli, hvala ti što si se danas priključio podcastu."
0:01:10,0:01:12,Hvala što si me primio.
0:01:12,0:01:15,"Da, tako da smo se oboje upravo vratili s godišnjeg rasta aplikacija, lijepo je vidjeti te osobno."
0:01:16,0:01:22,"Da, još uvijek sam malo u jetlagu, ali uživam u svojoj RevenueCat-ovoj stvari i boci vode."
0:01:23,0:01:28,"Nisam podnio za Shippy ove godine, ali sljedeće godine nadam se da ću ga dobiti i vratiti ga timu."
0:01:28,0:01:29,Vratio sam se za tim s podnaslovima.
0:01:29,0:01:30,"Da, podnaslovi su fantastični."
0:01:30,0:01:33,Vjerojatno bismo pobijedili da ste ih poslali.
0:01:34,0:01:37,Također je sjajno da ste imali prave oglasne ploče.
0:01:38,0:01:40,"Kad ste prikazali pobjednike na Shippiesima, bilo ih je devet."
0:01:40,0:01:45,"Pokazali ste sliku prave oglasne ploče u San Franciscu, ali mislio sam da ste ih samo photoshopirali."
0:01:45,0:01:56,"A onda sam, dok sam napuštao događaj, vidio jednu baš preko puta od trajektnog objekta i pomislio sam, u gadu, zapravo su im kupili ove oglasne ploče, što je bilo sjajno, stvarno jedinstveno i prilično je lijepo vidjeti."
0:01:56,0:02:03,"Da, to smo radili za neke od naših promocija i stvarno je cool imati prave oglasne ploče i onda moći fotografirati s njima i slično."
0:02:03,0:02:06,"Također smo napravili oglasne ploče u Times Squareu, što je bilo stvarno cool."
0:02:06,0:02:10,"Da, cijela naša ekipa otišla je tamo i fotografirala zajedno."
0:02:10,0:02:11,Bilo je stvarno zabavno.
0:02:11,0:02:12,Jedan od naših inženjera za iOS bio je heroj.
0:02:12,0:02:13,Pozdrav Rowelu.
0:02:14,0:02:16,Bio je na oglasnom ploči i bilo je prilično cool vidjeti ga.
0:02:17,0:02:19,"Mislim, visok je četrdeset stopa."
0:02:19,0:02:20,Rowell je bio prilično cool.
0:02:20,0:02:21,U redu.
0:02:21,0:02:26,"Pa, htjela sam započeti s nečim što ste rekli kad smo se pripremali za podcast."
0:02:26,0:02:40,"koji me zaista zapanjio jer je to neka vrsta suprotnog stava, mislim, ne samo u industriji aplikacija za pretplatu, već možda samo u širokom smislu tehnologije, što ste rekli da ne biste trebali samo smanjivati i odvlačiti podršku kupcima."
0:02:41,0:02:48,"I to je vrsta teme o kojoj ćemo danas govoriti, podrška kupcima, ali mislim da je to važna filozofija koja bi možda pokrenula cijelu ovu raspravu."
0:02:49,0:02:52,Zašto ne automatizirati što je više moguće?
0:02:52,0:02:53,To je samo takva posljednja misao za većinu ljudi.
0:02:54,0:02:55,Zašto mislite da je to tako važno?
0:02:56,0:03:01,"Da, mislim da je to posebno važno kada tvrtke tek započinju, nema osobe koja bi se bavila podrškom za korisnike."
0:03:01,0:03:08,"Dakle, kad sam došla do podnaslova, jedna od naših inženjera odgovorila je korisnicima od šest do devet ujutro, a zatim je završila svoj radni dan."
0:03:08,0:03:16,"Dakle, očito je da to nešto što ne želite raditi, ali kad pronađete tržišni odgovarajući proizvod, želite čuti od svojih kupaca što je brže i učinkovitije moguće."
0:03:16,0:03:18,I to je zaista funkcioniralo za nas.
0:03:18,0:03:24,Vidjela bi problem u našem interkomu i odmah bi ga popravila u kôdu jer smo bili tim od četiri osobe.
0:03:24,0:03:35,"Četveroslučni tim, ali kako se povećavate, počnete graditi tim, čujete od svojih kupaca i čujete od kupaca sretnih i nezadovoljnih, kao i zbunjenih i brojnih drugih osjećaja koje osjećaju."
