Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:10,"Dobrodošli na podcast SubClub, emisiju posvećenu najboljim praksama za izgradnju i rast aplikacijskih tvrtki."
0:00:10,0:00:20,"Sjednemo s poduzetnicima, investitorima i graditeljima koji stoje iza najuspješnijih aplikacija na svijetu kako bismo naučili iz njihovih uspjeha i neuspjeha."
0:00:20,0:00:22,SubClub vam donosi RevenueCat.
0:00:23,0:00:33,"Tisuće najboljih aplikacija na svijetu vjeruju RevenueCatu da omogući kupnju aplikacija, upravljanje klijentima i povećanje prihoda na iOS-u, Androidu i webu."
0:00:34,0:00:36,Više informacija možete pronaći na revenuecat.com.
0:00:37,0:00:38,Uđimo u emisiju.
0:00:39,0:00:46,"Pozdrav, ja sam vaš domaćin David Barnard, a danas sam sa mnom Jacob Heiding, izvršni direktor RevenueCata."
0:00:46,0:00:57,"Naš današnji gost je Ryan Beck, suosnivač i tehnološki direktor na prey dot com, aplikaciji čija je misija rasti vjere, kultivirati zajednicu i ostaviti naslijeđe pomaganja drugima."
0:00:57,0:01:11,"Na podcastu razgovaramo s Ryanom o riziku koncentracije na kreativnost oglasa, kako doprijeti do starijih, vrijednih demografskih skupina i zašto je konačni KPI još uvijek samo prihod."
0:01:11,0:01:14,"Hej, Ryane, hvala ti što si se danas priključio našem podcastu."
0:01:14,0:01:22,"Da, hvala ti, David, Jacob, što uvijek je lijepo razgovarati s tobom u ovaj lijepi ponedjeljak ujutro."
0:01:22,0:01:24,"Ovo je prekrasan dan za podcasting, Dave."
0:01:25,0:01:25,Hajde.
0:01:25,0:01:35,"Dakle, Ryan, htjela sam prvo ući u priču o prayer dot com dot Ne uvijek ulazimo u priču, ali mislim da smo na putu došli do nekih zanimljivih preokreta i okreta koji bi publika mogla voljeti čuti."
0:01:35,0:01:38,"Dakle, recite nam o osnivanju prayer dot com i nekim od tih ranih godina."
0:01:38,0:01:45,Izvorna teza bila je da smo u prostoru vjere vidjeli potrebu za digitalizacijom.
0:01:45,0:01:50,"Tradicionalno je prostor vjere bio zaostajan u usvajanju tehnologije, pa su bili neodlučni u društvenim mrežama i slično."
0:01:51,0:01:59,"I vidjeli smo da dolazi do kraja, gdje će stvarnost sus je bila na vrhu."
0:02:00,0:02:07,"Ono što mislim pod tim jest da su crkve i vjerske organizacije postojale na određeni način tisućljećima, doslovno."
0:02:07,0:02:15,"I tako su došli i napravili Netflix za njihov Blockbuster, nešto što su se odupirali i to nije nešto što smo željeli učiniti."
0:02:16,0:02:17,Željeli smo im pomoći da se preobraze.
0:02:17,0:02:18,I to je bilo cijelo.
0:02:18,0:02:22,"Dakle, krenuli smo s privatnom društvenom mrežom za vjerske organizacije."
0:02:22,0:02:27,I tako smo imali neke od najvećih vjerskih organizacija diljem zemlje na platformi i to je išlo stvarno dobro.
0:02:27,0:02:31,"Imali smo odličnu zadržavanje, znate, zadržavanje na razini Facebooka."
0:02:31,0:02:34,Društvena mreža je išla sjajno.
0:02:34,0:02:37,"Da bismo se uključili u te vjerske organizacije, morali ste."
0:02:37,0:02:45,Morali ste otići do njih i općenito ste morali otići više od jednom da biste dosegli stopu prodora od osamdeset posto u njihovu organizaciju.
0:02:45,0:02:52,"Problem je u vjerskim organizacijama, one su otvorene obično jedan dan u tjednu, gdje je svatko prisutan, a obično je to isti dan."
0:02:52,0:02:54,"Dakle, potrebna je prodajna snaga za to."
0:02:54,0:02:59,"Također, mislim da su ljudi koje biste mogli angažirati da prodaju ovaj proizvod vjerojatno zauzeti tog dana, pretpostavljam."
0:03:00,0:03:00,To je istina.
0:03:00,0:03:05,"Da, trebate prodavača koji ima vjerski pozadinski iskustvo."
0:03:05,0:03:09,Samo vojska ateista koji prodaju vaš proizvod vjerojatno neće se povezati.
0:03:09,0:03:10,"Ne, vjerojatno neće."
0:03:10,0:03:11,Neće.
0:03:11,0:03:14,"I tako, da, tako smo krenuli."
0:03:14,0:03:22,"A onda mi je jedna od stvari koju ste mi rekli dok smo razgov se pripremali za ovo da si radio i u više vjerskih skupina, ne u više vjerskih skupina, nego u svim vjerskim skupinama, zar ne?"
0:03:23,0:03:29,"Dakle, bilo je kao da su budisti, muslimani i kršćani radili u svim vjerskim skupinama."
0:03:29,0:03:31,Mislim da je to bilo izazov i u tim ranim danima.
0:03:31,0:03:44,"Bilo je zanimljivo raditi s nekim od najvećih džamija, sinagoga, hramova, župa i crkava jer smo se smatrali prilično osnovnom platformom na kojoj bi vjerske organizacije mogle graditi."
0:03:44,0:03:54,"I tako nismo htjeli, i zapravo nismo htjeli biti u jednoj skupini, htjeli smo izgraditi platformu koja je, kako kažem, agnostična prema religiji."
