Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:10,"Dobrodošli na podcast SubClub, emisiju posvećenu najboljim praksama za izgradnju i rast aplikacijskih tvrtki."
0:00:10,0:00:20,"Sjednemo s poduzetnicima, investitorima i graditeljima koji stoje iza najuspješnijih aplikacija na svijetu kako bismo naučili iz njihovih uspjeha i neuspjeha."
0:00:20,0:00:22,SubClub vam donosi RevenueCat.
0:00:23,0:00:33,"Tisuće najboljih aplikacija na svijetu vjeruju RevenueCatu da omogući kupnju aplikacija, upravljanje klijentima i povećanje prihoda na iOS-u, Androidu i webu."
0:00:34,0:00:36,Više informacija možete pronaći na revenuecat.com.
0:00:37,0:00:38,Uđimo u emisiju.
0:00:39,0:00:43,"Pozdrav, ja sam vaš domaćin David Barnard."
0:00:43,0:00:49,Današnja je rasprava kraća nego inače i prikazana će biti u izvješću o stanju pretplate RevenueCat.
0:00:49,0:00:57,Svaka epizoda ove serije istražit će jednu ključnu mjeru i podijeliti praktične spoznaje od najboljih operatera pretplate.
0:00:57,0:01:01,"Danas sam sa mnom, Lucas Level, potpredsjednik za proizvod u Paddleu."
0:01:01,0:01:19,"Na podcastu razgovaram s Lucasom o povećanju uspjeha s web pretplatama, o tome kako web plaćanja omogućavaju bolje korisničke iskustva i zašto može otežavanje otkazivanja na kraju više nauditi vašem poslu nego što pomaže."
0:01:19,0:01:20,Hvala vam puno što ste se danas priključili podcastu.
0:01:20,0:01:22,"Hvala vam puno što ste me primili, Davide."
0:01:22,0:01:22,Veselim se tome.
0:01:23,0:01:32,Ovo je prva godina u kojoj RevenueCat radi s partnerima kako bi uključio dodatne podatke u izvješće o stanju pretplatnih aplikacija.
0:01:32,0:01:38,"Zapravo još nisam proučavao te podatke, ali Paddle je podijelio neke podatke o webu koji će biti u izvješću."
0:01:38,0:01:52,"Stoga danas nisam htio govoriti o podacima, ali znam da vi i tim Paddlea osobno radite s mnogo aplikacija na web-u na aplikaciju i da uspijevate s web-plaćanjima izvan trgovina aplikacijama."
0:01:52,0:01:58,"Dakle, krenimo s nekim od najboljih preporuka i onim što vi vidite da radi."
0:01:58,0:02:00,Kako radite na webu za pretplatne aplikacije?
0:02:01,0:02:01,"Da, sigurno."
0:02:01,0:02:05,"Dakle, mislim da smo s naše točke gledišta stvarno uzbuđeni zbog web-a i aplikacija."
0:02:05,0:02:13,"Dakle, Paddle je platforma za obračun i plaćanja od kraja do kraja na webu i radimo s mnogim tvrtkama za mobilne aplikacije na njihovim web kanalima prihoda i kako ih najbolje implementirati."
0:02:13,0:02:22,"I vidjeli smo, kao što ste naglasili, a dio tih podataka bit će podijeljen u izvješću, veliki porast broja tvrtki za mobilne aplikacije koje gledaju na web kao na priliku za stjecanje kupaca."
0:02:22,0:02:22,Da.
0:02:22,0:02:29,"Mislim da je to sve što sam čuo posljednje dvije ili tri godine, poput weba, weba, weba, poput toga kako možemo uvesti web-onboarding u funkciju?"
0:02:29,0:02:30,I da.
0:02:30,0:02:31,"Da, mislim da je to stvarno zanimljivo."
0:02:31,0:02:39,Mislim da postoje neki ključni razlozi zašto se to događa i neću dosađivati sve s tim oko atribucije.cije i možda nekoj učinkovitosti bruto marže oko troškova.
0:02:40,0:02:56,"Ali mislim da mnogi ljudi dolaze na web i shvaćaju da postoje zapravo i druge prednosti na webu u vezi proširenja vrsta publike, mogućnosti doći do korisnika koji su više prisutni na webu i možda ne traže aplikacije u trgovini aplikacijama, a također iskorištavaju veliku količinu fleksibilnosti obračuna koju dobivate na webu."
0:02:56,0:03:04,"Dakle, web obračun postoji već dugo vremena i može pružiti mnoštvo fleksibilnosti i alata koje možete iskoristiti u svoju korist na webu, što mislim da je stvarno zanimljivo."
0:03:04,0:03:09,"Dakle, način na koji razmišljam o tome je da to nije samo prilika za uštedu troškova, već zapravo prilika za rast."
0:03:10,0:03:16,Na webu postoji mnogo prilika u smislu implementacije različitih modela obračuna i implementacije različitih vrsta proizvoda.
0:03:16,0:03:21,Različite vrste eksperimentiranja s cijenama i testiranja na način na koji ste malo ograničeni u trgovinama aplikacijama.
0:03:21,0:03:33,"Dakle, mislim da je u smislu načina na koji najbolje razmišljati o tome, mislim da bi polazište za mene bilo razmišljanje o tome zašto će ljudi posjetiti vašu web-lokaciju na webu ili kako će ljudi doći do vas na webu."
0:03:33,0:03:45,"Vidimo tvrtke koje usmjeravaju promet na web putem marketinga sadržaja i koristeći marketing sadržaja kao točku za slijetanje, a zatim pretvaraju korisnike u neku vrstu plaćenih korisnika na webu i zatim ih guraju u aplikaciju tamo."
0:03:45,0:03:47,Ali vidimo i mnoge tvrtke koje postavljaju web lijevke.
