Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:10,"Dobrodošli na podcast SubClub, emisiju posvećenu najboljim praksama za izgradnju i rast aplikacijskih tvrtki."
0:00:10,0:00:20,"Sjednemo s poduzetnicima, investitorima i graditeljima koji stoje iza najuspješnijih aplikacija na svijetu kako bismo naučili iz njihovih uspjeha i neuspjeha."
0:00:20,0:00:22,SubClub vam donosi RevenueCat.
0:00:23,0:00:33,"Tisuće najboljih aplikacija na svijetu vjeruju RevenueCatu da omogući kupnju aplikacija, upravljanje kupcima i povećanje prihoda na iOS-u, Androidu i webu."
0:00:33,0:00:36,Više informacija možete pronaći na revenuecatucat.com.
0:00:37,0:00:38,Uđimo u emisiju.
0:00:41,0:00:43,"Pozdrav, ja sam vaš domaćin David Barnard."
0:00:44,0:00:49,Današnja je rasprava kraća nego inače i bit će prikazana u izvješću o stanju pretplatnih aplikacija RevenueCat.
0:00:49,0:00:57,Svaka epizoda ove serije istražit će jednu ključnu temu i podijeliti praktične spoznaje od najboljih operatera pretplatnih aplikacija.
0:00:57,0:01:01,"Danas sam sa mnom, Luke Harries, koji vodi tim za rast u Eleven Labs."
0:01:01,0:01:09,Na podcastu razgovaram s Lukom o tome kako Eleven Labs pretvara svaki novi lansirani značajku u motor za rast.
0:01:09,0:01:18,Zašto je uređivanje agenata umjetne inteligencije brzo postalo temeljna vještina za marketere i osnivače koji su samostalno zaposleni?
0:01:18,0:01:20,"Hej, Luke, hvala ti što si se danas priključio podcastu."
0:01:20,0:01:22,Drago mi je da sam ovdje.
0:01:22,0:01:25,Želim započeti s vašim mišljenjima o rastu.
0:01:26,0:01:37,"Vi ste u jedanaest laboratorija, vi lansirate mnoštvo zanimljivih stvari, radite na nevjerojatnim proizvodima, ali ste i neko vrijeme bili u industriji i dugo ste radili na rastu."
0:01:38,0:01:40,Kako razmišljate o rastu na visokoj razini?
0:01:40,0:01:44,"Da, s rastom razmišljamo o izgradnji rnji motora rasta."
0:01:44,0:01:47,A što je motor rasta za nas?
0:01:47,0:01:52,"To je sustav koji pratimo, optimiziramo i postavljamo ambiciozne ciljeve."
0:01:52,0:01:58,I više puta primjenjujemo ovaj inženjerski pristup marketingu u kojem pokušavamo poboljšati svaki put kad to učinimo.
0:01:59,0:02:03,"I tako, jedan od posebnih načina na koji to radimo je kroz velike lansiranja."
0:02:03,0:02:14,"I nešto što je vrlo jedinstveno u vezi s umjetnom inteligencijom jest da kada dobijete novi model, otključate novu mogućnost koja vam daje novi virusni trenutak."
0:02:15,0:02:17,I tako je srce tima za rast rad.
0:02:17,0:02:31,"Radimo ruku pod ruku s našim nevjerojatnim proizvodnim i istraživačkim timom, tako da kad lansiraju nove značajke, nove modele, nove mogućnosti, prolazimo kroz ovaj rastni sustav i to se obično prevodi u ono što je, nadamo se, stvarno viralni trenutak."
0:02:31,0:02:35,"Dakle, na primjer, imamo najbolji model za govor u tekst na svijetu."
0:02:35,0:02:45,"I tako kad smo objavili Scribe v dva, to je poput, dobro, napravimo nevjerojatan video i tweet nit kako bismo stvarno pokazali svijetu kako to učiniti i prevrnuti sve benchmarke."
0:02:45,0:02:49,Ali onda se to također prevodi iza pozornice u početnu stranicu svjetskog razreda.
0:02:49,0:02:51,Također je vrijeme za ažuriranje.
0:02:51,0:02:54,"Vrijeme je da ažuriramo sve svoje različite meta, oglase na LinkedInu, oglase na Googleu."
0:02:54,0:02:57,"Dakle, lansiranje je za nas stvarno srčan utjecaj."
0:02:57,0:03:00,Mislim da je to zapravo zanemareno u širem sektoru.
0:03:00,0:03:07,"A kad radite na značajci, idealno je raditi na nečemu što će ljudi zanimati i što neće biti samo vaši korisnici."
0:03:07,0:03:16,To je sjajna prilika da proširite tu poruku izvan samo stavljanja u aplikaciju i stavljanja u banner aplikacije.
0:03:16,0:03:17,Iako neki ljudi to ni ne čine.
0:03:17,0:03:25,"Mnoge aplikacije nemaju otvorenu opciju za lansiranje, što je novo i, evo, pogledajte ovu novu značajku ili savjet ili slično."
0:03:25,0:03:37,"Znate, takve stvari, čak i da se postojećim korisnicima uputi da postoji ova nova mogućnost, a kamoli da se upotrebljava sav taj inženjerski napor i kreativnost koja ulazi u ovu novu značajku kao trenutak da se privuče više pozornosti."
0:03:37,0:03:49,"I znate, naravno, ljudi će slušati i misliti: Pa, evo, medij koji ste zaradili tako je teško dobiti danas, a to je tako i u laboratorijima ima lakše vrijeme nego što će mnogi imati da dobiju taj medij koji ste zaradili, ali ne znate dok ne isprobate."
0:03:49,0:03:51,I mislim da bi više aplikacija trebalo pokušati.
0:03:51,0:03:59,"A onda, kako razmišljate o tome da iskoristite te trenutke lansiranja i upotrebljavate ideje, nove značajke i slično u svojoj aplikaciji?"
