Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:14,0:00:17,Dobrodošli u 55 minuta kod Željke Markić.
0:00:17,0:00:24,"Ako želite primati obavijesti o našim objavama na YouTube kanalu, molim vas da se pretplatite."
0:00:25,0:00:29,Tako ćete biti upozoreni na svaku novu emisiju.
0:00:29,0:00:32,"Ako vam se sviđa ono što radimo, molim vas da nas lajkate."
0:00:33,0:00:36,Tako dajte smisao svemu ovom čime se mi bavimo.
0:00:36,0:01:06,"Moja današnja gošća je jedna izuzetno zanimljiva žena, gospođa Višnja Starišina koja je radila dugi niz godina kao vanjskopolitička novinarka, dopisnica, urednica vanjske politike u Večernjem listu, imala je priliku pratiti iz prve ruke mirovne pregovore vezane za Hrvatsku i Bosnu i Hercegovinu, zatim je bila akreditirana pri Ujedinjenim narodima i tamo pratila uglavnom međunarodne odnose i situacije vezane za Hrvatsku."
0:01:06,0:01:14,"Isto tako je bila dopisnica iz Haga, pratići izravno suđenja koja su se ticala naše zemlje."
0:01:14,0:01:22,Povodod našeg današnjeg razgovora je televizijska premijera u srijedu 10.2.
0:01:22,0:01:26,"na Stepinčevo, njezinog novog filma o kardinalu Stepincu."
0:01:27,0:01:38,"Višnja vam puno ti hvala da si našla vremena i jako mi je drago da ćemo imati priliku porazgovarati ne samo o filmu, već o svemu onom što je bila priprema za taj film cijeli tvoj profesionalni život na neki način."
0:01:39,0:01:41,Hvala tebi na pozivu i lijepi pozdrav svima.
0:01:41,0:02:00,"Dakle, krenula bih od tog tvog dijela profesionalnog života u kojem si ti doista iz prve ruke imala priliku vidjeti događaje koji su obilježili ovo stoljeće za sve nas, odnosno prošlo stoljeće za sve nas, događaj devedesetih godina i kasnije."
0:02:00,0:02:08,Evo da malo nas upoznaš sa tim svim tvojim iskustvom koje se danas mnogi prate u kolumnama i u Lideru i u slobodnoj Dalmaciji.
0:02:10,0:02:38,"Pa zapravo ja često volim reći da ja nisam ratni profiter, da sam ja radno ratni profiter jer ja sam u vrijeme rata devedeset dva godine već kad je počeo ovaj mirovni proces međunarodna konferencija o bivšoj jugoslaviji vezana prije svega uz Bosnu i Hercegovinu, ali i svi procesi vezani uz Hrvatsku su se u sklopu nje tada međunarodno odvijali."
0:02:38,0:02:46,"Ja sam zapravo bila poslana, dobila zadatak da pratim taj međunarodni proces."
0:02:47,0:03:04,"To me je dovelo, nakon toga stvari su se postupno razvijale, najprije sam bila specijalna izvestiteljica iz Ženeve, pa sam poslije bila stalna dopisnica iz UN-a u Ženevi u sklopu kojeg su se odvijali uglavnom fizički ti pregovori."
0:03:04,0:03:16,I zapravo ta Zapravo tamo sam imala priliku kakvu ne dobiva ili vrlo rijetko dobiva novinar iz male zemlje.
0:03:16,0:03:32,Da je moja zemlja bila u središtu procesa i da se sve odvijalo uživo u jednoj zgradi u palači naroda u sjedištu UN-a u Ženevi.
0:03:34,0:04:19,"I gdje vidiš zapravo kako novinarstvo funkcionira, gdje su nama bili svi akteri krize, ona niža razina naravno da nismo vukli bila Clintona i Vorena Kristofera za rukavu ili Borisa Jelcina, ali gdje su svi oni operativni akteri bili dostupni u presbaru, gdje se radilo i živjelo novinarstvo, izvještavanje iz procesa i temeljem toga i članci i teme i komentari tog procesa iz izravnih izvora, a ne iz toga što napiše dopisnik nekog velikog lista koji ima ekskluzivni pristup informacijama."
0:04:20,0:05:13,"I ja mislim da me taj izravni kontakt sa izvorištem one najtvrđe politike međunarodne u najjužem smislu gdje se donose odluke, gdje se vode procesi, izravna uključenost u to, ja mislim da me obilježila zapravo u cijelom mom budućem radu da uvijek traži dalje, da uvijek da znaš da ono što dobiješ da je to servirano, da moraš naći što je zapravo iza i da si uvijek negdje, da pokušaš uvijek biti negdje korak ispred i razumjeti što, ne napisati ono što ti daju nego razumjeti što to zapravo znači isto je poslije bilo i s Hagom, a kasnije kad sam se vratila u Hrvatsku isto tako sam uvijek negdje imala potrebu ući pri ostalih, recimo to tako."
0:05:14,0:05:28,"Ti si ovo kad si pratila mirovne pregovore, dakle to su bili izuzetno teški uvjeti za tebe mislim u smislu toga da je to bilo nešto što se ticalo života ili smrti, dakle izravna neka velika odgovornost."
0:05:30,0:05:32,Što te se tu najviše dojmilo?
0:05:32,0:05:35,"Recimo, kaže da ti je to sve obilježilo."
0:05:35,0:05:40,"Evo da izvučemo iz toga što te tu najviše, što si tu naučila najviše, što te tu obilježilo."
