Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:14,0:00:17,Dobrodošli u 55 minuta kod Željke Markić.
0:00:17,0:00:24,"Ako želite primati obavijesti o razgovorima koje stavljamo na moj YouTube kanal, molim vas da kliknete na pretplati."
0:00:24,0:00:29,Tako ćete biti na listi onih koji ćemo informirati o budućim objavama.
0:00:29,0:00:47,"Moj današnji gost je doktor znanosti Igor Peternel, inače dugogodišnji aktivist u civilnom društvu, član nekadašnjeg Hrvatskog odbora za ljudska prava i rekla bih kroničar onoga što se događa u Hrvatskoj na društvenim mrežama, poznati komentator."
0:00:48,0:00:57,"Danas je Igor Peternel, član predsjedništva Domovinskog pokreta i isto tako vodi odbor Domovinskog pokreta za ljudska prava."
0:00:57,0:01:06,"Evo Igore, puno ti hvala da si našao vremena u tvojoj vrlo ubrzanoj, rekla bih, u tvojem vrlo ubrzanom rasporedu."
0:01:07,0:01:14,"Evo kad smo se dogovarali za ovaj razgovor, sam se prisjetila kako smo se ti ja prvi put upoznali."
0:01:15,0:01:16,To je bilo 2013.
0:01:16,0:01:19,"godine, prije referenduma o braku."
0:01:19,0:01:23,Smo bili pozvani oboje u emisiju Antonija Mandić na RTL-u.
0:01:26,0:01:30,To su bile tada rasprave o referendumu o čemu se radi u Hrvatskoj.
0:01:30,0:01:31,Ja isto mislim da je to prva debata.
0:01:32,0:01:42,Prva javna rasprava smo se mi tada upoznali i ja sam zapravo čak i relativno nepripravljen došao u tu emisiju jer zapravo to je bio sami početak.
0:01:43,0:01:44,"Da, nije slažem, nije istina."
0:01:45,0:01:57,"si bio ti i Šimleša ste bili ustvari protiv referenduma o braku, ja sam bila za, voditeljica je bila više protiv nego za, ali dobro."
0:01:57,0:01:58,Ali rasprava je bila dobra.
0:01:59,0:02:03,"Rasprava je bila dobra, sjećam se da si me nogautirala sa onim istraživanjem u Teksasu."
0:02:04,0:02:17,"Ali ja se sjećam, a ja se sjećam da si ti za razliku od Šimleša, da sam ja u toj emisiji prepoznala da ti imaš istinski interes za čuti što ja imam za reći."
0:02:17,0:02:21,Iako se sa mnom ne slažeš da uvažavaš ono što imam za reći.
0:02:22,0:02:29,Ja se sjećam da nakon što je misija završila smo tamo na onim stepenicama pred RTL-om stali i da si mi ti pristupio i postavljao još neka pitanja.
0:02:29,0:02:44,"Ja sam došla od doma, muža je rekla, gle, ovaj čovjek zbilja, Šimleša je tamo više ili manje po mojoj procjeni, da, vodio je neku svoju priču i manipulirao sa podacima kako se meni, kako je bio tada moj dojam."
0:02:44,0:02:48,A Igor Petrnelj mi je postavljao i nakon pitanja.
0:02:48,0:02:50,"Dakle, čovjek zbilja želi ozbiljno razgovarati o toj temi."
0:02:51,0:02:53,"Tako da evo, to su bili naši početci."
0:02:53,0:02:59,"Da, to je zapravo bio možda čak i drugi, treći moj javni nastup."
0:03:00,0:03:04,Ja sam tad preuzeo mjesto podpredsjednika Hrvatskog helsičkog odbora.
0:03:04,0:03:07,"Naravno, u tom referendumu se mi još nismo znali ni kako ćemo se postaviti."
0:03:07,0:03:08,"Jer kažem, to je bio početak."
0:03:09,0:03:09,Ja na početku znam.
0:03:10,0:03:10,To je bio početak.
0:03:11,0:03:13,Mi smo imali tranziciju Hrvatskog odbora tada.
0:03:13,0:03:20,"Znači, iz onog odbora koji je bio jako ideološki svrstan, koji je vodio gospodin Puhovski."
0:03:21,0:03:30,"Imali smo ideju i dosta dobro smo to napravili, jednostavno promijeniti i Hrvatski helsički odbor i napraviti ga."
0:03:31,0:03:43,takvim da konačno može postojati jedna organizacija civilnog društva za ljudska prava koja bi branila ponekad i pristojnu većinu od agresivne manjine.
0:03:44,0:04:12,"I kažem, meni je bilo stalo da se tada taj proces ne ugrozim i da se postavim relativno neutralno i branio sam tada jednu tezu da je zapravo tada referendum o braku ništa drugo nego brendiranje imenice, a da će to izazvati reakciju lijeve vlade koja će još proširiti ta izvanbračna partnerstva."
0:04:13,0:04:37,"Ja sam u tom smislu bio u pravu, a ti si u globalnom smislu bila u pravu jer je, jer ja nisam u tom trenutku prepoznao zapravo da je to početak jedne sasvim druge priče, jednog drugačijeg djelovanja civilnog društva, jednog drugačijeg promoviranja nekih drugih ideja što je u godinama iza se pokazalo kao ispravan put."
0:04:37,0:04:57,"Pa da, u principu referendum je pokazao da je dvotrećinskom većinom su hrvatski građani glasali za ustavnu zaštitu braka kao zajednice ženi i muškarca, a na suprotnoj strani su stajali i aktualna Vlada i aktualni predsjednik i mediji, najveći dio medija, svi tako."
0:04:58,0:05:03,"I u principu pokazalo se da se može, da se građani mogu izboriti i od tu da sad vuku svi ove."
0:05:03,0:05:52,"I ovaj zapravo referendum je i meni pomogao u tom repozicioniranju HHO jer smo mi zapravo taj proces ubrzali s obzirom na količinu izljeva mržnje koje tebi bila prisutna u javnosti, a koju su podgrijevali mainstream mediji, politika formalna, neformalna, pseudo civilno društvo koje je zapravo parapolitičke organizacije te politike tada vladajuće, to je otvorilo i prostor recimo tada HHO-u da se aktivno angažira i traži da se u mainstream uvede barem pristojan diskurs u javnom obhođenju kad se razgovara o jednom sasvim legalnom referendumu."
0:05:53,0:06:07,"To je tada bila suprotna ulozi drugih organizacija para, organizacija civilnog društva koje su bile ovisne o politici povezane sa esdepeom i sa politikom koja je tada bila na vlasti, to je isto bitan."
0:06:08,0:06:16,To je tada bio zapravo jedan linč jedne osobe od strane pozicije moći.
0:06:16,0:06:21,Takve politike kojoj se nitko iz civilnog društva nije suprotstavio.
0:06:22,0:06:33,Ali sigurno je da je ta situacija pokušaja ubijanja medijskog neistomišljenika je razotkrila cijelu scenu i odnose s njima.
0:06:33,0:06:56,"I zato je taj referendum toliko bitan jer on je razotkrio kakva je to scena, on je razotkrio da GONG građani organizirano gledaju glasovanje nije nikakva normalna, neovisna politička organizacija koja ima pravo presuđivati bilo što već se aktivno svrstao na jednu stranu, čak organizirao stožer jedne strane, dakle tu su sve maske."
0:06:57,0:06:58,Protiv referenduma u Brazilu.
0:06:59,0:07:00,Tu su sve maske pale.
