Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:14,0:00:16,Dobrodošli u 55 minuta kod Željke Markić.
0:00:17,0:00:25,"Podsjećam vas da kliknete na pretplati ako želite primati obavijesti o ovim našim razgovorima, emisijama koje stavljam na moj YouTube kanal."
0:00:25,0:00:34,"Moja današnja gošća je liječnica, dolazi iz Pule, neurologinja koja se dugi niz godina bavi palijativnom skrbi."
0:00:34,0:00:37,Ona je predavačica na Medicinskom fakultetu.
0:00:37,0:00:44,u Zagrebu i stručna koordinatorica za paletinnu skrb za Isarsku županiju.
0:00:45,0:00:57,Povod mog razgovora sa doktoricom Julianom Franinović-Marković je u stvari sve veći problem prisutan u brizi o teško bolesnima i o umirućima.
0:00:57,0:01:15,"S jedne strane, a s druge strane sve veći broj država koje legaliziraju eutanaziju, odnosno namjerno ubijanje ljudi na njihov zahtjev ili pomaganje ljudima da se ubiju koji su suočeni sa bolešću i sa krajem svog života."
0:01:15,0:01:19,"Evo, Juliana, puno ti hvala da si našla vremena za ovaj razgovor."
0:01:20,0:01:22,Pa da krenemo od početka.
0:01:22,0:01:29,"Dakle, ti se dugo baviš palijativnom skrbi, to je zbilja mi imam dojam misija tvoja životna na neki način."
0:01:30,0:01:33,Recite nama koji ne znamo mnogo o tome što je to palijativna skrb.
0:01:35,0:01:36,Hvala lijepo na pozivu.
0:01:36,0:01:39,"Da, dugo sam, od 1996."
0:01:39,0:01:40,sam u palijativnoj skrbi.
0:01:42,0:01:43,Što je to palijativna skrb?
0:01:44,0:01:47,Pa ja mislim da je to ništa nije novoga.
0:01:47,0:01:51,To je praktički Medicina sama u sebi.
0:01:51,0:01:53,Ono što bi ona trebala biti.
0:01:53,0:01:56,"A to je skrbo osobi, a ne o bolesti."
0:01:56,0:02:01,"Dakle, nema bolest čovjeka, nego čovjek ima bolest."
0:02:02,0:02:09,"I usmjerena je na poboljšanje kvalitete života na neku dosezljivu veličinu, dakle kvalitete života."
0:02:10,0:02:13,To čini na više načina.
0:02:13,0:02:19,"Najprije na fizičkoj razini, dakle svi se bojimo boli, fizičke boli, koje moguće je liječiti."
0:02:20,0:02:25,"Ali je potrebno je prepoznati, prevenirati, liječiti i kontrolirati."
0:02:26,0:02:37,"Tu je još cijeli niz drugih simptoma, povrćanje, poremećaj disanja, jaka slabost, poremećaj iz tolice, bokinja itd."
0:02:38,0:02:40,Ima još i mnogo drugih kompleksnih simptoma.
0:02:41,0:02:46,"Druga razina gdje se može puno učiniti, to su psihičke promjene."
0:02:47,0:02:59,"Čovjek prolazi kroz različite faze, od ljutnje, agresije, cjenkanja, negiranja, depresije, prihvaćanja."
0:02:59,0:03:06,"Dakle, tu je cijeli jedan kompleksni dio koji više manje je prepoznat ili nije prepoznat."
0:03:06,0:03:20,"Znači u principu većina ljudi prolazi, ne prolaze možda svi kroz sve faze, ali kad se suoče sa tim da imaju terminalnu bolest, dakle tešku bolest, neizlječivu bolest u stvari, većina ljudi kroz ove faze prolazi."
0:03:20,0:03:26,"Sočavamo se sa našim bitkom, mislim, da umiremo."
0:03:26,0:03:31,"Da, da smo takvo, dakle živimo dok ne umremo, ali sve je život."
0:03:32,0:03:37,Dakle umiranje nije izvan konteksta našeg života.
0:03:37,0:03:41,"Ona je dio, vrlo aktivan dio, vrlo, vrlo, vrlo močan dio života."
0:03:42,0:03:57,"Pa da i ne samo u našem životu, umiranje je dio našeg života i kroz ljude koje mi volimo, koji umiru od naše mladosti ili starije dobi, od naših djedova i baka, ljudi koji su bili stari od nas ili naših roditelja ili ljudi koji."
0:03:58,0:04:06,"Dakle, u stvari ta kompleksna skrb je to, dakle, jer upravo ovo sad nešto ste govorili je duhovna skrb."
0:04:07,0:04:14,"Znači, ne samo da je to tu razvijana naš život unutar te zajednice ili kako god."
0:04:15,0:04:31,"Ali se tu javlja cijeli niz duhovnih problema kad smo suočeni sa našim završetkom života iz prošlosti jer mi obično teškoće sa našom savješću kako rješavamo, da ćemo opravdanja neka."
0:04:32,0:04:38,To nema čovjeka koji nema valjda problema sa svojom nekom povješću i što mu je žao što je nešto učinio.
0:04:39,0:04:44,I to je prilika da se to razriješi ali to jako muči čovjeka ukoliko mu se takva prilika ne daje.
0:04:45,0:04:56,Ali samo da ovo što ste sad govorila vratit ćemo se još na ove recimo razine pružanja podrške i pomoći i osiguravanja kvalitete života.
0:04:56,0:04:59,"Ali sad kad govorimo općenito, otvorila se i tu temu smrti."
0:05:01,0:05:06,"Mi smo ustvari jedna, mi smo sada generacija u kojoj se umire na drugi način."
0:05:06,0:05:12,"Dakle u prethodnim generacijama su ljudi umirali u kućama, kod kuće veći broj ljudi."
0:05:12,0:05:19,"I na neki način su i mlađi i buduće generacije, za njih je bila ta smrt sastavni dio života."
0:05:20,0:05:27,Imali su priliku to vidjeti i živjeti s time na neki način i brinuti se o članovima svojih obitelji.
0:05:27,0:05:28,Danas je to bitno drugačije.
0:05:29,0:05:40,"Pa više je tome razloga, ne mislim, ljudi sve duže žive, žive sa dosta bolesti istovremeno, pogotovo starija generacija."
0:05:40,0:06:02,Ja već sad sam od šezdeset pet godine znači još uvijek sam aktivna ali moja baka je već bila duboke starica dakle to je dakle taj demografski problem razbijene su obitelji to je jedan obitelji mislim mi nemamo alternativu obitelji.
0:06:03,0:06:04,Koja je alternativa obitelji?
0:06:05,0:06:09,To je jedino zajedništvo koje je moćno kao društvena jedna stanica.
0:06:10,0:06:17,"Tko preuzima najbolju brigu onima kad se brine, ništa nije usporedivo sa brigom koju daje obitelj."
0:06:17,0:06:20,"Bilo malima, bilo velikima, bilo starima."
0:06:21,0:06:26,"Nema nijedne organizacije, niti nikakve bolnice, niti nikoga tko može pružiti takvu brigu."
0:06:26,0:06:26,Tako je.
0:06:26,0:06:32,To znači i osim toga cijelo društvo je tako koncipirano da smrti nema.
0:06:32,0:06:44,"Vi imate ono, to je samo pomoć za kako biti ljepši, kako kako biti ljepši, kako biti pametniji, kako biti uspješniji, kako biti mlađi, ne znam što sve više ne bi, što treba jesti, što treba piti."
0:06:44,0:06:45,"Mislim, suludo."
0:06:46,0:06:47,Obučiti što treba oblačiti.
0:06:47,0:06:48,"Ajde, eto i to."
0:06:53,0:07:03,"Nema priročnika kako ću se ja nositi sa svojom samoćom, kako ću se ja nositi sa svojom smrtnošću, sa svojom bolešću, sa ovisnošću o drugima."
0:07:03,0:07:07,Znate koliki je problem da neka osoba prihvati pelenu naprimjer?
0:07:09,0:07:11,Jer je to neki simbol ovisnosti.
0:07:12,0:07:13,Ovisnosti o drugim.
0:07:14,0:07:18,O drugima i degradacija onoga što ja mislim da jesam.
0:07:19,0:07:21,"Dakle, tu dolazimo do ne biti što ja jesam."
0:07:23,0:07:26,I tu je onaj rezultat praktički cjeloživotnog učenja.
0:07:29,0:07:33,"I jasno, ljudi se različito suočavaju sa time."
0:07:33,0:07:43,"Ali, preginula sam ti, bila si govorila o tome, o toj brizi, dakle, o skrbi o više elementa, govorila si o tom suočavanju sa bolešću, onda koje su to bolešće?"
0:07:43,0:07:48,"Znači, fizička, psihička, onda imamo duhovna, socijalna."
0:07:49,0:07:54,Osoba koja je bolesna je izbjegavajuća osoba.
0:07:54,0:07:57,"Dakle, mi svi nekako verbalno kažemo da trebamo skrbiti."
0:07:59,0:08:00,"Međutim, skrb nije deklaracija."
0:08:01,0:08:06,Ona je jedan posao koju treba odraditi.
0:08:07,0:08:12,Ona je promjena nekog tvog ritma života.
0:08:14,0:08:16,Ja sada govorim samo o negativnim stvarima.
0:08:18,0:08:20,To je financijski jedan veliki problem.
0:08:21,0:08:31,"Dakle, svi ti ljudi su financijski iscrpljeni od alternativnih lijekova pa do toga ne ako je još bolesnik i hranitelj obitelji."
0:08:31,0:08:34,Onda vam je cijela obitelj ugrožena.
0:08:36,0:08:43,"Ako je supruga ili suprugu u radnom odnosu, onda ne može biti sa tom njegovati svog."
0:08:46,0:08:56,Rekla si mi ili sam te slušala na nekom predavanju da samo dva tjedna ima pravo prema HZZ-u supruga uzeti da bi njegovala svog bolesnog supruga ili obrnuto.
0:08:59,0:09:00,Za djete imam pravo.
0:09:02,0:09:09,"A za supruga, dakle muž za ženu, žena za muža, imaš smrtno bolesnog svog supruga ili supruga i ti imaš samo dva tjedna."
0:09:11,0:09:22,"Ja sam imala ženu koja je u potpunom raspadu sustava, dakle došla je supruga, imao je metastacijski jedan karcinom, on je bio nepokretan, ovisan o njoj."
0:09:22,0:09:36,"Dijete koje je trebalo krenuti u školu, jedno drugo dijete koje je bilo u prvom razredu srednje škole, ona je trebalo tići raditi jer nije više mogla imati bolovanje."
0:09:37,0:09:40,"I što je, kako je riješila tu situaciju?"
0:09:40,0:09:43,"Pa evo nazvala je, mislim tu je tražila pomoć bilo gdje."
0:09:44,0:09:49,"Ja sam rekla, ali ona prvo stvarno nije sposobna bila zaraditi."
0:09:50,0:09:50,Naravno.
0:09:51,0:10:01,"I onda mislim napisala sam ono što je bilo, dakle da je žena u reaktivnom, depresivnom stanju i da je nužno da se oslobodi od posla i da joj se pomogne."
0:10:01,0:10:08,Dakle trebalo je njoj omogućiti da može skrbiti o suprugu.
0:10:08,0:10:12,"A onda je bilo dijete koje je opet počelo po noći mokriti, onda."
0:10:13,0:10:15,I onda črka je imala neke druge probleme.
