Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:14,0:00:16,Pozdravljam vas u 55 minuta kod Željke Markić.
0:00:17,0:00:19,Hvala da pratite moj podcast.
0:00:19,0:00:29,"Moj današnji gost je poznat ugledni hrvatski režiser koji je snimio više od 117 filmova, igranih i dokumentarnih."
0:00:29,0:01:00,"Bio je ravnatelj drame u Hrvatskom narodnom kazalištu, kulturni attaše, čovjek koji je otvorio temu o kojoj se u Hrvatskoj desecima godina, desetljećima šutjelo o Bleiborskoj tragediji i koji neumorno snima filmove koji s jedne strane rasvjetljavaju hrvatsku prošlost, a s druge strane nas suočavaju sa sadašnjost, sa onim problemima s kojima se danas nosimo i koji su jednim dijelom i posljedica onoga što smo proživjeli i u komunizmu i u Domovinskom ratu i u vremenima koja su iza nas."
0:01:01,0:01:05,"Jako je dobar vam dan, hvala puno da ste našli vremena za naš razgovor."
0:01:05,0:01:08,Vama hvala na pozivu i pozdrav svima koji će razgovarati.
0:01:08,0:01:21,"Evo, vi ste sada, idemo krenuti od projekata novih, dakle sada si je pri kraju ili gotovi već film o Vukovaru, još jedan novi, evo novi stari film."
0:01:22,0:01:28,"Pa gledajte, za filmove se kaže da su oni poput Pjetlova da se najprije dokazuju na domaćem ognjištu."
0:01:28,0:01:31,Kod slučaja ovoga zadnjeg filma Milos mora nije tako.
0:01:31,0:02:01,"Naime, mi smo taj film počeli snimati dvije tisuće tri i dvije tisuće četiri godine bilo je to jedno vrijeme ovaj dosta čudno kao što je uvijek čudno kultura tada je bio posebno što se mene osobno tiče ja sam se vratio iz američke kao prvi hrvatski kulturni ta šepa su završili na blagajni haenekatsa to je dugačka priča iako to ćemo se vratiti na to da je Martin šin kao dragi prijatelji njegova dcerka Rene STV su došli glumiti u tom filmu, to je znači bila prva priča iz Vukovara koja je uopće napravljena."
0:02:02,0:02:15,"Željeli smo upozoriti ljude, reći ljudima, ponoviti tu priču, jednu od mogućih priča jer to nije temeljeno na jednoj priči nego na nizu priča, pa smo naravno to je fikcija, to je fikcija."
0:02:15,0:02:19,"Fikcija, ali ste, ali na stvarnim događajima, evo nažalost."
0:02:19,0:02:20,A nažalost da.
0:02:21,0:02:35,"Tako, međutim, kako sa filmom vrlo često se zna dogoditi, a ja nisam imao nikakvu pomoć od države cijelo ovo vrijeme, ja sam film završio tek prije par mjeseci i sada drago mi je da film ide na Vimeo, da ga se može vidjeti može vidjeti i da je imao premijere u Australiji."
0:02:36,0:02:46,"Prije pet dana je bila prva projekcija, kino projekcija je bila u Sydneyju i bilo je vrlo, vrlo posjećeno, tako da mi je drago da su ljudi vidjeli film."
0:02:47,0:02:49,"Jer kažem, to se radi o jednoj vukovarskoj priči, o jednoj."
0:02:50,0:02:51,Milost mora priča iz Vukovara.
0:02:51,0:02:52,"Tako, priča iz Vukovara."
0:02:52,0:02:57,"I to je snimio, dakle, Martin Šini njegovak čer i vi i vaš sin u stvari na neki način da."
0:02:57,0:03:00,"To je naša bila zapravo prva suradnja veća, mog sina i mene."
0:03:01,0:03:02,Dominika.
0:03:02,0:03:41,"On je pisao dio scenarija za to, radili smo se još jednim američkim pisanjem i bilo je jedno, znate, čudno vrijeme, ali uspjeli smo napraviti film i mislim da ja nisam, znate, ja stalno radim i čovjek ne stigne, ja ne volim gledati svoje filmove kad ih napravim, ali ovo je kad sam se vratio od njega bilo mi je drago da smo ga napravili, ne samo zbog teme nego i zbog načina kako smo to tretirali, a posebno zbog angažiranosti Martina Šina i njegovih četiri ovih američkih gumaca, mislim koje gledamo i na Netflixu i u drugim serijama, ali sad naprimjer samo recite nam u kratko za naše gledatelje u čemu se radi u filmu."
0:03:42,0:03:55,"Tema filma je majka koja izgubi sina u Vukovarskoj koloni, znači pred njezinim očima srpska srpski vojnici ubijaju svećenika i ubijaju njezina brata, a otmu je sina koji kamionom odne kamo."
0:03:56,0:04:01,I ona je naravno u šoku i ona nakon toga radi sve da bi došla do sina.
0:04:02,0:04:07,Dobiva pismo od svoga strica iz Dubrovnika koji kaže da je sin dolje.
0:04:07,0:04:11,"Ona odlazi na put, međutim sada na putu se događaju raznije stvari i sad tko bude gledati film."
0:04:12,0:04:13,"Evo, ja šta, dobro, super."
0:04:13,0:04:16,Ja mislim da puno ljudi će jedva čekati da vidite film.
0:04:17,0:04:29,"Mene sad još zanima vezano za ovaj film, ali inače, dakle kad vi se napravite ovakav jedan film, imate u hrvatskim nekakvim okvirima, doveli ste takve poznate glumce, napravljena je tema koja je toliko bitna."
0:04:29,0:04:34,Na koji način vi taj film sada možete osigurati da dođe do gledatelja?
0:04:34,0:04:36,Kakva je sad distribucija tog filma?
0:04:37,0:04:41,"Znači, hvala Bogu i novoj tehnologiji koju često kritiziramo, ali više zabrana nema."
0:04:42,0:04:47,"Znači, vi jednako vrijeđate nekoga ako radite nekakve kriminalne radnje, to se zabranjuje."
0:04:47,0:05:01,"Međutim, postoje razne platforme pa smo na taj način mi preko Vimeo, preko platforme Vimeo se može kupiti za sedam dolara gledanje filma i mi ćemo ga prikazivati na ovaj način tako, inače on bi išao u kina da nije korona."
0:05:02,0:05:16,"Međutim, nažalost ne možemo ići, ali vidjet ćemo kad će korona prestati, nadamo se da hoće, pa ćemo onda otići i po kinima i po raznim hrvatskim centrima po svijetu, do tada je to jedini način kako ćemo film gledati preko vime."
0:05:16,0:05:24,"A to znači, da li recimo takav film kada ga vi ponudite hrvatskoj televiziji kao javnoj televiziji za koju mi svi plaćamo pretplatu, kako to onda s njima funkcionira?"
0:05:24,0:07:09,"Pa meni je bilo drago da ga oni otkupe, odnosno ja bih ga dao besplatno, ja sam svoj, ja nisam nikad uzeo ni jedan honorar za nijedan svoj film, naime, ja od devedeset jedan godine nemam žiražnu u hrvatskoj ja sam ovdje primao samo svoju mjesečnu, mješovitu primanje kao radniče haeneka dvadeset šest godina ja nikada nisam primio honorara niti jedan od devedeset jedan godine nikada to je bilo sad ali to je isto dugačka priča jedan moja priča sa jednim svećenikom fradom i konšušnjerom koji je bio u minihrnu dugo godina itede ali to je sad već zanimljivo ali dakle kakva je imat će vaše suradnje sa hrvatskom televizijom oni su tu i tamo prikazali neki moj film ja sam sada zajedno sa mladim i producentom fran jurem prižmićem radio jednu seriju on me zamolio da budem ovaj kad su radili seriju velikani hrvatskog glumišta da budem na neki način supervizor nečega šta je meni bilo jer te sam ljude poznao jako dobro vanjom draha tom kalonzu i bolje mi bili, da smo to vidjeli, pratili u živu, mislim da je važno sve ove dimenzije što ste rekli, ima toliko tih priča koje u stvari su neispričane još uvijek, koliko nažalost, koliko tragedija imamo."
0:07:11,0:07:12,Massama priča neispričano.
0:07:12,0:07:32,"Naime, mi nismo ništa iskoristili što se tiče Domovinskog rata, ja mislim da je to jedna takva glupost države i institucija, konkretno Ministarstva kulture i hadezea da uopće nemaju interes za te teme, znate, dapače, koliko su moje spoznaje preko nekih ljudi koji su gore u tim tijelima, oni se smiju kad takva tema dođe na stol, znate."
0:07:33,0:07:40,Ali mi imamo iskustvo recimo velikih kinematografija koje nam pokazuju da teme iz II.
0:07:40,0:07:49,"svjetskog rata dan danas su one koje su najgledanije, dobivaju Oscare, snimaju se dalje filmovi o progonu židova, obiteljske priče."
0:07:49,0:07:54,"Dakle, to je nešto što ljudi rade, događa ih četrdeset pet godine ili četrdeset tri godine."
0:07:55,0:08:05,"Sve je to logično, znate, jer to je povijest hrvatskog naroda i mi ne smijemo biti na nju slijepi odnosno slijepi su oni kojima nije do te povijesti, koji bi radili da te povijesti nije bilo."
0:08:05,0:08:09,"O tome se radi, a oni odlučuju o sredstvima, odlučuju u kojem se ne smijemo ulagati novac."
0:08:09,0:08:19,"E to je, gledajte, jedino što mogu kazati da mi je žao, ja ću se uvijek snaći jer imam dovoljno broj ne samo prijatelja nego i ljudi izvani koji me zovu tako da ja nemam egzistencijalni problem nikakav."
0:08:19,0:08:28,"Ali mi je žao, žao mi je jer gledajte što u jednom brojnom malom narodu kao što je Hrvatski, što nama ostaje kao naša legitimacija prema svijetu?"
0:08:28,0:08:31,"Ostaje kultura, ostaje obrazovanje i sport."
0:08:31,0:08:32,Sve drugo bi niti bilo naše.
0:08:37,0:08:44,"Što smo mi, što je naša duša i mimo toga mi ne postojimo, gledajte, jer i policija je europska i vojska je NATO i financije su ne znam kakve."
0:08:44,0:08:50,"Prema tome, ovo je ono što nam ostaje i ako mi se tu ne brinemo da mi kroz to kažemo istinu o sebi, drugi neće o nama pričati."
0:08:50,0:09:03,"Pa da i s druge strane to je sigurno, osobito ovi dokazi i svega onog što su ljudi pretrpjeli nam pomažu onda razvijati poštovanje prema njima i ljubav i zahvalnost i prema braniteljima i prema obiteljima."
0:09:04,0:09:10,"A to je ona kad čovjek, kad nemaš taj osjećaj za to što su ljudi pretrpjeli onda manje cijeniš državu koju imaš."
0:09:11,0:09:14,Ali ovaj drugi film koji ste mi spomenuli?
0:09:15,0:09:21,"Znači Miros mora jedan film, to je evo kažem, krenulo je jako dobro i na vrijeme je jako puno ljudi gledalo do sada film."
0:09:22,0:09:26,"Drugi film koji je također blizu kraja, ali to je znate to je opet dugačka priča."
0:09:26,0:09:30,Ja sam sa Izraelom veže dugi niz godina suradnje i prijateljstva i mali odnos.
0:09:30,0:09:32,Vi ste tamo snimili preko dvadeset filmova.
0:09:32,0:09:50,"Ja sam preko dvadeset filmova, upoznao sam tamo zaista fenomenalne ljude koji su stvarali državu Izrael, od predsjednika Weizmana, od Šimana Pereza, Parila Šarona, Meira Mita šefa bivšeg MOST-a, Moti Hoda koji je osnovao njihovo ratno zrakoplovstvo, to su bili svi moji prijatelji vrlo dobri."
0:09:53,0:10:01,"Iritirana me je priča dijela ovdje medija, dijela naravno koji stalno govore o zločinima."
0:10:01,0:10:05,"I okej, mi ne smijemo prešutiti ništa što je vezano uz nas, ništa što je vezano uz nas."
0:10:05,0:10:07,Mi smo zločinima u Domovinskom ratu.
0:10:07,0:10:07,Apsolutno.
0:10:08,0:10:47,"I sad gledajte, međutim ovdje se jako se prešućuje činjenica da je sto pedeset šest hrvata da su proglašeni pravednicima međunarodima znači da bi ste dobili titulu pravednika međunarodima u izraelu vi morate mora se dokazati putem svjedoka da ste vi spasili barem jedan židovski ugroženi život tijekom holokausta a da ste pritom bili u opasnosti za svoje živote i mi imamo sto pedeset šest tih ljudi koji su apsolutno u to vremenu bili lučonoše nečega lijepoga humanoga onoga šta ja mislim da hrvatski narod jest napravio sam film odnosno završavam film hrvatski pravednici to je jedna prekrasna HZMO-e."
0:10:47,0:10:55,"To je jedna prekrasna priča o tim ljudima, o tom vremenu, o tome šta je zapravo duša Hrvatska, znate jer tu ima svega i svačega, da sad ne elaboriramo."
0:10:56,0:11:06,"U stvari vi dakle pokazujete priče tih ljudi koji su u toku drugog svjetskog rata za vrijeme progona židova, njih riskirajući svoj vlastiti život spašavali."
0:11:06,0:11:06,Tako je.
0:11:06,0:11:30,"Znači mi nismo mogli ispričati sto pedeset šest priča to je nemoguće ja sam preko dvije priče ispričao i naravno jednog ofa koji se govori smo ispričali priču o tome šta se događalo i kako su ti ljudi spašavali a ove dvije priče su sjajne jer jedna je priča beba iz paketa a druga priča je o hrvatu o ratimiru dl Daletisu, doktoru odnosno pravniku koji je spasio stotinu Židova iz Tuzle."
0:11:30,0:11:32,I to je jedna prekrasna priča koja je.
0:11:32,0:11:35,Evo ja nisam nikad čula.
0:11:36,0:11:37,"Jer o tome se kod nas ne govori, znate."
0:11:37,0:11:41,"E, ja upravo tom pričom želim potaknuti da se počne i o tome govoriti."
0:11:42,0:11:46,"Ja sam već dogovorila premijera u Tel Avivu i Jeruzalemu, nadam se da će biti i u Zagrebu."
0:11:47,0:11:47,Ja se nadam.
0:11:48,0:11:49,"Tako da, evo to je jedna ovako."
0:11:50,0:11:57,"To je super, super je, odlično je da vi od toga ne odustajete jer ustvari pokazalo se da vi kao Hrvat od toga ne odustajete."
