Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:14,0:00:17,Pozdravljam vas u 55 minuta kod Željke Markić.
0:00:17,0:00:19,Hvala vam da nas pratite.
0:00:19,0:00:27,"Ako želite dobivati obavijesti o emisijama koje objavljamo na mom YouTube kanalu, molim vas da kliknete na pretplati."
0:00:27,0:00:38,"Moja današnja gošća, inače analitičarka Geopolitika News, portala, rekla bih jedinstvenog u Hrvatskoj po načinu praćenja određenih događaja u svijetu."
0:00:39,0:00:48,"Istovremeno je i profesorica, sveučilišna profesorica i predsjednica Hrvatske udruge za međunarodne studije, doktorica znanosti Jadranka Polović."
0:00:48,0:00:51,"Jadranka, puno hvala da si našla vremena za ovaj razgovor."
0:00:52,0:00:54,Hvala puno na pozivu i baš se radujem.
0:00:55,0:01:00,"I kako si ti došla do toga da se baviš, da interesiraš i baviš geopolitikom?"
0:01:00,0:01:02,Pa hvala lijepo na tom pitanju.
0:01:03,0:01:16,Ja zapravo u svojim analizama često sam posvećena i nekim društvenim temama ili recimo u posljednjinje vrijeme bavim se analizom neke distopijske slike budućnosti.
0:01:16,0:01:27,"Međutim, eto, ljudi me najčešće u javnosti upravo prepoznaju kao jednu geopolitičku analitičarku, znači osobu koja se bavi geopolitikom, što nije daleko od istine."
0:01:27,0:01:31,"Naime, i moj znanstveni magisterij koji sam radila 90."
0:01:32,0:01:37,godina i doktorat posvećen je zapravo pitanjima geopolitike.
0:01:38,0:01:53,"Bavila sam se zapravo Sjedinjenim američkim državama, dakle najvažnijim geopolitičkim akterom u magisteriju od odnosom prema utjecajem na hrvatsku politiku u razdoblju vrlo teškom od 1990."
0:01:53,0:01:54,do 2000.
0:01:54,0:02:08,"A kasnije u doktoratu svoj interes sam proširila na regiju, znači na zemlje nastale raspadom bivše Jugoslavije, takozvanim Zapadnim Balkanom i zapravo cijelim jugoistokom Evrope."
0:02:08,0:02:28,"U geopolitičkom smislu riječ je i tu o vrlo turbulentnoj regiji koja je poveznica prema nekim drugim isto tako važnim geopolitičkim regijama poput Mediterana, Crnog mora, ne znam, Centralne Azije itede Dakle, hoću, neću ga, politika mi je nekako u fokus."
0:02:29,0:02:59,Ti si ovo vrijeme pokrila svojim magisterijem koji si rekla da je bilo vrlo zahtjevno doista od devedesetih do dvije tisuće u odnosu sa sadijom i šta bi tu rekla kao ključne stvari koje vidiš iz tih odnosa pa mislim da postoji jedna malo čudna percepcija Sjedinjenih američkih država kada je riječ kada govorimo o njenoj ulazi u raspadu ovog prostora zapravo bivše Jugoslavije.
0:03:01,0:03:13,"Svakako mislim da je njena uloga bila naglašena, da je ona davala dvostruke poruke koje definitivno nisu išle u pravcu očuvanja Jugoslavije."
0:03:13,0:03:35,"Bilo je to vrijeme završetka hladnog rata i definitivno raspada tri velike federacije, dakle geopolitičkog preustroja Istočne Evrope, prosovjetskog saveza, Čehoslovačke koja se raspala naravno u mirnoj bašunastoj revoluciji i strašnog rata koji se dogodio na našem prostoru."
0:03:36,0:03:48,"Međutim, Sjedinjene američke države su svakako u tih godina, znači tih deset godina, mogu reći bile zaista partner hrvatskoj politici."
0:03:49,0:04:04,"Mislim da je zapravo integracija hrvatskih teritorija i hrvatska samostalnost u velike je ovisila i o diplomatskim, ali recimo i o vojnim aktivnostima Sjedinjenih američkih država."
0:04:05,0:04:22,"Ipak mislim da je cijeli prostor bivše Jugoslavije danas previše atomiziran, zahvaljujući nekakvoj geopolitičkoj viziji Sjedinjenih američkih država, koji su naravno one nastavile širiti i prema prostoru Bliskog istoka i Sjevera Afrike."
0:04:23,0:04:38,"Danas možeš vidjeti da tamo više nema onih nekad velikih država, koje su, iako sa drugim i različitim političkim sustavima, recimo, bile stabilne, poput Sirije, Iraka i Libije."
0:04:38,0:04:49,"Riječ je zapravo o velikoj rasjepkanosti, ja bih tako rekla, feudalizaciji tog prostora, a to je onda jedna nova geopolitička dimenzija teritorija."
0:04:50,0:04:55,"Evo pa mogu upravo, kratko se osvrnuti, upravo je to predmet interesa geopolitika."
0:04:56,0:05:30,"Kad govorimo dakle o utjecaju Sjedinjenih Američkih država, nedavno sam pročitala jedan tvoj pregledni rad u kojem si ustvari analizirala izbore, dakle ustvari prve na kojima je Trump pobijedio i na neki način to me toliko iznenadilo, ti si ustvari analizirajući ono što se dogodilo u prošlosti i događaje u tijeku njegovog mandata, si ustvari na neki način naznačila moguće rasplete, što su mogući smjerovi u kojima će SAD ići na ovim zadnjim izborima predsjedničkim koje je on izgubio, ali i promjene u SAD-u."
0:05:30,0:05:37,"Dakle, ustvari na neki način tim analizama dobivaš uvid i za moguće scenarije."
0:05:38,0:05:47,"Da, geopolitika je rekla bih danas vrlo popularna disciplina, riječ je zapravo manje o znanosti."
0:05:47,0:05:53,"Znaš, danas svi vole pričati o znanosti, znači, koja se temelji na nekim znanstvenim činjenicama."
0:05:54,0:05:55,U geopolitici zapravo toga nema.
0:05:56,0:06:04,"Ja bih rekla da je riječ o više jednoj primjenjenoj disciplini i vještini, ajmo da tako reći, koja je praćena snažnom ideologijom."
0:06:04,0:06:21,"Uz geopolitiku uvijek ide ideologija, iako zapravo geopolitika kao disciplina ima teorijsku podlogu i te teorije su za razliku od nekih drugih znanstvenih disciplina vrlo približene svakodnevnim ljudima."
0:06:21,0:06:30,"Svako je čuo za Hartland, za Rimland, za recimo admirala Mahana i njegovu pomorsku moć država."
0:06:30,0:06:34,Znači to su neke vrlo poznate teorije sa kraja 19.
0:06:34,0:06:35,i početka 20.
0:06:36,0:06:41,stoljeća koji danas imaju ovaj veliki utjecaj na međunarodne odnose.
0:06:42,0:06:52,"Ono što mislim vezano za novi pravac, mi se danas nalazimo zapravo u jednoj zaista novoj geopolitičkoj situaciji."
0:06:52,0:07:00,Ovi posljednji izbori u Sjedinjenim američkim državama mislim da su bili definitivno prekretnica.
0:07:01,0:07:50,"iz tog svijeta unipolarnosti u kome su Sjedinjene američke države bile neprikreslovani lider u međunarodnim odnosima prema zapravo svijetu multipolarnosti, odnosno jačanju drugih novih geopolitičkih aktera na svjetskoj sceni od Kine, koji je sigurno prvi challenger, do recimo Rusije, koja možda nema sve odlike takvog challengera izazivača, ali u svakom slučaju ima vojnu moć i vrlo je vezana, njena uloga je strahovito naglašeno u kontekstu jedne geopolitičke teorije odnosa kopnenih sila i pomorskih sila, odnosno euroatlantističkih, recimo Velike Britanije i Sjedinjenih američkih država."
0:07:51,0:07:56,"To je zapravo stoljeće duga, više od stoljeće duga borba za tu neku prevlast."
0:07:57,0:08:17,"Prema tome, ako gledamo situaciju u Sjedinjenim američkim državama danas, koja je opterećena brojnim unutarnjim izazovima, znači od ekonomske situacije, koronakrize, velikih rasnih nemira i zapravo jako naraslog kriminala."
0:08:19,0:08:24,Sve je to nešto što narušava njen ugled u međunarodnim odnosima.
0:08:24,0:08:35,Prema tome opterećujuće djeluje za situaciju u kojoj bi ona mogla biti lider u onolikoj mjeri kakav je bila 90.
0:08:35,0:08:37,godina nakon završetka hladnog rada.
0:08:38,0:08:42,I kako ti vidiš ove trendove sada u SAD-u?
0:08:42,0:08:44,Kako misliš da će se oni nastavljati?
0:08:48,0:08:51,U Sjedinjenim američkim državama otvoreni su važna pitanja.
0:08:52,0:09:01,"Međutim, ja bih možda ovom prilikom spomenula Špenglera, jednog velikog filozofa sa početka 20."
0:09:01,0:09:06,stoljeća koji je rekao da idemo prema 21.
0:09:06,0:09:08,stoljeću te stoljeće dinastija.
0:09:08,0:09:20,"Odnosno, ako to prevedemo, onda vidimo da je u najdemokratskijoj zemlji na svijetu, Sjedinjenim američkim državama, zapravo govorimo o smjeni dinastija."
0:09:21,0:09:27,"Imate Busheve, Clintonove, znači Kennedyjeve, sada možemo dobiti i Trumpove i tako dalje."
0:09:28,0:09:55,"Međutim, ono što me jako brine za budućnost Sjedinjenih američkih država, a to se naravno prenosi i na cijeli zapad, mi smo Hrvatska i Evropska unija dio tog zapada, to je jedna naglašena, vrlo snažna uloga, mogu reći, korporacija, pogotovo te Silicijske doline, Silicon Valley i naravno Wall Streeta, znači financijskog kapitala i nemojmo zaboraviti vojnu industriju."
0:09:55,0:09:59,vojno-industrijski kompleks koji je izuzetno snažan.
0:10:00,0:10:04,Posljednja pandemija koju svjedočimo od 2020.
0:10:05,0:10:17,"godine, ona je zaista jedan globalni poremećaj koji je uzrokovao jednu veliku ne samo zdravstvenu krizu, nego bih prvo rekla jednu ekonomsku i sigurnosnu upravljačku, tako je."
0:10:19,0:10:24,"Vidimo da je došlo međunarodni odnosi, da se razumijemo, ni prije toga nisu bili sjajni."
0:10:25,0:10:32,"Bilo je jako puno problema, međutim mislim da je od tada nepovjerenje u međunarodnim odnos odnosima snažno i srhovito naraslo."
0:10:33,0:10:47,"Međutim, ono što mene zabrinjava, a stvarno mi smo dio Zapada i u tom smislu na neki način trebali bi djelovati na očuvanju i svoje kulture i svoje dominacije u međunarodnim odnosima, to je zapravo narasle suprotnosti."
0:10:48,0:10:53,Čini mi se da pandemija u ovom trenutku testira sve elemente zapadnog liderstva.
0:10:53,0:11:02,"Upravo to što si rekla, međunarodno upravljanje, međunarodne organizacije, znači globalnu ekonomiju, globalizaciju."
0:11:03,0:11:16,Vidimo da smo krenuli putem deglobalizacije i na kraju ono što je veliki problem to su odnosi između Sjedinjenih američkih država i EU i naravno u svemu tome odnosi sa NATO-om.
0:11:17,0:11:38,"Kad govoriš o tome da je u stvari korona kriza izazvala sve institucije, načine djelovanja, to je doista istina i mi sad vidimo da su naprimjer Ujedinjeni narodi, počeo je to Trump, on je prvi u stvari počeo rekla bih iz mainstreama dovoditi u pitanje na učinkovitost Ujedinjenih naroda."
0:11:38,0:11:49,Ali sada imamo jednu situaciju sa Svjetskom zdravstvenom organizacijom čije odluke i procjene i preporuke su kritički preispitivane na način na kakav nisu do sada.
0:11:50,0:12:02,Imamo sada priču sa cijepivima gdje mi na razini cijepiva vidimo borbu različitih sila od ruskog sputnih cijepiva preko američkih cijepiva.
0:12:04,0:12:05,Kako ti to vidiš?
0:12:06,0:12:13,"Željka, evo, sama znaš da se, na primjer, vrlo često vidimo da živimo u vremenu post-Covid istine."
0:12:14,0:12:15,Već je počela tako.
0:12:16,0:12:25,"Znači, činjenica je da postoji zapravo jedna istina, međutim, postoji jako, jako puno otvorenih pitanja."
0:12:25,0:12:30,"Kada je riječ o pandemiji, ja bih zapravo nabrojala nekoliko."
0:12:31,0:12:41,"Prvo pitanje koje mislim da je potpuno stavljeno po strani, a koje je bilo nekih pokušaja da se odgovori, to je pitanje podrijetla pandemije, znači podrijetla koronavirusa."
0:12:42,0:12:49,"Svjetska zdravstvena organizacija je naravno pokušala dati neke odgovore, međutim, oni nisu do kraja objašnjeni."
0:12:50,0:12:57,"Postoji naravno vjerovanje, jedno oficijalno vjerovanje da je se dogodio taj prijenos sa životinjina na čovjeka."
0:12:58,0:13:09,"Međutim, isto tako postoji i ta priča, ajmo tako reći, te teorije koje se odnose na laboratorijski prijenos, bi on namjeran, slučajan itd."
0:13:09,0:13:11,Smatram da je to vrlo važno.
0:13:11,0:13:17,"Biološko oružje je danas u uporabi, ali je potpuno izmaklo kontroli javne svijesti i nadzora."
0:13:18,0:13:25,"Iako postoje zapravo međunarodne konvencije, međutim, mislim da u ovom trenutku zapravo nitko ne obraća."
0:13:25,0:13:27,"pozornost na to, a to je jako važno."
0:13:27,0:13:28,Ali to je jako čudno.
0:13:29,0:13:49,"U ovoj situaciji gdje mi imamo jednu vrlo, rekla bih, dosta dobro argumentiran pristup da se dogodilo do toga da je u laboratoriju umjetno nešto proizvedeno i onda bilo namjerno, bilo nenamjerno je izašlo van, čudno je da se na tim ne zaustavimo i ne raščistimo."
0:13:49,0:13:59,"Da je to početak priča, onda bi se mogle, zapravo to je jako važno da bi se mogle uopće govoriti o učinkovitim terapijama i načinima da se cijela priča zaustavi."
0:14:01,0:14:02,To je prvo pitanje.
0:14:04,0:14:17,"Drugo pitanje je uloga recimo rekla bih tih superheroja ili tih super milijardera odnosno velikih filantropa, velikih Gatesa ili nekog drugog."
0:14:17,0:14:19,"Gatesa, Melinda i Gatesa."
0:14:19,0:14:29,"Fundacija ili Rockefeller, fondacije koje mi padaju na pamet, njihova uloga i njihov utjecaj na svjetsku zdravstvenu organizaciju je nešto što ostavlja brojna pitanja."
