Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:14,0:00:17,Dobrodošli u 55 minuta kod Željke Markić.
0:00:18,0:00:19,Hvala što pratite moj YouTube kanal.
0:00:20,0:00:27,Podsjećam vas da ako još niste da možete kliknuti na pretplate kako biste dobivali obavijesti o novim objelama.
0:00:27,0:00:29,Moj današnji gost dolazi iz Bjelovara.
0:00:30,0:00:35,"On je novinar, publicist, završio je gimnaziju u svom rodnom gradu, studirao."
0:00:35,0:00:41,je i završio Međunarodne odnose i Londonsku školu za odnose sa javnošću.
0:00:41,0:00:50,"Autor je mnogo brojnih članaka, član uredništva i novinar Hrvatskog kulturnog viječa, suradnik brojnih časopisa."
0:00:50,0:00:56,"Isto tako objavio knjigu Hrvatska u žrvnju jugosfere, Davor Dijanović."
0:00:56,0:00:59,"Davore, hvala da si našao vremena."
0:01:00,0:01:03,"Imaš troje djece, malu bebu od 2,5 mjeseca."
0:01:03,0:01:08,"Cijenim da si između besanih noći i rada, evo, našao vremena za."
0:01:10,0:01:11,Hvala na pozivu.
0:01:11,0:01:18,"Dakle, krenula bih od aktualne situacije u Hrvatskoj, od ovog drugog kruga lokalnih izbora."
0:01:19,0:01:28,Moje je dojam da nikad do sada u Hrvatskoj nismo pratili lokalne izbore ovako pomno kao što to radimo 2021.
0:01:28,0:01:29,Kakav je tvoj dojam?
0:01:30,0:01:31,Pa imam vrlo sličan dojam.
0:01:31,0:01:33,Još su izbori 30.
0:01:33,0:01:36,"svibnja, dakle, ponovno vraćeni dan državnosti."
0:01:37,0:01:40,Obično se tvrdi kako su lokalni izbori komunalni izbori.
0:01:40,0:01:43,"To može vrijediti recimo za neke manje općine i gradove, no kad."
0:01:43,0:01:52,"Kada je u pitanju grad Zagreb, to je nešto od nacionalnog karaktera, a posebno jer vidimo da imamo na neki način, dakle, ovo nisu mainstream opcije."
0:01:52,0:01:59,"Dakle, domovinski pokreti je onako ipak malo desnija opcija, dakle, to je jedna normalna desnica po meni, ali ju se etiketira kao onako malo."
0:01:59,0:02:02,"Pa da, etiketiraju se kao radikalno, što nije, naravno."
0:02:03,0:02:08,"I imamo li opciju, odnosno platformu možemo, koja zbilja po meni je radikalno ljepša."
0:02:09,0:02:20,"Pa evo sad sam neki dan danas, mislim čak da sam vidjela da je talijanski list ili manifesto, dakle, komunisti.čki naziva ih radikalnom ljevicom."
0:02:20,0:02:22,Tako da mislim da smo mi ih dobro svrstali.
0:02:22,0:02:38,"Da, samo što oni imaju dosta dobro umivenu PR-ovsku i marketinšku priču gdje su na neki način isturili u prvi plan Tomisla Tomaševića koji je onako relativno pristojan čovjek, a zapravo ono što se iza toga valja nije baš tako ni pristojno, a ne bih rekao niti da je nešto previše umjereno."
0:02:39,0:02:50,"Tu se stvara nekakva slika da su onako mladi ljudi i entuzijasti, ali mislim ne želim nikoga diskriminirati po godinama, ali kad pogledate suradnike kod Tomisla Tomaševića, pa to su sve ljudi preko pedeset i šezdeset godina."
