Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:14,0:00:15,Pozdravljam vas u 55 minuta.
0:00:16,0:00:19,"Kod Željke Markić, hvala da pratite moj YouTube kanal."
0:00:19,0:00:33,"Kako je evo božićno vrijeme, vrijeme radovanja, radosti i zahvalnosti za dijete koje nam je donijelo i ljubav i istinu, kojeg su Josip i Marija imali priliku držati u svom zagrljaju."
0:00:34,0:00:45,"Nekako sam odlučila za gošću za ovaj tjedan vam predstaviti jednu mamu, jednu ženu, jednu poslovnu ženu, jednu jako zanimljivu osobu."
0:00:46,0:00:47,Ona se zove Marija Lukačin.
0:00:48,0:00:51,"Ima veliku tremu, bit ćemo s njom nježni i pažljivi."
0:00:52,0:01:01,"Hvala Bogu, hvala ti da si usred ovih priprema za Božić i sve gužve koja nas tu prati, ona i radost, ali i oni poslovi u svakoj obitelji."
0:01:01,0:01:06,Evo da si našla vremena da nas dvije popričamo o tebi i tvom jako zanimljivom životu.
0:01:07,0:01:08,Hvala na pozivu.
0:01:09,0:01:10,"Evo da, trema je tu."
0:01:11,0:01:15,"Iako nema nikoga kod nas, trebalo bi biti ko neka normalna."
0:01:15,0:01:16,"kava, ali evo."
0:01:16,0:01:19,"Pa bit će, u normalići će se sada, u normalići."
0:01:19,0:01:40,"Dakle, razlog zašto sam, kad sam te pitala da porazgovaramo, da napravimo jedan ovakav intervju za moj podcast, pitala sam me pa o čem ćeš me pitati, pa ja sam rekla pa pitat ću te o tvom životu, ti i tvoj muž imate devetero djece i to je nešto što je danas u društvu nije česta pojava."
0:01:40,0:01:46,"I onda ljudi, sama si puno puta iskusila to čuđenje kad kažeš koliko imaš djece."
0:01:46,0:01:53,"Mislim da je zanimljivo ljudima, meni je zanimljivo tebe i čuti i vidjeti i čuti tvoje is iskustvo i mislim da je to zanimljivo i drugima?"
0:01:54,0:01:55,"Pa, da, vjerojatno."
0:01:55,0:02:03,"Makar ovakve imamo dosta iskustva, više bi čak rekla da je negativnih iskustva vezano za količinu djece."
