Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:14,0:00:16,Pozdravljam vas u 55 minuta.
0:00:16,0:00:25,"Hvala da pratite moj YouTube kanal i mogu vam reći da se nadam, što vam uvijek kažem, da se nadam da ste obogačeni razgovorima koje vodim, baš kao i ja sama."
0:00:26,0:00:30,Moja današnja gošća je doktorica znanosti Marica Čunčić.
0:00:30,0:00:36,"Ona je doktorica filologije, bivša ravnateljica Staroslavenskog instituta u tri mandata."
0:00:36,0:00:45,"data, znanstvenica i istovremeno utemeljiteljica i voditeljica programa i zajednice INIGO, dakle Ignacijanskih duhovnih vježbi."
0:00:46,0:00:55,Jako mi je drago da Marice da si izdvojila vrijeme i puno ti hvala da si evo došla da porazgovaramo o tom bogatom životu.
0:00:55,0:00:57,Hvala ti što si me pozvala.
0:00:57,0:01:18,"Dakle, ja sam kad smo se pripremili za ovaj intervju sam te zamolila da mi pošalješ svoje radove čime se bavila i sad isprintala sam ih, dakle to je na sedamnaest stranica gusto znanstveni radovi, knjige, rječnik, Kajkovskog nariša u kojem si sudjelovala, ti kažem malim dijelom, ali dobro."
0:01:19,0:01:42,"Hoću reći, doista je impresivno s jedne strane tvoja znanstveni put, put znanstvenice, filologa, doktora filologije, a s druge strane, istovremeno, ja gdje god nešto radim po Hrvatskoj, upoznajem ljude koji su u ignacijanskim duhovnim vježbama i to me toliko u početku iznenađivalo."
0:01:43,0:01:54,"Dođem u jedno malo mjesto, nešto mi radimo, organiziramo udrugu imaju obitelji i onda mi neko kaže, pa ja sam u ignacijansanskim vježbama, pa onda pitam kako, onda mi objasne da je sve moguće uz internet i zoom."
0:01:55,0:02:18,"Evo pa da krenemo od toga, kako si ti taj sklad između tvoj cijeli život iz ovog što sam vidjela, u stvari se isprepliču znanost, dakle tvoje bavljenje ozbiljnom filologijom, vođenje staroslavenskog instituta, ti visoki standardi i rada i radne etike i posvećenosti poslu."
0:02:18,0:02:34,Istovremeno se kroz tvoj život isprepliče neprekidno vjera i opet angažman korištenjem tih tvojvojih talenata i u području razvijanja primjene ignacijanskih duhovnih vježbi na jedan način prilagođen današnjem životu.
0:02:35,0:02:48,"Da, to je normalno da čovjek koji vjeruje unosi vjeru u sve ono što radi, a ono što radi možemo opet pomoći u razumijevanju, boljem razumijevanju vjere i ljudi oko sebe."
0:02:49,0:02:52,"Tako da je, uvijek je to bila konstanta."
0:02:53,0:02:58,"Vjera i struka, život u svijetu, a nisi od svijeta."
0:02:59,0:02:59,Ja sam još kao.
0:03:00,0:03:10,"Kada sam mala željela promijeniti svijet i tražila polugu kako da svijet pokrenem nekako drugačije, osjećala sam da nešto ne štima."
0:03:12,0:03:15,Ali ta poluga je spasitelj svijeta.
0:03:16,0:03:17,Zato je on došao.
0:03:18,0:03:20,No to nisam odmah shvatila.
0:03:20,0:03:37,"Tek u gimnaziji sam razumjela da je Isus živ i da me ljubi, da je on tu da mogu s njim živjeti, komunicirati, da mi može pomoći, da može on promijeniti svijet ono što ja ne mogu, on može."
0:03:39,0:03:47,"I to prvo krštenje u duhu, da tako kažem, bilo je vrlo snažno i ostavilo je pečat na cijeli moj život."
0:03:48,0:03:54,"Tako da ja ono što radim, radim radi Boga, što ne bi za sebe."
