Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:14,0:00:17,Pozdravljam vas u još jednom u 55 minuta.
0:00:17,0:00:18,Hvala da pratite moj podcast.
0:00:19,0:00:22,Nadam se da su vam gosti s kojima razgovaram zanimljivi.
0:00:22,0:00:38,"Povod mog današnjeg ovog podcasta je nekako specifičan, a to je mjera roditelj-odgojitelj, odnosno činjenica da je grad Zagreb krenuo slati pojedinačne odluke i rješenja na više od 5500 adresa."
0:00:38,0:00:46,desa roditelja koji imaju najmanje troje djece koji žive u Zagrebu i koji su korisnici mjere roditelja odgojitelja.
0:00:46,0:00:49,Moj današnji gost je odvjetnik Karlo Novosel.
0:00:49,0:01:04,"Karlo je inače pripremio i prvu tužbu, odnosno prvi zahtjev za ocjenu zakonitosti koji je udruga u ime obitelji, u ime roditelja odgojitelja uputila Visokom upravnom sudu i drugi koji smo predali prije desetak dana."
0:01:05,0:01:24,"I zamolila sam ga za razgovor kako bi dali što konkretnije upute za roditelja odgojitelja što trebaju sada raditi, ali kako bi informirali sve vas o nevjerojatnom načinu na koji gradonačelnik Tomašević i njegovi dogradonačelnici uporno i ustrajno napadaju obitelji u Gradu Zagrebu koje imaju više djece."
0:01:24,0:01:28,"Karlo, hvala ti da si našao vremena za ovaj razgovor."
0:01:28,0:01:31,Zahvaljujem se na pozivu i pozdrav svim gledateljima.
0:01:31,0:01:36,"Dakle, Karlo, da krenemo od ovog što je sada aktualno za toliki broj obitelji u Gradu Zagrebu."
0:01:37,0:01:58,"Po svemu sudeći, grad je krenuo kronološki od prvih odluka, odnosno rješenja koje su izdavali roditeljima, odgojiteljima i nama su se javili roditelji u utorak da su primili prva rješenja u kojima i grad u stvari de facto obavještava o ukidanju te mjere odnosno nekim kvazi kompenzacijskim mjerama za njih?"
0:01:59,0:02:14,Znači mislim da je potrebno pojačani oprez u ovoj situaciji primijeniti obzirom da je drugačije nego prvi put kada se dogodila ova izmjena odluke Grada Zagreba od strane skupštine odnosno gradonačelnika.
0:02:15,0:02:38,"Naime, prvi puta grad Zagreb nije išao s ovakvim pojedinačnim odlukama, tako da su mjere koje je poduzela udruga u ime obitelji HURO i ostali podnositelji obavijesti odnosno zahtjeva Visokom upravnom sudu su bile proširene na sve korisnike te mjere i oni su zapravo tim akcijama podnositelja zahtjeva odnosno obavijesti bili zaštićeni."
0:02:38,0:02:58,"Dakle ono što smo mi napravili odnosno što si ti pripremio onda je podnijeli mi kao udruga u ime obitelji Visokom upravnom sudu, odluka Visokog upravnog suda od pet sedam ove godine kojom smo mi pobjedili odnosno kojim je sud rekao da je ta odluka nezakonita gradonačelnika ona je vrijedila za sve korisnike mjere."
0:02:58,0:03:04,Ona je obuhvatila apsolutno sve korisnike mjere i one koji nisu podnosili nikakve obavijesti i zahtjeve Visokom upravnom sudu.
0:03:04,0:03:04,Tako.
0:03:04,0:03:09,"A sada kada ljudi počinju dobivati na svoje ime ovakva rješenja, što se sad promijenilo?"
0:03:09,0:03:36,"Ovaj puta je, znači, moje mišljenje je da je gradska vlast sa ciljem da provjeri korisnike mjere na taj nekakav proceduralan način, očekivajući njihovu pasivnost u reakciji na podnošenje ovakvih zahtjeva, počela donositi rješenja kao pojedinačne akte kojim se odlučuju o pravima i interesima svakog pojedinačnog korisnika, te im ista rješenja dostaviti na kućne adrese."
0:03:37,0:03:59,"Radi se o jednoj pravnoj akrobaciji u kojoj ukoliko korisnik mjere koji zaprimi takvo rješenje ne podnese taj pravni lijek koji je ostavljen u samom rješenju koji se zove prigovor, ali zapravo i žalba, odluka Visokog upravnog suda po svim ostalim obavijestima i zahtjevima koji su podnijeli ostali podnositelji neće imati široku primjenu na sve njih."
0:04:00,0:04:13,"Znači oni bi nepodnošenjem prigovora izgubili sva prava koja su imali temeljem odluke roditelj-goditelj, unatoč činjenici što bi se kasnije eventualno uspjelo sa generalnim općim zahtjevom prema Visokom upravnom sudu."
0:04:13,0:04:27,"Dakle, u stvari, mi smo nakon što je grad donio u devetom mjesecu ovu ponovno odluku o de facto ukidanju mjere, ignorirajući odluku ono što im je sud, na što ih je Visoki upravni sud uputio."
0:04:28,0:04:34,Mi smo prije desettak dana predali ponovno zahtjev za ocjenu ustavnosti i donijeli argumente protiv te nove odluke.
0:04:34,0:04:52,"I sada, ako sud što mi očekujemo donese ili privremenu mjeru ili donese ponovi odluku da je ovo protuzakonito što Tomašević radi, oni ljudi, oni roditelji odgojitelji koji ne podnesu žalbu ili prigovor na ovo rješenje, na njih se ta pobjeda na sudu neće odnositi."
0:04:52,0:04:52,Neće se odnositi.
0:04:53,0:05:07,"To je, oni su ustvari kroz ova rješenja, kroz ove tisuće i tisuće papira koje printaju i uništavaju Hrvatske šume, nazivaju se zelenima, koje oni sad šalju na adrese svih roditelja i odgojitelja."
0:05:07,0:05:15,"U stvari žele postići da roditelji i odgojitelji, neki od njih zato što neće odgovoriti, nemaju pravo koristiti, imati koristi od odluke suda."
0:05:15,0:05:16,Točno tako.
0:05:16,0:05:28,"Znači, točno tako i to je jedna vjerojatno dobro osmišljena igra kako bi se filtrirali korisnici i smanjio trošak prema njima, odnosno kako oni to predstavljaju javnosti."
0:05:28,0:05:53,"Dobro, dakle, ono što mi sad zanima je, dakle, roditelji, nama se bila javila mama jedna koja je dobila ovo rješenje u utorak, da nam sad na njenom primjeru reci kako sad to sve izgleda, što ona treba poduzet da bi se zaštitila odnosno da bi mogla sudjelovati i u nadajmo se sudskoj pobjedi na sudu visokom upravnom ili ustavnom ili europskom."
0:05:53,0:06:12,"Znači onog trenutka kada bilo koji korisnik za primi, konkretno ta mama za prima rješenje, ona se mora aktivirati obzirom da postoji dosta kratak rok u kojem se mora podnijeti prigovor odnosno žalba protiv takvog jednog pojedinačnog akta odnosno rješenja, taj rok koji je ostavljen u samom uputi o pravnom lijeku za taj akt je osam dana."
0:06:13,0:06:24,"Znači to je jako bitno da se od trenutka tog dana primitka računa rok od osam dana i da se što prije, da se ne čeka osmi dan podnošenja takvog prigovoraovoru nego da se napravi prigovor."
0:06:26,0:06:49,"Mislim da je Udruga im obitelji i HURO da su napravili dobru podlogu za sam sadržaj takvog prigovora, tako da se korisnici ne moraju morati sa time kako će sadržajno koncipirati prigovore na doneseno rješenje, već se naprosto pozvati na ono što je već izneseno od strane HUR-a i Udruge im obitelji u toj obavijesti zahtjevu koju smo mi podnijeli prije desetak dana."
0:06:50,0:07:08,"Mora se napisati taj jedan dokument, na dokumentu se mora naznačiti kome se dokument šalje, mora se naznačiti klasa dokumenta koja piše na svakome dokumentu i uruđbeni broj, nasloviti taj dokument sa naslovom prigovor odnosno žalba."
0:07:09,0:07:34,"Bilo bi jako dobro da se osim naslova prigovora znači da se radi o žalbi protiv rješenja datuma kako je naznačeno na samome rješenju i uz naznaku u samome tekstu tog prigovora da se ulaže prigovor protiv tog i tog rješenja, te i te klase donesenog tog i tog datuma iz razloga nezakonitosti rješenja koje je doneseno na temlju nezakonite odluke."
0:07:36,0:07:49,"U sljedećoj rečenici.ici bi trebalo znači da su razlozi nezakonitosti rješenja istovjetni kao i razlozi nezakonitosti odluke, a da su oni navedeni u svim tim obavijestima zahtjevima koje smo mi podnijeli pred desetak dana."
0:07:49,0:08:02,"Znači, bilo bi dobro naznačiti primjerice obavijest udruge u ime obitelji i da će se svi razlozi koje udruga navela u tom obraćanju Visokom upravnom sudu imati smatrati kao razlozi tog prigovora, odnosno žalbe."
0:08:03,0:08:04,I to je u biti to.
