Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:14,0:00:16,Pozdravljam vas u 55 minuta.
0:00:16,0:00:17,Hvala da pratite moj podcast.
0:00:17,0:00:19,Hvala na komentarima koje stavljate.
0:00:20,0:00:23,Žao mi je da ne uspijem odgovarati na neke od vaših komentara na vrijeme.
0:00:24,0:00:26,"Evo, trudim se koliko mogu."
0:00:26,0:00:34,Nekako dajem prioritet tome da uspijem razgovarati sa što većim brojem ljudi od kojih ja i vi imamo što naučiti i doznati.
0:00:35,0:00:40,"Jedna od takvih je moja današnja go gošća, profesorica Gordana Buljan Flander."
0:00:41,0:01:00,"Gordana je psihologinja, poznata stručnjakinja, stručnjak za integrativnu psihoterapiju, sudski vještak, žena koja je utemeljila hrabri telefon kao način komunikacije sa djecom koja trebaju pomoć, a ne mogu je dobiti od onih od kojih bi je trebali dobiti."
0:01:01,0:01:09,Isto tako je utemeljiteljica Zavoda za djecu i mladežu u Zagrebu koji se bavi o djecom koja su na najrazličitije načine zlostavljena.
0:01:09,0:01:16,Zamolila sam je da porazgovaramo o brojnim temama koje su danas aktualne i za roditelje i za one kojima su djeca važna.
0:01:17,0:01:22,"Ponati hvala da si našla vremena, Gordana, kao poznata stručnjakinje."
0:01:24,0:01:36,"Nekako priča se u društvu o zlostavljanju djece, ali nekako imam dojam kao da opet nedovoljno, kao opet nedovoljno o tome koliko je velik taj broj."
0:01:37,0:01:50,"Mi smo, dakle, portal Narod Harry zatražio podatke i dobio da su prošle godine, da je 800 osoba, dakle, bilo slučajeva prijave zlostavljanja djece i da je jedan veliki dio bio vezan za dječju pornografiju."
0:01:51,0:02:03,"Ti si u svom radu do sada imala preko 1600 slučajeva djece koja su bila seksualno zlostavljena, na tisuće djece koja su bila fizički zlostavljena, emocionalno."
0:02:04,0:02:06,"Dakle, daj nam reci nešto o toj brojci."
0:02:07,0:02:17,"Pa ovo koliko se prijavljuje je puno, puno, puno manje nego što je stvarni slučaj, nego što je stvarni broj seksualno zlostavljene djece."
0:02:17,0:02:24,"Naime, u Hrvatskoj kao i u Evropi, odnosno u cijelom svijetu je svako peto dijete seksualno zlostavljeno."
0:02:25,0:03:04,devedeset posto slučajeva ostane neprijavljeno znači prijavljuje se samo deset posto slučajeva od toga neki sedam osam posto bude presuđeno znači sve što znamo o seksualnom zlostavljanju djece znamo na osnovi ovih sedam osam posto presuđenih odnosno deset posto prijavljenih tako da nam taj broj prijavljenih ne govori puno o tome kolika je stvarna brojka ali nam zapravo govori da premalo o tome govorimo jer što više o tome bi govorili više bi i djeca se usudilo progovoriti i reći ali isto tako i više roditelja i odraslih bi znalo na vrijeme prepoznati.
0:03:06,0:03:08,To je jedna od važnih stvari.
0:03:09,0:03:17,"Većina nasilja se događa nad djecom u obitelji zato što većina djece, najveći dio djece živi u obitelji."
0:03:18,0:03:21,"I od onih koji su u njihovom okruženju, koji imaju pristup do njih."
0:03:22,0:03:27,Ali vrlo često odrasli ne prepoznaju te znakove.
0:03:28,0:03:28,Zašto?
0:03:28,0:03:29,Evo iz tog iskustva.
0:03:30,0:03:35,Ono što želim reći je da 80% onih koji zlostavljaju djecu su roditelji.
0:03:38,0:03:54,"ako su sami zlostavljači će paziti da drugi roditelj ne prepozna znakove, paziti će da društvo ne prepozna da učitelj, vjeroučitelj, bilo ko kome dijete dolazi u povjerenju i koji ima uopće pristup djetetu to ne prepozna."
