Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:00,0:00:08,"Mi u biti hodamo po rubu, ako ne kažem, mi smo u autonomnom svjetskom ratu, ali hodamo po rubu, na samom rubu smo novog svjetskog rata."
0:00:08,0:00:21,"Mislim, Bjeloruski je režim slab, ali slučaj da bi Bjelorusija napadne sa sjevera Ukrajinu, mislim, postoji šansa, onda bi vjerojatno Poljska morala prestati biti ući u taj sukob."
0:00:22,0:00:34,"Jer u biti, ako gledate sadašnji sukob, upravo napad sa sjevera bi donio ogromnu prednost, jer bi se time ukrajinske snage razvukle na ogromno teritorijalno, tri tisuće km, da bi se razvukle sjever i jug."
0:00:34,0:00:37,"Dakle, to bi bila iznimna, iznimno, iznimno."
0:00:37,0:00:40,Iznimno otežano za ukrajinsku obranu.
0:00:54,0:00:57,Pozdravljam vas u 55 minuta.
0:00:57,0:00:58,Hvala vam da pratite moj podcast.
0:00:59,0:01:02,"Moj današnji gost je Stipe Kljajić, povjesničar."
0:01:02,0:01:08,On je zaposlen na Institutu za povijest gdje trenutno radi kao viši znanstveni suradnik.
0:01:09,0:01:16,"Stipe Kljajić je studij povijesti završio u Zagrebu na Filozofskom fakultetu, inače rođeni Šibenčanin."
0:01:16,0:01:21,Doktorirao je kod mentora pokojnog profesora Ive Banca 2015.
0:01:21,0:01:21,godine.
0:01:21,0:01:25,"Do sada je objavio dvije monografije, jednu 2017."
0:01:25,0:01:26,i drugu 2021.
0:01:27,0:01:27,godine.
0:01:27,0:01:32,Bavi se njegovom području interesa je moderna hrvatska povijest.
0:01:32,0:01:43,Zamolila sam ga za razgovor zato što se sve više pokazuje da je povijest itekako važna za razumijevanje događaja koji bitno utječu na naš život danas.
0:01:44,0:01:46,Mislim da će vam ovaj razgovor biti zanimljiv.
0:01:46,0:01:47,"Stipe, dobrodošao."
0:01:48,0:01:56,"Hvala ti da si našao vrijeme za ovaj razgovor i drago mi je da ćeš nam pomoći produbit naše razumijevanje prošlosti, a onda i sadašnjosti."
0:01:57,0:01:58,Hvala vam na pozivu.
0:01:58,0:02:04,"Dakle, razgovarali smo o tome kako je povijest u stvari, kako je u sve događaje današnjice."
0:02:04,0:02:08,"Svi oni počivaju na nekom iskustvu, kao i osobni život čovjeka."
0:02:09,0:02:20,"Danas se temelje na onome što smo mi radili, bili jučer, tako i sa narodima, tako i sa događajima koji su važni, koji su važni za sve nas, koji na sve nas utječu."
0:02:21,0:02:24,"Da, ovo vrijeme."
0:02:24,0:02:37,"Ovo vrijeme, posljednjih nekih 30 godina, je vrijeme kad se nekako preoptimistički vjerovalo u neku ružičastu budućnost."
0:02:38,0:02:57,"Znači, to je jedna ideja koju je Fukuyama nakon pada željezne zavjese i istočnog bloka govorio o tome da slijedi taj jedan triumf te liberalne demokracije i da svijet ide u neku ružičastu fazu."
0:02:58,0:03:00,"Dakle, to je bila jedna hiperoptimistička."
0:03:01,0:03:08,"Prognoza i neki način mi smo svjedoci u to u nekom, u nekome svijetu u kojem će kao vlada."
0:03:09,0:03:11,Iščekivanju ružičastega.
0:03:11,0:03:12,Sada će sve biti super.
0:03:16,0:03:24,"Jedna atmosfera u kojoj će sve biti u biti i diljično, neka arkadija koja će biti."
0:03:24,0:03:40,"Međutim, imali smo i drugog autora koji je kontrirao u Ukrajami, to je američki politolog Samuel Huntington koji je tad već nakon tih 90-ih godina napisao jednu važnu studiju, sukob civilizacija."
