Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:14,0:00:16,Pozdravljam vas u 55 minuta.
0:00:16,0:00:18,Hvala da pratite moj podcast.
0:00:19,0:00:36,"U proteklim razgovorima sa mojim prošlim sugovornicima, s nekim od njih smo naglasili važnost razumijevanja pozadine današnjih događaja i političkom i povijesnom."
0:00:37,0:00:42,"i stavljanja svih stvari koje se događaju, koje su bitne za naše živote u kontekst."
0:00:43,0:00:50,Postoje događaji u prošlosti svakog naroda koji bitno utječu na njegovu sadašnjost.
0:00:51,0:01:06,"Kad smo razgovarali sa profesorom Havelom, doznali smo mnogo toga o prošlosti židova i prošlosti Izraela koji utječu do onog što se danas događa u politici ili u ratu u Izraelu i gazi."
0:01:06,0:01:12,"Razgovarajući sa recimo doktorom Kljajicem o povijesnom kontekstu, on nam je pomogao da."
0:01:12,0:01:16,kao da razumijemo pozadinu rusko-ukrajinskog rata.
0:01:16,0:01:28,"I ta ideja da prošlost, da ne trebamo razgovarati o prošlosti, osobito ako imamo neke stvari oko kojih nemamo na razini cijelog društva konsenzus, ja smatram da je potpuno pogrešan."
0:01:28,0:01:35,Mi trebamo razgovarati zbog toga što prošlost bitno utječe na ono tko smo mi danas i utječe i na našu budućnost.
0:01:36,0:02:14,"U tom smislu sam pozvala današnjeg sugovornika da razgovaramo o jednoj izuzetno bolnoj obljetnici, obljetnici koja u nama izaziva i bol i ponos istovremeno, a to je obljetnica pada Vukovara i herojske obrane toga grada i sve ono što on vidi da je potrebno raditi kako bi se ta kao i drugi događaj, drugi simboli iz naše prošlosti održavali u onom svjetlu u kojem su oni stvarno se i događali i u kojem su bitni za nas danas."
0:02:14,0:02:18,Evo moj današnji gost je gospodin Milan Zanoški.
0:02:19,0:02:20,Dobrodošli.
0:02:21,0:02:24,Hvala da ste se odazvali mom pozivu.
0:02:24,0:02:26,Hvala lijepo vama na pozivu.
0:02:26,0:02:31,"Pozdrav svim vašim gledateljima vašeg podcasta, osobito hrvatskim braniteljima, ma gdje bili."
0:02:31,0:02:56,"Ma gdje bili, da, to je bio pozdrav koji svima nama koji smo domovinski rat prošli i kojega se sjećamo kako smo gledali uvijek dnevnik, stalno pratili HTV i da je to bio pozdrav kojim se odjavljivalo, jel tako često dnevnik i da se pozdravlja gdje god bili."
0:02:56,0:03:01,"Nismo ih mogli svugdje, ali evo i preko televizije su im htjeli reći da."
0:03:02,0:03:05,"da smo s njima, da znamo da oni nisu sad doma."
0:03:07,0:03:42,"Evo, pa povod za naše razgovore i činjenica da ste vi jako uključeni u obilježavanje ne samo dakle Vukovara, dakle podsjećanje sve nas na žrtvu Vukovara u Gradu Zagrebu, već ste uključeni i u nekako kao svoj građanski angažman ste uzeli i obilježavanje, važnost obilježavanja onih događaja u hrvatskoj prošlosti koji su bitni za nas, koji kao što je oluja, kao što je oslobađanje okupiranih hrvatskih teritorija ili kao što je dan državnosti."
0:03:43,0:03:48,"Dakle, tu ste jako aktivni i puno ste toga poduzeli što mi svi danas podrazumijevamo."
0:03:49,0:04:17,"Ja podrazumijevam da ćemo idući tjedan u Zagrebu paliti svijeće u gradu da se oni koji ostaju u Zagrebu, koji neće biti u ugoru, prisjetimo što su ljudi naši prolazili, što su Hrvati prolazili u tom razdoblju oko osamnaestjedanaestdevedeset jedan pa evo vi ste u ratu bili i kao dragovoljac, i kao vojnik."
0:04:19,0:04:24,Kako je došlo do toga da to svoje iskustvo iz prošlosti ovako uvezujete sa sadašnjost?
0:04:25,0:04:32,"Zajedno sa prijateljima, jer čovjek naravno nikad ne može ništa napraviti sam, pogotovo iz kluba veterana 148."
0:04:32,0:04:50,"brigade Hrvatske vojske iz Zagrebačkog Trnja, kojoj pripadam, kojoj sam bio član tijekom Domovinskog oslobodilačkog rata, evo došli smo na zamisao, išli smo u Vukovar vodeći 50 ljudi u posjetu Vukovaru prilikom obilježavanja Dana sjećanja."
0:04:50,0:05:08,"I onda smo vidjeli ustvari da puno ljudi zbog nekakvih objektivnih razloga ne može taj dan nazočiti iako bi mi htjeli da su to tisuće zagrepčana u koloni sjećanja u Vukovaru i u Škabrnji, ta su dva mjesta važna kao simboli, da ne može sudjelovati i da ne ide taj dan u Vukovar i Škabrnju."
0:05:08,0:05:39,"Onda smo razmišljali, međusobno razgovarali o tome šta bi mi mogli ponuditi zagrepčanima, nama tu svima u Zagrebu da se to jednostavno ne zaboravi, ali i vodeći brigu o tome da mi ne idemo iznad obilježavanja koje je državno obilježavanje znači Vukovar i Škabrnji, organiziranjem kolone sjećanja u Vukovaru, kolone sjećanja i u Škabrnji, nego da smo odmah ispod s obzirom da živimo u Gradu Zagrebu, u velikom centru, najvećem glavnom gradu Hrvatske, svih Hrvata što bi rekli isto, da."
0:05:39,0:06:02,"I onda smo evo došli na ideju da pošto se ulica Grada Vukovara proteže najvećim dijelom kroz našu Gradsku četvrti Trnje, ali i počinje na Tresčnici, završava na Gradskoj četvrti Peščenica, šta bi mi mogli na koji način uz tu ulicu Grada Vukovara i razvila se ideja da mi prvu godinu recimo na nekakvih sada recimo dvjesto metara smo stavili petnaest lampaša."
0:06:02,0:06:03,To je bilo prije dvadeset i nešto godina.
0:06:04,0:06:05,Misleći da.
0:06:07,0:06:10,"Ne, ne, ne, ništa, da to je bio radni dan uobičajeni ništa."
0:06:10,0:06:15,"I mi smo mislili eto to je jedan naš mali simbol, jedan naš mali doprinos svemu tome."
0:06:16,0:06:17,Ulica gradova Vukovar.
0:06:18,0:06:28,"Tako i mi smo stavili koliko smo bili u financijskim mogućnostima, mi smo stavili petnaest i dvadeset lampaša na toj dionici od možda dvjesto dvjesto pedeset metara."
0:06:29,0:06:40,"Sljedeće godine su nam se pridružili susjedi jer su okolne zgrade, više stambene zgrade, osam katova i to, pridružili su nam se susjedi ali ne samo na toj našoj dionici, nego na cijeloj dionici ulica grada Vukovara."
0:06:40,0:06:59,"Nakon toga smo razmišljali kako bismo razvijali taj cjelokupan projekt, uključiti što više i više ljudi i odjednom nam se ulica grada Vukovara, koja je četiri i pol km dužna, ali s jedne i s druge strane to je devet km, više nam se ta ulica s godinama ne čini da je ona tako dugačka, nego na njoj je tisuće lampaša."
0:06:59,0:07:13,"I sada evo, nadamo se sljedeći tjedan, 17.11., to je petak, da ćemo u 18 sati, jednako vremeno kao što pozivamo svake godine, zapaliti opet svi zagrebčani na tisuće lampaša, pozivajući pri tom dionici."
