Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:14,0:00:17,"Pozdravljam vas u mom podcastu, hvala da me pratite."
0:00:18,0:00:28,Molim vas da odvojite vrijeme ako vam se sviđa sadržaj koji vidite da ga lajkate i na taj način podupirate ono što radim.
0:00:28,0:00:40,"Moja današnja gošća je magistra Daniela Didić, klinički psiholog, žena koja već više od 15 godina radi posao sudskog vištaka za psihologiju."
0:00:41,0:00:54,"Usto se magistra bavila parničnim, dakle, vištačenjem odraslih i djece u parničnim predmetima razvoda braka i u drugim situacijama koje traže sudske vištake."
0:00:54,0:01:01,"Isto tako, gospođa Didić godinama je radila na provođenju sudske zaštitne mjere obvezno."
0:01:01,0:01:05,obveznog psihosocijalnog tretmana počinitelja nasilja u obitelji.
0:01:06,0:01:20,Povod za naš razgovor je stručni skup sa međunarodnim sudjelovanjem koji je održan prošli tjedan i na tom skupu je bila tema gdje je nestalo dijete u dnevno političkim zavrzlavama.
0:01:20,0:01:31,"Evo, puno vam hvala gospođo Dilić da ste odvojili vrijeme i da ste se i u javnosti već do sada izlagali i zalagali."
0:01:32,0:01:33,za djecu.
0:01:34,0:01:39,Hvala vam što ste me pozvali i dali priliku da sudjelujem u ovom podcastu.
0:01:39,0:01:41,"Dakle, gdje je nestalo dijete?"
0:01:42,0:02:02,"Uf, to je, znači ja bih najprije htjela vašim gledateljima i čitateljima objasniti zbog čega je uopće došlo do toga da se to stavi na ovaj jedan naš stručni znanstveni skup, da se digne do te razine."
0:02:02,0:02:04,"Naime, Hrvatskog psihološkog društva."
0:02:04,0:02:24,"Dakle, to je konferencija, 30-a godina konferencija Hrvatskog psihološkog društva na kojoj se jednom godišnje, to je naša redovna konferencija gdje se jednom godišnje svi psiholozi koji rade u Hrvatskoj skupe i pozvani predavači koji rade kao psiholozi u inozemstvu."
0:02:25,0:02:30,Zato je konferencija sa međunarodnim sudjelovanjem.
