Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:14,0:00:15,Pozdravljam vas u 55 minuta.
0:00:16,0:00:17,Hvala da pratite moj podcast.
0:00:18,0:00:46,"Moj današnji gost je Marcel Holjevac, poznati novinar, komentator, kolumnist s kojim sam odlučila porazgovarati o brojnim temama u javnom i političkom životu na kojem mislim da će on moći baciti jedno dodatno svjetlo i pomoći svima nama da promišljamo stvari koje nam se nekad čine kao nevažne ili kao daleke ili kao neke koje ne utječu na naše živote, a onda se pokaže da itekako imaju utjecaj na naš život."
0:00:47,0:00:49,"Marcel, hvala ti da si našao vremena."
0:00:53,0:00:58,"Da, to je od jutros nekakva promukla, ali ne razumjet ćemo se."
0:00:58,0:01:21,"Pa evo, ovaj tjedan je bio u znaku ustvari odabira glavnog državnog odvjetnika i rekla bih da osim što je imenovan glavni državni odvjetnik, gospodin Turdić nam je ustvari pokazao odnosno posredno pomogao da vidimo niz različitih situacija koje su izuzetno važne, neke opasne, neke manje opasne u hrvatskom društvu."
0:01:22,0:01:45,"Ima jedna najopasnija koju bih ja izdvojio, bez obzira što ja ne mislim da je Turudić najidealniji kandidat i da on ima svojih spornih stvari, dapače ima oko svakog spornih stvari, ime oko njega, ali mislim da je daleko najopasnija stvar ovdje da se nečija privatna prepiska koja čak nije izuzeta iz istrage, znači to je privatna prepiska između dvije osobe od kojih niti jedna u tom trenutku nije bila ni pod isragom, ni pod nadzorom, ni pod ničim, to je 2015."
0:01:45,0:01:46,do 2019.
0:01:46,0:01:49,razdoblje DVD.
0:01:49,0:01:51,"dijeli okolo, prodaje se kao krumpiri na placu."
0:01:52,0:02:10,"Znači ono što je problem za javnost kad ste već krenuli s tom temom je da danas, sutra može netko moju ili vašu prepisku s nekim tko će završiti pod isragom iz vremena kad nije bio pod jednostavno objaviti u svim novinama i to onako selektivno da ispadne nešto kompromitirano."
0:02:10,0:02:11,Pravići se da je to u interesu javnosti.
0:02:12,0:02:13,To nije u interesu javnosti.
0:02:13,0:02:13,Zašto?
0:02:13,0:02:15,"Ne, to nije u interesu javnosti jer mislim."
0:02:17,0:02:23,"Jer jednostavno javno djelovanje svačije je interes javnosti, javno djelovanje Turudića kao suca je interes javnosti."
