Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:14,0:00:16,Pozdravljam vas u 55 minuta.
0:00:16,0:00:18,Hvala vam da pratite moj podcast.
0:00:19,0:00:30,"U svibnju imamo jako puno događaja koji su vezani za zaštitu prava na život, kroz hodove za život koje mi kao udruga organiziramo."
0:00:30,0:00:37,"Ali istovremeno svibanj je uvijek i tužan mjesec, redoga što se u svibnju prisjećamo brojnih pokolja koji su napravljeni."
0:00:38,0:00:38,nakon II.
0:00:38,0:00:49,"svjetskog rata koji su partizani, Titovi partizani napravili u Zagrebu, po cijeloj Hrvatskoj, u Sloveniji u mjesecima nakon što je završio II."
0:00:49,0:00:50,svjetski rat.
0:00:51,0:01:28,"Nekako mi se čini da je jako važno da o toj velikoj rani koja još nije zacijelila hrvatskog naroda razgovaramo, da učimo neprekidno, radi toga što je upravo o tim događajima četrdeset pet godina ne samo da se šutilo već se lagalo stalno lagalo i govorilo, ponavljalo kroz propagandu komunističku laži o ljudima koji su ubijeni, o brojevima tih ljudi, o tome kakvu je to štetu i bol nanijelo našem narodu i posljedice koje mi osjećamo i dan danas."
0:01:28,0:01:44,"Prema procjenama profesora Šterca koji su se temeljili na demografiji, dakle na popisima stanovništva i brojkama, nakon drugog svjetskog rata, dakle u tijeku četiri godine, ali najviše nakon drugog svjetskog rata je ubijeno više od tristo tisuća Hrvata."
0:01:45,0:02:06,"Dakle, taj broj ljudi koji su ubijeni u miru nakon što su završila ratna djelovanja, zaziva prvo istinu, drugo pravdu i treće da mi razumijemo tko su bili ti ljudi koji nam danas prikazuju u najljepšem svjetlu neki, neki ali prikazuju."
0:02:06,0:02:18,"U Hrvatskoj je dopušteno da se dan, da se Titov rođendan, dakle rođendan jednog zločinca proslavlja, u Kumrovcu je proslavljen, na raznim javnim mjestima su ga veličali."
0:02:19,0:02:32,"Kao gosta sam odlučila pozvati gospodina s kojim pokušavam već duže vrijeme dogovoriti intervju,u gospodina Antu Belju, on je čovjek koji se 60 godina svog života bavi Bleiburgom."
0:02:33,0:02:37,"On je rođen u Hercegovinu, u Čerinu, to je jedno mjesto u Čitluškoj općini."
0:02:40,0:02:46,"Studirao je na PMF-u, otišao je živjeti u Austriju, zatim u Kanadu gdje je živio više od 20 godina."
0:02:47,0:02:48,Vratio se u Hrvatsku 90.
0:02:49,0:02:57,"u najteže vrijeme kako bi sudjelovao u osnivačkoj skupštini tadašnjeg HDZ-a, kad je počeo raditi osnovo 91."
0:02:58,0:03:01,Hrvatski informacijski centar i obavio niz važnih.
0:03:02,0:03:05,"funkcija, uz to je bio dva mandata saborski zastupnik."
0:03:06,0:03:29,"Ja sam ga susrela ponovno, pratila sam ga za vrijeme rata i znala sam što radi, ali ponovno smo se susreli na zadnjem krugu za trg nakon kojeg je promijenjeno ime, dakle Titovog trga, najljepšeg trga u Zagrebu kako kažu gdje je haenka i maknuto ime jednog zločinca."
0:03:29,0:03:52,"Evo, gospodin Belja malo je bio dugu vod, nemojte mi zamjeriti, ali nekako sam htjela pojasniti Hvala vam na pozivu."
0:03:53,0:04:08,"Evo, povod za naše razgovore, ovaj tjedan je održana Sveta Misa u Svetom Jeronimu za sve one koji su ubijeni nakon takozvanog oslobođenja Zagreba, nakon što su partizani ušli u Zagreb."
0:04:09,0:04:11,"Pa evo, dajte nam recite malo o tome."
0:04:12,0:04:30,"Pa informacije, zapravo kao uvodno, ja bih želio reći da je kad je pitanje Titove biografije, sve se od 1941."
0:04:31,0:04:33,do što je radio D.D.R.
0:04:34,0:04:50,"i što su radili mnogi drugi, opisao se svaki detalj u detalje, falilo se Tita za ovo, za ono, jedino taj jedan segment je ostao totalno zamračen."
0:04:51,0:05:13,"I sad bilo je interesantno saznati zašto je taj baš segment ostao sakriven, a to je zapravo radilo se o vremenu prije ulaska partizana u Zagreb s jedne strane i s druge strane tamo do polovice šestog mjeseca."
0:05:14,0:05:15,45.
0:05:16,0:05:16,godine.
0:05:16,0:05:19,To je dio njegovog života nigdje nije elaboriran.
0:05:20,0:05:24,Nigdje nije elaboriran i onda sam ja.
0:05:25,0:05:29,Ja nastojao baš saznati o tome djelu.
0:05:30,0:05:54,"I znate, išao sam, tražio sam na razne načine, međutim, kad sam došao i tražio u vjesniku, tadašnjem koji je počeo izlaziti u Zagrebu, e onda je to sve bilo u tome vjesniku, zagrebačkom vjesniku od toga vremena, a tada se on zvao."
0:05:56,0:05:58,"Dok vi ovo nađete, ću ja samo pojasniti."
0:05:58,0:06:42,"Dakle, u to vrijeme, dakle u petom mjesecu, šestom mjesecu četrdeset pet godine mi nismo imali ono što mi danas zovemo narodne novine već je vjesnik koji je tada izlazio objavljivao sve moguće informacije koje su se ticale i to u detalje i to je bio zvao se vjesnik jedinstvene i naravno oslobodilačke fronte hrvatske koji je pratio tita od devetnaest svibnja do šest lipnja jedna tisuća devetsto četrdeset pet godine i baš na tim područjima se u to vrijeme vršile masovne likvidacije?"
0:06:42,0:06:49,"Dakle, Tito je to čitavo vrijeme bio tu i organizirao ti likvidacije i nadgledao ih?"
0:06:49,0:07:04,"Dakle, želite reći da je u ovim svim likvidacijama, ubijanjima civila, žena, svih kojeg god su željeli ubijati, to su stvari partizani i četnici koji su zajedno s njima došli preobučeni u partizane."
0:07:05,0:07:14,"Dakle, želite reći da je Tito fizički bio u Zagrebu, u Hrvatskoj, da je nadgledavao i organizirao i vodio to."
0:07:15,0:07:52,"I evo ako mi dozvolite, ja mogu po datumima početi tako da ljudima bude jasno jer ovo je ukratko zapravo što je u tom vjesniku pisalo, ali i ja imam kopije tih datuma do u detalje jer nije se tada krilo, bilo je, to je bio u okolici Zagreba, sve je to on obišao i evo mislim da će neke bar bitne stvari biti važno da ljudi čuju."
0:07:54,0:08:08,"Evo četrnaest svibnja, znači četrnaest partizani su svi osam Tito u Zagrebu presjeda sastankom štaba prve armije i glavnog štaba Hrvatske."
0:08:09,0:08:18,"Na sastanku od istaknutih bili su Peko Dabčević, Koča Popović, Ivan Gošnja, Vladimir Bakarić i Edvar Kad."
0:08:19,0:08:38,"Glavna tema sastanka, osnivanje i rad komunističkih koncentracijonih logora za ekstreminacije, određivanje pravaca kretanja marševa smrti i pronalaženje većeg broja prikladnih stratišta za masovne likvidacije."
0:08:38,0:08:40,"Čekajte, to su oni objavili."
