Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:07,0:00:08,Danas imamo posebnu gošću.
0:00:08,0:00:16,"Jako mi je drago da imam priliku razgovarati sa Anitom Žilak, medicinskom sestrom iz Zagreba i hrabrom mamom troje djece."
0:00:17,0:00:18,U 26.
0:00:18,0:00:25,"tjednu trudnoće, Anita i njezin suprug doznali su da njihovo dijete ima veliki tumor na vratu koji ugrožava njegov život."
0:00:26,0:00:34,"Umjesto da odustanu, oni su se odlučili boriti za svoje dijete i njihov je sin ušao u medicinsku povijest Hrvatske."
0:00:35,0:00:46,"Na KBC-u su ga tijekom carskog reza, tijekom poroda prvo intubirali, nakon toga operirali i danas se jako uspješno oporavlja i ide prema potpunom zdravlju."
0:00:46,0:00:56,"Više o tome kroz što su prolazili, što im je pomoglo, kako su prevladavali poteškoće, danas ćemo čuti od Anita."
0:00:56,0:01:04,Puno hvala da ste se odazvali mom pozivu i da ćete s nama podijeliti vaše iskustvo i iskustvo vaše obitelji.
0:01:04,0:01:05,Hvala vam na pozivu.
0:01:06,0:01:08,"Dakle, prvo je, vi ste u 26."
0:01:09,0:01:09,tjednu.
0:01:09,0:01:17,"normalne trudnoće, sve bilo u redu, čuli takvu jednu vijest da je dijete teško bolesno."
0:01:19,0:01:21,Što vam je tada prolazilo kroz glavu?
0:01:21,0:01:22,Kako ste se osjećali?
0:01:24,0:01:27,"Bio mi je šok veliki, do tada je bila uredna trudnoća."
0:01:28,0:01:31,"Nisam se tome nadala, nisam to očekivala."
0:01:32,0:01:37,Bilo je teško prihvatiti u biti tu i probaviti informaciju.
0:01:38,0:01:43,"Znači da je dijete koje nosim teško bolesno, da velika je vjerojatnost."
0:01:43,0:01:48,"da možda ni neće doživjeti sam porod, da neće ni preživjeti porod."
0:01:49,0:01:58,"Bilo je izazovno, bilo je teško, bilo je puno tu straha, neizvjesnosti, pomiješane emocije."
0:02:00,0:02:03,"Kako je uopće došlo do nalaze toga, dakle u 26."
0:02:03,0:02:03,tjednu?
0:02:04,0:02:05,Na redovnom pregledu.
