Start (HH:MM:SS),End (HH:MM:SS),Segment
0:00:06,0:00:08,Pozdravljam vas u još jednom podcastu.
0:00:09,0:00:11,Moja današnja gošća je gospođa Vesna Maglov.
0:00:12,0:00:18,Vesna je magistra ekonomije i suvoditeljica programa Talent for You i voditeljica formacije iz teologije tijela.
0:00:19,0:00:22,"Udana je, majka je tri u kćeri i teologiju tijela je sv."
0:00:23,0:00:24,Ivana Pavla II.
0:00:24,0:00:31,proučavala je na Slovačkoj Karl Vojtila School of Mission i na Američkom Theology of the Body Institute.
0:00:32,0:00:44,"U svom radu surađuje sa Dondamirom Stojiće, Dondamir Stojiće i u Duhovnik udruge koju je Vesna pokrenula sa svojim suprugom, zove se Integrum Humanum, centar za teologiju tijela."
0:00:44,0:00:46,Od 2013.
0:00:46,0:00:57,"godine Vesna vodi program Prez, teologija tijela za žene koji spaja Božju riječ, iscijelenja, identiteta i skrb za tijelo kroz programe koji uključuju i pokrete i vježbe."
0:00:58,0:01:04,Neposredni povod u ovom razgovoru je gostovanje Kristofera Vesta koji je prošli tjedan 10.
0:01:04,0:01:12,rujna u Zagrebu u organizaciji udruge Integrum Humanum gostovao i na Jarunu u Sv.
0:01:12,0:01:17,Mati Slobode okupio jako puno ljudi koji su željeli više čuti o teologiji tijela.
0:01:18,0:01:31,"On je jedan od najpoznatijih svjetskih tumača teologije tijela, prevoditelja onoga što je Ivan Pavao II izlagao kroz svoje kateheze, kroz svoje knjige, kroz svoja djela, kroz svoja teološka promišljanja."
0:01:32,0:01:43,"Desetljećima teško razumljive papine kateheze o ljubavi, ne teško razumljive, ali rekla bih složene i treba čovjek zbilja biti skoncentriran i dobro fokusiran da ih razumije."
0:01:44,0:01:49,Sada na neki način nam više ljudi na više načina i u Hrvatskoj donose.
0:01:49,0:01:56,"Evo Vesna, puno hvala da ste našli vremena za ovaj razgovor i čestitam da ste uspjeli dovesti gospodina Vesta u Hrvatsku."
0:01:56,0:02:00,Hvala što ste me pozvali i lijep pozdrav svim gledateljima.
0:02:01,0:02:22,"Hvala na čestitkama, evo da, bilo je zahtjevno., ali evo, od srca smo željeli dovesti doktora Kristofera Vesta, prvenstveno na mene osobno i na moj život, na život moje obitelji, ostavio veliki dojam i evo, htjela sam jednostavno to nekako donijeti i u Hrvatsku."
0:02:23,0:02:34,"Dakle, on je, rekli ste da je on na vas izvršio utjecaj, možete da kažete više o njemu, na našim gledateljima koji nisu imali priliku ga slušati u Naravanju slobode i gledateljice da čuju."
0:02:35,0:02:59,"Evo Kristofer Veste, prvenstveno je on je lajk, on je otac petero djece, suprug, već više od 30 godina bavi se teologijom tijela, jedan je od najvećih promicatelja i podučavatelja teologije tijela, ja bi rekla na svijetu, jer nisam još čula za nekoga ko toliko je utjecaj izvršio i po pisanju knjiga i po sistemu formacije na svom institutu za teologiju tijela u Americi."
0:03:00,0:03:06,"Dakle, on je jedan od osnivača i poticatelj Instituta za teologiju tijela u Americi."
0:03:07,0:03:14,gdje ima sustavnu formaciju od brojnih modula i omogućava ljudima da se zaista duboko formiraju na ovom području.
0:03:15,0:03:24,"Ono što je na mene osobno veliki utjecaj ostavilo je njegov pristup koji je vrlo ljudski, vrlo jednostavan, a ujedno jako dubok i učen."
0:03:25,0:03:36,"I mene osobno fasciniralo kad sam došla na prvu edukaciju kod njega, kad je pitao nama, evo anegdota za slušatelje i gledatelje, koji je došao ovdje da bi teologiju tijela prenio drugima."
0:03:36,0:03:43,"A tamo je bilo možete misliti puno ljudi koji su svojim župama aktivni, svećenika, časnih sestara i lajka."
0:03:44,0:03:46,I većina dora nije naravno digla ruku.
0:03:46,0:03:50,"I onda je on rekao, ok, sad možete svi izaći iz prostorije, ovo nije tečaj za to."
0:03:51,0:04:03,"Kaže, ovdje ste prvenstveno došli radi sebe, Bog želi dotaknuti vaše srce, Bog želi prvo vas evangelizirati, reevangelizirati, dotaknuti, a onda preko vas može dotaknuti i druge."
0:04:04,0:04:16,"I to se meni urezalo i od tada sam ostala tamo do samoga kraja, evo još sam tu, i sad smo pokrenuli suradnju s njima i jako se veselim da novi žar donese i tu kod nas malo."
0:04:17,0:04:24,"Dakle, prvo ste dopustili utjecaj na vas, a onda ste ipak došli do toga da na drugima želite prenositi."
0:04:24,0:04:30,"Apsolutno, ja vam nisam imala pojma da ću se ja baviti ovime, niti mi je to bilo u cilju ni u planu."
0:04:30,0:04:39,"Ja sam imala već razvijeno svoj nekako posao kroz Talent Forum i u 20 godina edukacije na području talenata i potencijala, isto u okrilju naše katoličke."
0:04:40,0:04:41,crkve isto po našim vrijednostima.
0:04:43,0:04:52,"I kad sam se upoznala sa teologijom tijela, zapravo to je bilo, evo, kada sam otkrila zapravo da je tijelo u našoj crkvi važno."
0:04:52,0:04:58,"Jer po mom obraćenju, ja sam dosta zaključala te svoje ičežnje srca i mislila sam kao tijelo nije bitno."
0:04:59,0:05:05,Prije sam s tijelom griješila i važan je samo duh.
0:05:05,0:05:14,"Važan je samo duh, ja sam se dala u razne duhovne vježbe, u molitvu, a nekako sam postala sama sebi, to sam kasnije shvatila neautentična."
0:05:14,0:05:20,"Ja sam mislila kao moram biti tiša, mirnija, moram se onako malo pokuljiti, ne biti ja, baš to."
